song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Die With A Smile,Lady Gaga & Bruno Mars,1,1,60,52
A Bar Song (Tipsy),Shaboozey,1,1,77,51
Lose Control,Teddy Swims,1,4,112,51
Pink Pony Club,Chappell Roan,4,4,68,51
Beautiful Things,Benson Boone,2,8,89,51
Wildflower,Billie Eilish,17,25,69,48
Luther,Kendrick Lamar & SZA,1,1,46,46
Birds Of A Feather,Billie Eilish,2,2,67,46
Good News,Shaboozey,12,12,46,46
Love Somebody,Morgan Wallen,1,1,45,45
APT.,ROSE & Bruno Mars,3,3,45,45
I Had Some Help,Post Malone Featuring Morgan Wallen,1,5,67,45
Espresso,Sabrina Carpenter,3,3,65,39
Timeless,The Weeknd & Playboi Carti,3,7,41,39
No One Noticed,The Marias,22,22,41,39
That's So True,Gracie Abrams,6,6,38,38
I'm The Problem,Morgan Wallen,2,2,36,36
30 For 30,SZA With Kendrick Lamar,10,10,36,36
Mutt,Leon Thomas,11,11,36,36
Worst Way,Riley Green,20,20,38,36
Ordinary,Alex Warren,1,1,35,35
Peekaboo,Kendrick Lamar Featuring AzChike,13,13,32,32
Messy,Lola Young,14,14,32,32
Sorry I'm Here For Someone Else,Benson Boone,19,19,32,32
Indigo,Sam Barber Featuring Avery Anna,40,40,32,32
TV Off,Kendrick Lamar Featuring Lefty Gunplay,2,2,31,31
Taste,Sabrina Carpenter,2,7,38,31
Sailor Song,Gigi Perez,22,22,39,31
I Never Lie,Zach Top,24,24,34,31
Am I Okay?,Megan Moroney,34,34,40,31
Not Like Us,Kendrick Lamar,1,1,53,30
Squabble Up,Kendrick Lamar,1,1,30,30
Stargazing,Myles Smith,19,19,52,30
EOO,Bad Bunny,24,24,30,30
Just In Case,Morgan Wallen,2,2,29,29
Residuals,Chris Brown,40,40,35,29
Love Me Not,Ravyn Lenae,5,5,28,28
Back To Friends,sombr,22,22,28,28
Like Him,"Tyler, The Creator Featuring Lola Young",29,29,28,28
Nokia,Drake,2,2,27,27
All The Way,BigXthaPlug Featuring Bailey Zimmerman,4,4,27,27
Undressed,sombr,16,16,27,27
Hard Fought Hallelujah,Brandon Lake X Jelly Roll,40,40,27,27
Revolving Door,Tate McRae,22,22,26,26
No Pole,Don Toliver,66,66,26,26
"Good Luck, Babe!",Chappell Roan,4,7,52,25
Bed Chem,Sabrina Carpenter,14,26,32,25
Happen To Me,Russell Dickerson,28,28,25,25
House Again,Hudson Westbrook,51,51,25,25
Mystical Magical,Benson Boone,17,17,24,24
Weren't For The Wind,Ella Langley,18,18,24,24
I'm Gonna Love You,Cody Johnson & Carrie Underwood,37,37,26,24
Heart Of A Woman,Summer Walker,57,57,24,24
Rather Lie,Playboi Carti & The Weeknd,4,4,23,23
Too Sweet,Hozier,1,12,52,23
Sports Car,Tate McRae,16,16,23,23
Burning Blue,Mariah The Scientist,25,25,23,23
Bad Dreams,Teddy Swims,30,30,24,23
I Ain't Coming Back,Morgan Wallen Featuring Post Malone,8,8,22,22
Blue Strips,Jessie Murph,15,15,22,22
Whatchu Kno About Me,GloRilla & Sexyy Red,17,17,22,22
High Road,Koe Wetzel & Jessie Murph,22,23,40,22
Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain",27,27,22,22
Amen,Shaboozey & Jelly Roll,56,56,22,22
Your Way's Better,Forrest Frank,61,61,22,22
What I Want,Morgan Wallen Featuring Tate McRae,1,1,21,21
Smile,Morgan Wallen,4,4,21,21
I Got Better,Morgan Wallen,7,7,21,21
Cry For Me,The Weeknd,12,12,21,21
20 Cigarettes,Morgan Wallen,20,20,21,21
Who,Jimin,12,24,33,21
Liar,Jelly Roll,31,31,24,21
