song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,42,34
You Make Me Wanna...,Usher,2,2,47,32
How Do I Live,LeAnn Rimes,2,2,69,45
My Body,LSG,4,4,20,15
My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,4,5,26,12
Tubthumping,Chumbawamba,6,6,31,19
Show Me Love,Robyn,7,7,24,21
Feel So Good,Mase,5,5,20,15
All Cried Out,Allure Featuring 112,4,9,25,11
I Will Come To You,Hanson,9,9,20,19
4 Seasons Of Loneliness,Boyz II Men,1,11,20,10
I Don't Want To Wait,Paula Cole,11,11,56,51
Foolish Games/You Were Meant For Me,Jewel,2,13,65,12
The One I Gave My Heart To,Aaliyah,9,13,20,11
Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",12,15,20,13
Butta Love,Next,16,16,23,10
Quit Playing Games (With My Heart),Backstreet Boys,2,17,43,20
Semi-Charmed Life,Third Eye Blind,4,18,43,21
What About Us,Total,16,19,24,10
Spice Up Your Life,Spice Girls,18,18,20,16
Criminal,Fiona Apple,21,21,20,11
All For You,Sister Hazel,11,22,41,20
Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,1,23,30,12
I Do,Lisa Loeb,17,17,22,17
Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),2,2,21,21
Truly Madly Deeply,Savage Garden,1,1,52,52
Building A Mystery,Sarah McLachlan,13,27,22,9
The Memory Remains,Metallica,28,28,19,18
I Don't Ever Want To See You Again,Uncle Sam,6,6,28,24
Honey,Mariah Carey,1,30,20,8
If I Could Teach The World,Bone Thugs-N-Harmony,27,31,20,13
Invisible Man,98 Degrees,12,32,28,7
2 Become 1,Spice Girls,4,33,24,8
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,34,33,8
Breaking All The Rules,She Moves,32,32,20,16
How's It Going To Be,Third Eye Blind,9,9,52,52
I Care 'Bout You,Milestone,23,37,20,6
Sunny Came Home,Shawn Colvin,7,38,32,11
Heaven,Nu Flavor,27,27,24,16
They Like It Slow,H-Town,35,38,20,12
I Miss My Homies,Master P Featuring Pimp C And The Shocker,25,41,20,7
Love Gets Me Every Time,Shania Twain,25,42,20,12
Everything,Mary J. Blige,24,43,20,10
So Help Me Girl,Gary Barlow,44,44,20,13
Legend Of A Cowgirl,Imani Coppola,36,45,20,8
Barely Breathing,Duncan Sheik,16,46,55,2
No Tengo Dinero,Los Umbrellos,42,42,27,13
Do You Know (What It Takes),Robyn,7,48,28,1
Backyard Boogie,Mack 10,37,49,20,6
The Freshmen,The Verve Pipe,5,50,42,1
Mourn You Til I Join You,Naughty by Nature,51,51,12,9
At The Beginning,Richard Marx & Donna Lewis,45,45,20,16
You Should Be Mine (Don't Waste Your Time),Brian McKnight Featuring Mase,17,53,20,7
Valentine,Martina McBride With Jim Brickman,50,54,20,11
"No, No, No",Destiny's Child,3,3,35,34
Last Night's Letter,K-Ci & JoJo,46,56,20,11
I'm Not A Player,Big Punisher,57,57,20,15
You're Not Alone,Olive,56,56,20,14
