song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Still Taking Chances,Michael Murphey,76,76,7,7
Feet Don't Fail Me Now,Utopia,82,82,6,6
You Are,Lionel Richie,4,4,18,18
I'm Alive,Neil Diamond,35,35,12,12
Breaking Us In Two,Joe Jackson,18,18,16,16
Tied Up,Olivia Newton-John,38,38,11,11
Dreamin' Is Easy,Steel Breeze,30,30,13,13
I Can't Stand Still,Don Henley,48,48,11,11
Don't Tell Me You Love Me,Night Ranger,40,40,11,11
Windows,Missing Persons,63,63,8,8
Betcha She Don't Love You,Evelyn King,49,49,11,11
Always,Firefall,59,59,13,13
All Right,Christopher Cross,12,12,16,16
Billie Jean,Michael Jackson,1,1,24,24
The Blues,Randy Newman & Paul Simon,51,51,8,8
Fall In Love With Me,"Earth, Wind & Fire",17,17,16,16
Come On Eileen,Dexys Midnight Runners,1,1,23,23
Lies,Thompson Twins,30,30,16,16
Love Me Again,The John Hall Band,64,64,10,10
It's Raining Men,The Weather Girls,46,46,11,11
The One That Really Matters,Survivor,74,74,6,6
We've Got Tonight,Kenny Rogers And Sheena Easton,6,6,18,18
One On One,Daryl Hall  John Oates,7,7,18,18
My Kind Of Lady,Supertramp Featuring Rick Davies,31,31,12,12
I've Got A Rock N' Roll Heart,Eric Clapton,18,18,16,16
Winds Of Change,Jefferson Starship,38,38,11,11
Poison Arrow,ABC,25,25,15,15
Jeopardy,Greg Kihn Band,2,2,22,22
What You're Missing,Chicago,81,81,5,5
Little Thing Called Love,Neil Young,71,71,6,6
New Frontier,Donald Fagen,70,70,6,6
Too Much Love To Hide,"Crosby, Stills & Nash",69,69,6,6
It Might Be You,Stephen Bishop,25,25,20,20
Separate Ways (Worlds Apart),Journey,8,8,17,17
So Close,Diana Ross,40,40,10,10
Nice Girls,Melissa Manchester,42,42,11,11
I Like It,Debarge,31,31,17,17
Little Too Late,Pat Benatar,20,20,14,14
Make Love Stay,Dan Fogelberg,29,29,16,16
Voo Doo,Rachel Sweet,72,72,5,5
She's A Runner,Billy Squier,75,75,6,6
Come Give Your Love To Me,Janet Jackson,58,58,9,9
