song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Heaven Is A Place On Earth,Belinda Carlisle,1,1,21,11
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,1,2,21,11
Faith,George Michael,1,1,20,14
Should've Known Better,Richard Marx,3,3,21,11
Is This Love,Whitesnake,2,2,19,13
Shake Your Love,Debbie Gibson,4,4,22,13
We'll Be Together,Sting,7,7,18,10
So Emotional,Whitney Houston,1,1,19,14
The One I Love,R.E.M.,9,9,20,9
Don't You Want Me,Jody Watley,6,6,23,14
Got My Mind Set On You,George Harrison,1,1,22,16
"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",Pretty Poison,8,8,23,13
"Mony Mony ""Live""",Billy Idol,1,13,22,9
Valerie,Steve Winwood,9,9,24,12
Hourglass,Squeeze,15,15,19,8
I Think We're Alone Now,Tiffany,1,16,24,10
I've Been In Love Before,Cutting Crew,9,17,21,8
Dude (Looks Like A Lady),Aerosmith,14,14,20,11
Skeletons,Stevie Wonder,19,19,16,9
Cherry Bomb,John Mellencamp,8,8,21,15
Tell It To My Heart(Dub),Taylor Dayne,7,7,25,17
I Won't Forget You,Poison,13,22,21,8
I Do You,The Jets,20,20,15,8
That's What Love Is All About,Michael Bolton,19,19,25,12
Need You Tonight,INXS,1,1,25,19
Brilliant Disguise,Bruce Springsteen,5,26,16,7
Candle In The Wind,Elton John,6,6,21,17
Animal,Def Leppard,19,19,19,11
The Way You Make Me Feel,Michael Jackson,1,1,18,16
Breakout,Swing Out Sister,6,30,23,7
There's The Girl,Heart,12,12,19,15
Little Lies,Fleetwood Mac,4,32,21,7
Hazy Shade Of Winter,The Bangles,2,2,21,18
Power Of Love,Laura Branigan,26,26,18,12
Crazy,Icehouse,14,14,21,14
Love Will Find A Way,Yes,30,36,19,10
I Could Never Take The Place Of Your Man,Prince,10,10,17,14
I Don't Mind At All,Bourgeois Tagg,38,38,17,9
Seasons Change,Expose,1,1,20,19
True Faith,New Order,32,32,18,12
I Want To Be Your Man,Roger,3,3,21,18
Motortown,The Kane Gang,36,36,16,9
"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen,4,4,25,21
Just Like Heaven,The Cure,40,40,19,11
I Live For Your Love,Natalie Cole,13,13,22,18
It's A Sin,Pet Shop Boys,9,46,19,6
Causing A Commotion,Madonna,2,47,18,6
Pop Goes The World,Men Without Hats,20,20,21,16
Don't Shed A Tear,Paul Carrack,9,9,24,21
Let Me Be The One,Expose,7,50,22,6
(Baby Tell Me) Can You Dance,Shanice Wilson,50,50,13,9
Could've Been,Tiffany,1,1,20,19
Honestly,Stryper,23,23,19,15
Everywhere,Fleetwood Mac,14,14,18,17
Bad,Michael Jackson,1,55,14,3
Push It,Salt-N-Pepa,19,19,25,23
Tunnel Of Love,Bruce Springsteen,9,9,16,16
U Got The Look,Prince,2,58,25,7
Say You Will,Foreigner,6,6,19,19
I Can't Help It,Bananarama,47,47,13,11
"Come On, Let's Go",Los Lobos,21,61,14,2
Silent Morning,Noel,47,62,22,7
In My Dreams,REO Speedwagon,19,63,30,10
I Found Someone,Cher,10,10,26,24
System Of Survival,"Earth, Wind & Fire",60,60,13,8
Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),15,66,19,5
Casanova,Levert,5,67,18,2
Can't Stay Away From You,Gloria Estefan & Miami Sound Machine,6,6,23,21
Guaranteed For Life,Millions Like Us,69,69,6,3
We've Only Just Begun (The Romance Is Not Over),Glenn Jones,66,66,14,9
You And Me Tonight,Deja,54,54,12,10
Criticize,Alexander O'Neal,70,70,11,8
Where The Streets Have No Name,U2,13,73,14,2
Here I Go Again,Whitesnake,1,74,28,6
Boys Night Out,Timothy B. Schmit,25,75,13,2
If You Let Me Stay,Terence Trent D'Arby,68,76,8,2
Because Of You,The Cover Girls,27,27,20,19
Kick The Wall,Jimmy Davis & Junction,67,78,6,2
Throwaway,Mick Jagger,67,67,9,8
What's Too Much,Smokey Robinson,79,79,10,7
Special Way,Kool & The Gang,72,81,14,7
Don't Tell Me The Time,Martha Davis,80,80,8,6
Pump Up The Volume,M/A/R/R/S,13,13,23,22
In God's Country,U2,44,44,12,12
Cherokee,Europe,72,72,10,9
Lover's Lane,Georgio,59,59,12,12
You're All I Need,Motley Crue,83,83,8,7
She's Fly,Tony Terry,80,80,9,8
Who Will You Run To,Heart,7,89,22,6
No One In The World,Anita Baker,44,90,17,2
Eagles Fly,Sammy Hagar,82,91,13,7
The Real Thing,Jellybean Featuring Steven Dante,82,92,6,2
Someone To Love Me For Me,Lisa Lisa And Cult Jam Featuring Full Force,78,78,10,7
Sweet Rachel,Beau Coup,80,94,6,1
Lost In Emotion,Lisa Lisa And Cult Jam,1,95,20,2
Reservations For Two,Dionne & Kashif,62,96,7,2
Strap Me In,The Cars,85,97,4,1
Reason To Live,Kiss,64,64,12,12
Sugar Free,Wa Wa Nee,35,99,13,1
Carrie,Europe,3,100,19,1
What Have I Done To Deserve This?,Pet Shop Boys & Dusty Springfield,2,2,18,18
Hot In The City,Billy Idol,23,48,27,10
Never Thought (That I Could Love),Dan Hill,43,43,20,20
Hot Hot Hot,Buster Poindexter & His Banshees Of Blue,45,45,13,13
Never Gonna Give You Up,Rick Astley,1,1,24,24
853-5937,Squeeze,32,32,12,12
Dear Mr. Jesus,Powersource (Solo...Sharon),61,61,7,7
She's Like The Wind,Patrick Swayze (Featuring Wendy Fraser),3,3,21,21
Rhythm Of Love,Yes,40,40,12,12
I Need A Man,Eurythmics,46,46,10,10
Lonely Won't Leave Me Alone,Glenn Medeiros,67,67,11,11
Rain In The Summertime,The Alarm,71,71,8,8
Twilight World,Swing Out Sister,31,31,15,15
Burning Like A Flame,Dokken,72,72,8,8
"Live My Life (From The Film ""Hiding Out"")",Boy George,40,40,12,12
Never Let Me Down Again,Depeche Mode,63,63,10,10
Love Overboard,Gladys Knight And The Pips,13,13,14,14
Father Figure,George Michael,1,1,17,17
I Get Weak,Belinda Carlisle,2,2,16,16
Just Like Paradise,David Lee Roth,6,6,16,16
Be Still My Beating Heart,Sting,15,15,14,14
I Want Her,Keith Sweat,5,5,20,20
Wishing Well,Terence Trent D'Arby,1,1,25,25
Endless Summer Nights,Richard Marx,2,2,21,21
Hysteria,Def Leppard,10,10,16,16
Rocket 2 U,The Jets,6,6,22,22
(Sittin' On) The Dock Of The Bay,Michael Bolton,11,11,17,17
How Can I Forget You,Elisa Fiorillo,60,60,8,8
Coming Up You,The Cars,74,74,5,5
Save Your Love,Great White,57,57,12,12
Never Knew Love Like This,Alexander O'Neal Featuring Cherrelle,28,28,14,14
I Heard It Through The Grapevine,The California Raisins,84,84,4,4
All I Want Is You,Carly Simon,54,54,9,9
Out Of The Blue,Debbie Gibson,3,3,17,17
Never Can Say Goodbye,The Communards,51,51,9,9
You Don't Know,Scarlett & Black,20,20,18,18
Girlfriend,Pebbles,5,5,20,20
Some Kind Of Lover,Jody Watley,10,10,17,17
Angel,Aerosmith,3,3,25,25
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,69,69,9,9
Stimulation,Wa Wa Nee,86,86,2,2
Man In The Mirror,Michael Jackson,1,1,17,17
When We Was Fab,George Harrison,23,23,11,11
Check It Out,John Mellencamp,14,14,15,15
Rock Of Life,Rick Springfield,22,22,15,15
Hot Thing,Prince,63,63,9,9
You Will Know,Stevie Wonder,77,77,6,6
Don't Look Any Further,The Kane Gang,64,64,8,8
The Motion Of Love,Gene Loves Jezebel,87,87,3,3
Without You,Peabo Bryson & Regina Belle,89,89,3,3
"Get Outta My Dreams, Get Into My Car",Billy Ocean,1,1,20,20
Devil Inside,INXS,2,2,17,17
Thinking Of You,"Earth, Wind & Fire",67,67,8,8
Give Me All Your Love,Whitesnake,48,48,11,11
Talking Back To The Night,Steve Winwood,57,57,10,10
Electric Blue,Icehouse,7,7,21,21
I Wish I Had A Girl,Henry Lee Summer,20,20,18,18
Ever Since The World Began,Tommy Shaw,75,75,9,9
What A Wonderful World,Louis Armstrong,32,32,11,11
Prove Your Love,Taylor Dayne,7,7,18,18
