song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Winchester Cathedral,The New Vaudeville Band,1,1,15,10
Good Vibrations,The Beach Boys,1,1,14,8
You Keep Me Hangin' On,The Supremes,1,3,12,7
Devil With A Blue Dress On & Good Golly Miss Molly,Mitch Ryder And The Detroit Wheels,4,4,16,8
Mellow Yellow,Donovan,2,2,12,9
I'm Your Puppet,James & Bobby Purify,6,6,14,4
Lady Godiva,Peter And Gordon,6,6,14,6
Born Free,Roger Williams,7,7,21,7
Poor Side Of Town,Johnny Rivers,1,9,15,4
Last Train To Clarksville,The Monkees,1,10,15,3
Coming On Strong,Brenda Lee,11,11,13,4
I'm Ready For Love,Martha & The Vandellas,9,9,10,5
Stop Stop Stop,The Hollies,7,7,10,5
A Hazy Shade Of Winter,Simon & Garfunkel,13,13,9,5
That's Life,Frank Sinatra,4,4,11,9
Whispers (Gettin' Louder),Jackie Wilson,11,11,12,6
I Got The Feelin' (Oh No No),Neil Diamond,16,16,8,5
96 Tears,? (Question Mark) & The Mysterians,1,18,15,2
Rain On The Roof,The Lovin' Spoonful,10,19,10,3
(Come 'round Here) I'm The One You Need,The Miracles,17,17,9,5
Hooray For Hazel,Tommy Roe,6,21,13,2
It Tears Me Up,Percy Sledge,20,20,11,5
A Place In The Sun,Stevie Wonder,9,9,11,8
Who Am I,Petula Clark,21,24,7,1
What Becomes Of The Brokenhearted,Jimmy Ruffin,7,25,17,2
The Wheel Of Hurt,Margaret Whiting,26,26,11,3
But It's Alright,J.J. Jackson,22,22,13,4
"Run, Run, Look And See",Brian Hyland,25,25,9,3
Knock On Wood,Eddie Floyd,28,28,17,5
Love Is A Hurtin' Thing,Lou Rawls,13,30,14,2
Mame,Herb Alpert & The Tijuana Brass,19,19,8,6
(I Know) I'm Losing You,The Temptations,8,8,10,8
If I Were A Carpenter,Bobby Darin,8,33,11,1
Holy Cow,Lee Dorsey,23,23,9,3
"Louie, Louie",The Sandpipers,30,35,7,1
Time After Time,Chris Montez,36,36,8,3
(When She Needs Good Lovin') She Comes To Me,The Chicago Loop,37,37,7,3
Reach Out I'll Be There,Four Tops,1,38,15,2
Dandy,Herman's Hermits,5,39,11,2
Secret Love,Billy Stewart,29,40,8,1
Look Through My Window,The Mamas & The Papas,24,41,7,1
It's Only Love,Tommy James And The Shondells,31,31,9,5
Walk Away Renee,The Left Banke,5,43,13,1
Sugar Town,Nancy Sinatra,5,5,13,11
B-A-B-Y,Carla Thomas,14,45,16,1
Games That Lovers Play,Eddie Fisher,45,45,9,4
Talk Talk,The Music Machine,15,15,12,9
Help Me Girl,The Outsiders,37,37,10,5
"Wish You Were Here, Buddy",Pat Boone,49,49,8,2
Heaven Must Have Sent You,The Elgins,50,50,8,2
A Symphony For Susan,The Arbors,51,51,10,3
Mustang Sally,Wilson Pickett,23,23,9,8
Single Girl,Sandy Posey,12,12,12,10
On This Side Of Goodbye,The Righteous Brothers,47,54,6,1
Coming Home Soldier,Bobby Vinton,11,11,12,10
I Need Somebody,? (Question Mark) & The Mysterians,22,22,10,8
Cry,Ronnie Dove,18,18,9,8
Pandora's Golden Heebie Jeebies,The Association,35,35,7,6
Why Pick On Me,The Standells,54,59,7,1
Money (That's What I Want) (Part 1),Jr. Walker & The All Stars,52,52,6,4
I (Who Have Nothing),Terry Knight and The Pack,46,46,10,7
A Day In The Life Of A Fool,Jack Jones,62,62,8,3
Bang Bang,The Joe Cuba Sextet,63,63,8,2
Somebody (Somewhere) Needs You,Darrell Banks,55,64,8,1
We Got A Thing That's In The Groove,The Capitols,65,65,6,3
Please Say You're Fooling,Ray Charles and his Orchestra,64,64,6,3
I Fooled You This Time,Gene Chandler,45,45,8,7
The Proud One,Frankie Valli,68,68,6,3
Come Back,The Five Stairsteps,61,69,6,2
The Eggplant That Ate Chicago,Dr. West's Medicine Show and Junk Band,52,52,7,6
Winchester Cathedral,Dana Rollin,71,71,6,2
The Wheel Of Hurt,Al Martino,59,72,8,1
You Can Bring Me All Your Heartaches,Lou Rawls,55,55,8,7
Ghost Riders In The Sky,Baja Marimba Band,52,52,6,5
Don't Answer The Door - Part 1,B.B. King,72,72,9,3
Baby What Do You Want Me To Do,Barbara Lewis,74,76,6,1
Happenings Ten Years Time Ago,The Yardbirds,30,30,9,8
Tell It Like It Is,Aaron Neville,2,2,14,14
I Don't Need No Doctor,Ray Charles and his Orchestra,72,72,4,3
Alvin's Boo-Ga-Loo,Alvin Cash & The Registers,74,74,6,5
Words Of Love,The Mamas & The Papas,5,5,12,12
Georgy Girl,The Seekers,2,2,16,16
East West,Herman's Hermits,27,27,8,8
I've Passed This Way Before,Jimmy Ruffin,17,17,11,11
Try A Little Tenderness,Otis Redding,25,25,10,10
Please Don't Ever Leave Me,The Cyrkle,59,59,5,5
I Wanna Meet You,The Cryan' Shames,85,85,4,3
Good Thing,Paul Revere & The Raiders Featuring Mark Lindsay,4,4,12,12
Help Me Girl,Eric Burdon & The Animals,29,29,9,8
There's Got To Be A Word!,The Innocence,34,34,8,8
(He's) Raining In My Sunshine,Jay & The Americans,90,90,4,3
Tiny Bubbles,Don Ho and the Aliis,57,57,17,16
I'm Gonna Make You Love Me,Dee Dee Warwick,88,88,3,2
There's Something On Your Mind,Baby Ray,69,69,6,6
Karate,The Emperor's,55,55,9,9
You Got Me Hummin',Sam & Dave,77,77,6,6
Have You Ever Loved Somebody,The Searchers,94,94,3,2
Baby What I Mean,The Drifters,62,62,7,7
I'll Be Home,The Platters,97,97,2,2
Bad Misunderstanding,The Critters,55,55,6,6
I'm A Believer,The Monkees,1,1,15,15
Blue Autumn,Bobby Goldsboro,35,35,9,9
Goodnight My Love,The Happenings,51,51,6,6
Communication Breakdown,Roy Orbison,60,60,7,7
The Girl That Stood Beside Me,Bobby Darin,66,66,5,5
(We Ain't Got) Nothin' Yet,Blues Magoos,5,5,14,14
98.6,Keith,7,7,14,14
Tell It To The Rain,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",10,10,10,10
Questions And Answers,The In Crowd,92,92,2,2
I Had Too Much To Dream (Last Night),The Electric Prunes,11,11,14,14
If You Go Away,Damita Jo,68,68,10,10
Peak Of Love,Bobby McClure,97,97,2,2
Snoopy Vs. The Red Baron,The Royal Guardsmen,2,2,12,12
Standing In The Shadows Of Love,Four Tops,6,6,10,10
(I'm Not Your) Steppin' Stone,The Monkees,20,20,8,8
Papa Was Too,Joe Tex,44,44,7,7
Nashville Cats,The Lovin' Spoonful,8,8,10,10
Where Will The Words Come From,Gary Lewis And The Playboys,21,21,9,9
I'm Gonna Miss You,The Artistics,55,55,10,10
Wack Wack,The Young Holt Trio,40,40,8,8
(Open Up The Door) Let The Good Times In,Dean Martin,55,55,6,6
Dancing In The Street,The Mamas & The Papas,73,73,6,6
Grizzly Bear,The Youngbloods,52,52,10,10
Going Nowhere,Los Bravos,91,91,2,2
Look What You've Done,Pozo Seco Singers,32,32,9,9
Stand By Me,Spyder Turner,12,12,12,12
Try My Love Again,Bobby Moore's Rhythm Aces featuring Chico,97,97,2,2
Gallant Men,Senator Everett McKinley Dirksen,29,29,6,6
Color My World,Petula Clark,16,16,9,9
Another Night,Dionne Warwick,49,49,6,6
"Green, Green Grass Of Home",Tom Jones,11,11,12,12
How Do You Catch A Girl,Sam The Sham and the Pharaohs,27,27,8,8
Day Tripper,Ramsey Lewis,74,74,4,4
Knight In Rusty Armour,Peter And Gordon,15,15,9,9
It's Now Winters Day,Tommy Roe,23,23,11,11
Just One Smile,Gene Pitney,64,64,6,6
Constant Rain (Chove Chuva),Sergio Mendes & Brasil '66,71,71,6,6
I'm Gonna Make You Mine,The Shadows Of Knight,90,90,1,1
"Look At Granny Run, Run",Howard Tate,67,67,7,7
Are You Lonely For Me,Freddy Scott,39,39,12,12
The Shadow Of Your Smile,Boots Randolph,93,93,3,3
Pushin' Too Hard,The Seeds,36,36,11,11
Wish Me A Rainbow,The Gunter Kallmann Chorus,63,63,8,8
Any Way That You Want Me,Liverpool Five,98,98,1,1
That's The Tune,The Vogues,99,99,1,1
Hello Hello,"The Sopwith ""Camel""",26,26,10,10
Music To Watch Girls By,Bob Crewe Generation,15,15,10,10
I Dig Girls,J.J. Jackson,83,83,3,3
Kind Of A Drag,The Buckinghams,1,1,13,13
Let's Fall In Love,Peaches & Herb,21,21,12,12
Take Me For A Little While,Patti LaBelle And The Blue Belles,89,89,2,2
"Hey, Leroy, Your Mama's Callin' You",Jimmy Castor,31,31,9,9
Love Me,Bobby Hebb,84,84,3,3
Fortune Teller,The Hardtimes,97,97,2,2
Gimme Some Lovin',The Spencer Davis Group,7,7,13,13
Wild Thing,Senator Bobby Featuring Bill Minkin,20,20,7,7
Bring It Up,James Brown And The Famous Flames,29,29,8,8
"Mercy, Mercy, Mercy",Cannonball Adderley,11,11,11,11
I've Got To Have A Reason,The Dave Clark Five,44,44,7,7
Oh Yeah!,The Joe Cuba Sextet,62,62,5,5
It Takes Two,Marvin Gaye & Kim Weston,14,14,12,12
