song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
"Baby, I Love Your Way/Freebird Medley",Will to Power,1,1,24,12
Look Away,Chicago,1,1,24,14
How Can I Fall?,Breathe,3,3,22,10
I Don't Want Your Love,Duran Duran,4,4,16,9
Desire,U2,3,5,17,8
Giving You The Best That I Got,Anita Baker,3,3,22,12
Waiting For A Star To Fall,Boy Meets Girl,5,5,25,13
Bad Medicine,Bon Jovi,1,8,20,10
Kissing A Fool,George Michael,5,9,15,7
Every Rose Has Its Thorn,Poison,1,1,21,16
Welcome To The Jungle,Guns N' Roses,7,7,17,11
Walk On Water,Eddie Money,9,9,21,12
My Prerogative,Bobby Brown,1,1,24,18
The Promise,When In Rome,11,11,25,12
"Wild, Wild West",The Escape Club,1,15,27,12
"Kokomo (From""Cocktail"" )",The Beach Boys,1,16,28,15
Finish What Ya Started,Van Halen,13,13,20,11
Domino Dancing,Pet Shop Boys,18,18,14,6
The Loco-Motion,Kylie Minogue,3,19,27,13
In Your Room,The Bangles,5,5,20,13
Don't Know What You Got (Till It's Gone),Cinderella,12,21,22,9
Spy In The House Of Love,Was (Not Was),16,16,17,8
Early In The Morning,Robert Palmer,19,19,15,9
Two Hearts,Phil Collins,1,1,18,16
Till I Loved You,Barbra Streisand & Don Johnson,25,25,12,6
Don't Rush Me,Taylor Dayne,2,2,20,16
I Remember Holding You,Boys Club,8,8,21,15
Silhouette,Kenny G,13,13,17,12
Not Just Another Girl,Ivan Neville,26,26,19,11
Groovy Kind Of Love,Phil Collins,1,30,25,12
Small World,Huey Lewis & The News,25,31,11,3
Smooth Criminal,Michael Jackson,7,7,15,12
"Yeah, Yeah, Yeah",Judson Spence,32,32,14,7
Put A Little Love In Your Heart,Annie Lennox & Al Green,9,9,17,13
Another Lover,Giant Steps,13,35,22,7
The Way You Love Me,Karyn White,7,7,25,18
Armageddon It,Def Leppard,3,3,18,16
Symptoms Of True Love,Tracie Spencer,38,38,16,7
One Moment In Time,Whitney Houston,5,39,17,5
All This Time,Tiffany,6,6,21,17
Little Liar,Joan Jett & The Blackhearts,19,19,20,15
Wild World,Maxi Priest,25,25,18,13
Thanks For My Child,Cheryl Pepsii Riley,32,32,13,8
Edge Of A Broken Heart,Vixen,26,44,21,10
"Hippy Hippy Shake (From ""Cocktail"")",The Georgia Satellites,45,45,14,8
Ghost Town,Cheap Trick,33,33,14,10
Handle With Care,Traveling Wilburys,45,45,14,9
Holding On,Steve Winwood,11,11,17,16
When The Children Cry,White Lion,3,3,23,19
I Wanna Have Some Fun,Samantha Fox,8,8,23,20
Never Tear Us Apart,INXS,7,51,23,7
Born To Be My Baby,Bon Jovi,3,3,20,19
Peek-A-Boo,Siouxsie & The Banshees,53,53,14,7
What's On Your Mind (Pure Energy),Information Society,3,54,25,5
Red Red Wine,UB40,1,55,40,9
Back On Holiday,Robbie Nevil,34,34,14,11
Girls Ain't Nothing But Trouble,D.J. Jazzy Jeff & The Fresh Prince,57,57,12,7
Baby Can I Hold You,Tracy Chapman,48,48,12,8
Best Of Times,Peter Cetera,59,59,8,3
It's Money That Matters,Randy Newman,60,60,12,8
The Lover In Me,Sheena Easton,2,2,25,21
Any Love,Luther Vandross,44,62,13,5
"Boy, I've Been Told",SaFire,48,63,16,6
Nobody's Perfect,Mike + The Mechanics,63,63,11,7
Love Bites,Def Leppard,1,65,23,7
Don't Be Cruel,Bobby Brown,8,66,26,7
Forever Young,Rod Stewart,12,67,24,7
When I'm With You,Sheriff,1,1,28,20
You Got It (The Right Stuff),New Kids on the Block,3,3,26,24
Forever Young,Alphaville,65,65,18,9
Cars With The Boom,L'Trimm,54,71,15,5
Don't You Know What The Night Can Do?,Steve Winwood,6,72,17,2
"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,1,69,26,8
Walking Away,Information Society,9,9,19,18
I'll Always Love You,Taylor Dayne,3,75,30,5
A Word In Spanish,Elton John,19,76,13,2
Please Don't Go Girl,New Kids on the Block,10,77,28,5
Cross My Heart,Eighth Wonder,56,56,16,14
Straight Up,Paula Abdul,1,1,25,25
Kiss,The Art Of Noise Featuring Tom Jones,31,31,11,11
As Long As You Follow,Fleetwood Mac,43,43,14,14
Chains Of Love,Erasure,12,82,20,2
Killing Me Softly,Al B. Sure!,80,82,11,9
Dancing Under A Latin Moon,Candi,68,84,7,1
Didn't Know It Was Love,Survivor,61,85,10,2
I'm Gonna Miss You,Kenny Loggins,82,86,5,2
What I Am,Edie Brickell & New Bohemians,7,7,19,18
I Hate Myself For Loving You,Joan Jett & The Blackhearts,8,88,26,3
"Love, Truth & Honesty",Bananarama,89,89,3,2
(It's Just) The Way That You Love Me,Paula Abdul,4,4,15,12
Rock & Roll Strategy,Thirty Eight Special,67,89,8,3
Wild Thing,Tone-Loc,2,2,25,25
Sweet Child O' Mine,Guns N' Roses,1,93,24,1
I Believe In You,Stryper,88,94,5,1
Time And Tide,Basia,26,95,20,1
The Only Way Is Up,Yazz And The Plastic Population,96,96,4,3
It Takes Two,Rob Base & D.J. E-Z Rock,36,97,16,1
You Make Me Work,Cameo,85,98,5,1
Put This Love To The Test,Jon Astley,74,99,8,1
You're Not My Kind Of Girl,New Edition,95,100,4,1
Dial My Heart,The Boys,13,13,19,19
Shake For The Sheik,The Escape Club,28,28,14,14
A Little Respect,Erasure,14,14,17,17
New Day For You,Basia,53,53,11,11
It's No Secret,Kylie Minogue,37,37,13,13
My Heart Can't Tell You No,Rod Stewart,4,4,25,25
Anchorage,Michelle Shocked,66,66,8,8
Is It Love,J.J. Fad,92,92,5,5
She Wants To Dance With Me,Rick Astley,6,6,18,18
Angel Of Harlem,U2,14,14,15,15
If We Never Meet Again,Tommy Conwell And The Young Rumblers,48,48,11,11
Doctorin' The Tardis,The Timelords,66,66,13,13
Perfect,Fairground Attraction,80,80,6,6
Posse On Broadway,Sir Mix-A-Lot,70,70,9,9
"Wild Again (From ""Cocktail"")",Starship,73,73,8,8
"Surrender To Me (From ""Tequila Sunrise"")",Ann Wilson & Robin Zander,6,6,19,19
All She Wants Is,Duran Duran,22,22,13,13
I Beg Your Pardon,Kon Kan,15,15,18,18
More Than You Know,Martika,18,18,20,20
The Great Commandment,Camouflage,59,59,12,12
The Living Years,Mike + The Mechanics,1,1,20,20
Girl You Know It's True,Milli Vanilli,2,2,26,26
Roni,Bobby Brown,3,3,17,17
Way Cool Jr.,Ratt,75,75,7,7
I Wanna Be Loved,House Of Lords,58,58,7,7
Dreamin',Vanessa Williams,8,8,20,20
Paradise City,Guns N' Roses,5,5,17,17
The Love In Your Eyes,Eddie Money,24,24,18,18
Don't Tell Me Lies,Breathe,10,10,16,16
Let's Put The X In Sex,Kiss,97,97,2,2
Lost In Your Eyes,Debbie Gibson,1,1,19,19
Just Because,Anita Baker,14,14,16,16
You're Not Alone,Chicago,10,10,17,17
Give Me The Keys (And I'll Drive You Crazy),Huey Lewis & The News,47,47,8,8
You Got It,Roy Orbison,9,9,18,18
Tears Run Rings,Marc Almond,67,67,8,8
Orinoco Flow (Sail Away),Enya,24,24,17,17
Across The Miles,Survivor,74,74,6,6
The Last Mile,Cinderella,36,36,10,10
Stand,R.E.M.,6,6,19,19
(Believed You Were) Lucky,'Til Tuesday,95,95,3,3
She Won't Talk To Me,Luther Vandross,30,30,12,12
Walk The Dinosaur,Was (Not Was),7,7,16,16
Feels So Good,Van Halen,35,35,14,14
Bring Down The Moon,Boy Meets Girl,49,49,11,11
Cryin',Vixen,22,22,13,13
Superwoman,Karyn White,8,8,18,18
Left To My Own Devices,Pet Shop Boys,84,84,3,3
Into You,Giant Steps,58,58,8,8
She Drives Me Crazy,Fine Young Cannibals,1,1,23,23
Eternal Flame,The Bangles,1,1,19,19
Thinking Of You,SaFire,12,12,24,24
Tell Her,Kenny Loggins,76,76,8,8
24/7,Dino,42,42,14,14
Fading Away,Will to Power,65,65,10,10
We've Saved The Best For Last,Kenny G,47,47,9,9
Sincerely Yours,Sweet Sensation (With Romeo J.D.),14,14,18,18
Got It Made,"Crosby, Stills, Nash & Young",69,69,8,8
The Look,Roxette,1,1,19,19
Second Chance,Thirty Eight Special,6,6,21,21
Can You Stand The Rain,New Edition,44,44,13,13
End Of The Line,Traveling Wilburys,63,63,9,9
A Shoulder To Cry On,Tommy Page,29,29,20,20
Imagine,Tracie Spencer,85,85,4,4
Your Mama Don't Dance,Poison,10,10,14,14
One,Metallica,35,35,15,15
Room To Move,Animotion,9,9,18,18
Never Had A Lot To Lose,Cheap Trick,75,75,6,6
Halleluiah Man,Love And Money,75,75,7,7
Heaven Knows,When In Rome,95,95,2,2
I Wanna Be The One,Stevie B,32,32,20,20
Heaven Help Me,Deon Estus,5,5,16,16
It's Only Love,Simply Red,57,57,9,9
Seventeen,Winger,26,26,16,16
Driven Out,The Fixx,55,55,10,10
Radio Romance,Tiffany,35,35,9,9
"Birthday Suit (From ""Sing"")",Johnny Kemp,36,36,14,14
Where Are You Now?,Jimmy Harnen With Synch,10,10,36,24
Falling Out Of Love,Ivan Neville,91,91,3,3
This Time,Kiara (Duet With Shanice Wilson),78,78,5,5
I Can't Face The Fact,Gina Go-Go,78,78,11,11
Tribute (Right On),The Pasadenas,52,52,10,10
Funky Cold Medina,Tone-Loc,3,3,18,18
