song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
One Sweet Day,Mariah Carey & Boyz II Men,1,1,27,27
"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,1,2,21,20
Hey Lover,LL Cool J,3,3,21,19
Fantasy,Mariah Carey,1,4,25,16
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,1,4,38,23
You Remind Me Of Something,R. Kelly,4,6,20,18
Runaway,Janet Jackson,3,7,24,13
Diggin' On You,TLC,5,5,20,18
Name,Goo Goo Dolls,5,5,36,29
Tell Me,Groove Theory,5,10,33,19
Back For Good,Take That,7,11,30,14
Kiss From A Rose,Seal,1,12,36,13
I'd Lie For You (And That's The Truth),Meat Loaf,13,13,20,14
As I Lay Me Down,Sophie B. Hawkins,6,14,44,18
Breakfast At Tiffany's,Deep Blue Something,5,5,36,21
Before You Walk Out Of My Life/Like This And Like That,Monica,7,7,28,22
Only Wanna Be With You,Hootie & The Blowfish,6,17,32,15
Who Can I Run To,Xscape,8,18,20,13
Roll To Me,Del Amitri,10,19,36,15
Beautiful Life,Ace of Base,15,15,20,17
Carnival,Natalie Merchant,10,20,31,14
Dreaming Of You,Selena,22,22,20,15
Run-Around,Blues Traveler,8,23,49,13
Missing,Everything But the Girl,2,2,55,39
Bullet With Butterfly Wings,The Smashing Pumpkins,22,22,20,17
I Can Love You Like That,All-4-One,5,26,29,5
Do You Sleep?,Lisa Loeb & Nine Stories,18,27,20,10
Waterfalls,TLC,1,28,34,9
December,Collective Soul,20,29,39,10
Set U Free,Planet Soul,26,26,26,20
Sentimental,Deborah Cox,27,31,20,8
Anything,3T,15,15,33,25
Pretty Girl,Jon B,25,33,20,7
Love U 4 Life,Jodeci,31,31,20,16
Brokenhearted,Brandy,9,35,20,8
You Are Not Alone,Michael Jackson,1,36,20,7
I'll Be There For You/This House Is Not A Home,The Rembrandts,17,37,20,11
Time,Hootie & The Blowfish,14,14,26,23
Cell Therapy,Goodie Mob,39,39,20,13
Blessed,Elton John,34,34,20,16
Be My Lover,La Bouche,6,6,38,35
Comedown,Bush,30,42,20,7
Come With Me,Shai,43,43,20,9
Let Me Be The One,Blessid Union Of Souls,29,44,20,3
Hook,Blues Traveler,23,23,34,26
Danger,Blahzay Blahzay,46,46,20,12
Boombastic/In The Summertime,Shaggy,3,47,29,1
Never Alone (Eeyore's Lullaby),Tyler Collins,48,48,2,2
'Til You Do Me Right,After 7,31,49,22,1
"A Girl Like You (From ""Empire Records"")",Edwyn Collins,32,50,9,4
The World I Know,Collective Soul,19,19,34,32
Where Ever You Are,Terry Ellis,52,52,20,16
Cruisin',D'Angelo,53,53,18,14
