song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Lady,Kenny Rogers,1,1,25,16
More Than I Can Say,Leo Sayer,2,2,23,13
Another One Bites The Dust,Queen,1,3,31,15
Woman In Love,Barbra Streisand,1,4,24,11
Master Blaster (Jammin'),Stevie Wonder,5,5,23,12
(Just Like) Starting Over,John Lennon,1,1,22,17
Love On The Rocks,Neil Diamond,2,2,20,15
Hungry Heart,Bruce Springsteen,5,5,18,14
I'm Coming Out,Diana Ross,5,9,23,10
Dreaming,Cliff Richard,10,10,22,10
Hit Me With Your Best Shot,Pat Benatar,9,9,24,15
You've Lost That Lovin' Feeling,Daryl Hall  John Oates,12,12,20,10
The Wanderer,Donna Summer,3,13,20,9
Guilty,Barbra Streisand & Barry Gibb,3,3,22,17
Never Be The Same,Christopher Cross,15,15,19,11
Every Woman In The World,Air Supply,5,5,22,16
Whip It,Devo,14,17,25,11
Tell It Like It Is,Heart,8,8,16,14
"De Do Do Do, De Da Da Da",The Police,10,10,21,15
Without Your Love,Roger Daltrey,20,20,19,7
Everybody's Got To Learn Sometime,The Korgis,18,18,19,11
Deep Inside My Heart,Randy Meisner,22,22,16,9
It's My Turn,Diana Ross,9,9,21,15
Theme From The Dukes Of Hazzard (Good Ol' Boys),Waylon,21,21,23,11
Sequel,Harry Chapin,23,23,14,9
He's So Shy,The Pointer Sisters,3,26,26,7
This Time,John Cougar,27,27,17,7
Celebration,Kool & The Gang,1,1,30,24
I Believe In You,Don Williams,24,24,20,10
Suddenly,Olivia Newton-John And Cliff Richard,20,20,19,13
Passion,Rod Stewart,5,5,20,18
The Tide Is High,Blondie,1,1,26,23
Never Knew Love Like This Before,Stephanie Mills,6,33,25,8
One Step Closer,The Doobie Brothers,24,24,14,12
Lovely One,The Jacksons,12,35,18,8
Girls Can Get It,Dr. Hook,34,34,14,9
Let Me Be Your Angel,Stacy Lattisaw,21,37,24,7
Time Is Time,Andy Gibb,15,15,17,15
I Made It Through The Rain,Barry Manilow,10,10,16,14
I Love A Rainy Night,Eddie Rabbitt,1,1,28,24
Upside Down,Diana Ross,1,41,29,8
Together,Tierra,18,18,21,17
On The Road Again,Willie Nelson,20,43,20,7
Switchin' To Glide/This Beat Goes On,The Kings,43,43,23,8
Hey Nineteen,Steely Dan,10,10,19,18
The Horizontal Bop,Bob Seger,42,42,12,8
Turning Japanese,The Vapors,36,47,17,7
Stop This Game,Cheap Trick,48,48,12,8
One-Trick Pony,Paul Simon,40,49,11,5
Help Me!,Marcy Levy & Robin Gibb,50,50,10,6
Turn And Walk Away,The Babys,42,42,12,9
Could I Be Dreaming,The Pointer Sisters,52,52,11,7
Out Here On My Own,Irene Cara,19,53,23,7
I'm Happy That Love Has Found You,Jimmy Hall,27,54,17,7
You Shook Me All Night Long,AC/DC,35,55,16,3
Dreamer,Supertramp,15,56,14,3
Gotta Have More Love,Climax Blues Band,47,47,12,9
You,"Earth, Wind & Fire",48,48,12,10
Shine On,L.T.D.,40,40,16,13
9 To 5,Dolly Parton,1,1,26,25
The Winner Takes It All,ABBA,8,8,26,24
He Can't Love You,Michael Stanley Band,33,33,16,14
She's So Cold,The Rolling Stones,26,63,13,3
Teacher Teacher,Rockpile,51,51,12,10
My Mother's Eyes,Bette Midler,39,39,13,11
Need Your Loving Tonight,Queen,44,44,11,10
Killin' Time,Fred Knoblock & Susan Anton,28,28,18,16
Morning Man,Rupert Holmes,68,68,7,3
Texas In My Rear View Mirror,Mac Davis,51,69,9,2
Easy Love,Dionne Warwick,62,62,10,8
I Need Your Lovin',Teena Marie,37,37,14,12
Cold Love,Donna Summer,33,33,12,11
If You Should Sail,Nielsen/Pearson,38,73,14,2
Trickle Trickle,The Manhattan Transfer,73,73,8,7
