song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Independent Women Part I,Destiny's Child,1,1,28,18
Case Of The Ex (Whatcha Gonna Do),Mya,2,2,30,15
With Arms Wide Open,Creed,1,3,47,18
Kryptonite,3 Doors Down,3,4,53,19
This I Promise You,*NSYNC,5,5,26,17
Most Girls,P!nk,4,6,27,11
Gotta Tell You,Samantha Mumba,4,4,22,10
The Way You Love Me,Faith Hill,6,6,56,26
Shape Of My Heart,Backstreet Boys,9,9,20,13
It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",1,1,25,21
Music,Madonna,1,11,24,8
She Bangs,Ricky Martin,12,12,18,10
Dance With Me,Debelah Morgan,8,8,29,11
Between Me And You,Ja Rule Featuring Christina Milian,11,14,20,9
Pinch Me,Barenaked Ladies,15,15,21,9
E.I.,Nelly,15,15,20,12
I Wish,R. Kelly,14,14,22,13
He Loves U Not,Dream,2,2,28,19
I Just Wanna Love U (Give It 2 Me),Jay-Z,11,11,21,16
If You're Gone,Matchbox Twenty,5,5,42,36
Ms. Jackson,OutKast,1,1,23,20
Come On Over Baby (All I Want Is You),Christina Aguilera,1,22,21,4
No More,Ruff Endz,5,23,26,4
Shake Ya Ass,Mystikal,13,24,20,4
What's Your Fantasy,Ludacris Featuring Shawnna,21,21,22,13
Don't Think I'm Not,Kandi,24,25,24,7
Best Of Intentions,Travis Tritt,27,27,22,7
Bent,Matchbox Twenty,1,27,39,8
Bag Lady,Erykah Badu,6,26,20,5
"Jumpin', Jumpin'",Destiny's Child,3,30,32,3
Incomplete,Sisqo,1,31,26,3
You're A God,Vertical Horizon,23,32,21,7
Crazy For This Girl,Evan And Jaron,15,15,23,19
We Danced,Brad Paisley,29,29,20,13
Just Another Day In Paradise,Phil Vassar,35,35,20,11
My Next Thirty Years,Tim McGraw,27,27,20,14
(Hot S**t) Country Grammar,Nelly,7,36,34,3
Faded,SoulDecision Featuring Thrust,22,38,24,3
My First Love,Avant Featuring KeKe Wyatt,26,26,20,16
Beautiful Day,U2,21,21,25,17
Without You,Dixie Chicks,31,31,20,12
911,Wyclef Jean Featuring Mary J. Blige,38,38,19,11
Liar,Profyle,14,43,20,9
Just Friends (Sunny),Musiq,31,31,20,13
The Little Girl,John Michael Montgomery,35,45,20,8
Born To Fly,Sara Evans,34,34,20,14
I Lost It,Kenny Chesney,34,34,20,14
Again,Lenny Kravitz,4,4,32,30
Higher,Creed,7,49,57,1
www.memory,Alan Jackson,45,45,15,11
Stan,Eminem Featuring Dido,51,51,15,11
Feels Like Love,Vince Gill,52,52,20,7
Hemorrhage (In My Hands),Fuel,30,30,22,17
Girls Dem Sugar,Beenie Man Featuring Mya,54,54,15,9
Loser,3 Doors Down,55,55,20,14
Go On,George Strait,40,56,20,6
Last Resort,Papa Roach,57,57,20,2
Tell Her,Lonestar,39,39,20,18
Open My Heart,Yolanda Adams,57,59,20,6
No More (Baby I'ma Do Right),3LW,23,23,25,21
It's My Life,Bon Jovi,33,61,20,4
Pop Ya Collar,Usher,60,62,7,3
Emotional,Carl Thomas,47,47,20,19
You Should've Told Me,Kelly Price,64,64,20,10
So In Love With Two,Mikaila,25,25,16,15
Rollin',Limp Bizkit,65,65,17,14
Give Me Just One Night (Una Noche),98 Degrees,2,66,20,5
If I Am,Nine Days,68,68,5,5
Bounce With Me,Lil Bow Wow Featuring Xscape,20,69,20,5
Stronger,Britney Spears,11,11,15,15
Original Prankster,The Offspring,70,70,9,8
That's The Kind Of Mood I'm In,Patty Loveless,71,72,14,3
Babylon,David Gray,57,57,18,18
My Baby You,Marc Anthony,70,74,20,9
How Many Licks?,Lil' Kim Featuring Sisqo,75,75,9,8
My Love Goes On And On,Chris Cagle,76,76,11,5
Burn,Jo Dee Messina,42,42,20,20
Kiss This,Aaron Tippin,42,78,20,6
Can't Fight The Moonlight,LeAnn Rimes,71,79,20,8
You Won't Be Lonely Now,Billy Ray Cyrus,80,80,13,3
Meanwhile Back At The Ranch,The Clark Family Experience,80,80,12,10
Bow Wow (That's My Name),Lil Bow Wow,21,21,20,19
Straight Up,Chante Moore,83,83,9,4
Who Let The Dogs Out,Baha Men,40,84,20,1
That Other Woman,Changing Faces,64,85,11,2
The Itch,Vitamin C,45,45,9,9
What Means The World To You,Cam'Ron,83,87,10,3
Bad Boyz,Shyne Featuring Barrington Levy,57,88,15,3
Just Be A Man About It,Toni Braxton,32,89,20,2
Oklahoma,Billy Gilman,63,63,13,10
Do You,Funkmaster Flex Featuring DMX,91,91,7,4
There You Are,Martina McBride,60,92,13,1
The Light,Common,44,93,19,2
South Side,Moby Featuring Gwen Stefani,14,14,32,32
Summer Rain,Carl Thomas,80,95,11,1
Sleepwalker,The Wallflowers,73,96,6,1
Californication,Red Hot Chili Peppers,69,97,19,1
Spanish Guitar,Toni Braxton,98,98,3,3
Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,95,99,5,2
Aaron's Party (Come Get It),Aaron Carter,35,100,15,1
Love Don't Cost A Thing,Jennifer Lopez,3,3,21,21
My Everything,98 Degrees,34,34,20,20
Crazy,K-Ci & JoJo,11,11,25,25
Ashes By Now,Lee Ann Womack,45,45,17,17
Don't Tell Me,Madonna,4,4,21,21
It's Over Now,112,6,6,20,20
One Woman Man,Dave Hollister,44,44,20,20
Project Chick,Cash Money Millionaires,47,47,13,13
A Little Gasoline,Terri Clark,75,75,6,6
Danger (Been So Long),Mystikal Featuring Nivea,14,14,20,20
Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,68,68,13,13
Could It Be,Jaheim,26,26,20,20
Liquid Dreams,O-Town,10,10,12,12
Mamacita,Public Announcement,39,39,8,8
There Is No Arizona,Jamie O'Neal,40,40,20,20
Promise,Jagged Edge,9,9,21,21
This Everyday Love,Rascal Flatts,56,56,14,14
Wild Horses,Garth Brooks,50,50,14,14
But For The Grace Of God,Keith Urban,37,37,20,20
Put It On Me,Ja Rule Featuring Lil' Mo & Vita,8,8,27,27
All Good?,De La Soul Featuring Chaka Khan,96,96,3,3
Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,83,83,12,12
The Christmas Shoes,NewSong,42,42,2,2
Still On Your Side,BBMak,54,54,9,9
You Shouldn't Kiss Me Like This,Toby Keith,32,32,20,20
X,Xzibit,76,76,10,10
Angel,Shaggy Featuring Rayvon,1,1,28,28
Thank You In Advance,Boyz II Men,80,80,4,4
I Know,Sunday,98,98,2,2
Where Are You Christmas?,Faith Hill,65,65,1,1
You Make Me Sick,P!nk,33,33,19,19
Stutter,Joe Featuring Mystikal,1,1,26,26
Butterfly,Crazy Town,1,1,23,23
Bouncing Off The Ceiling (Upside Down),A*Teens,93,93,3,3
Lady (Hear Me Tonight),Modjo,81,81,19,19
Cha-Cha Slide,Mr. C The Slide Man,83,83,10,10
Stranger In My House,Tamia,10,10,21,21
Thank You,Dido,3,3,39,39
After Party,Koffee Brown,44,44,20,20
By Your Side,Sade,75,75,11,11
A Good Day To Run,Darryl Worley,76,76,9,9
One More Day,Diamond Rio,29,29,20,20
Southern Hospitality,Ludacris,23,23,20,20
