song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Easy On Me,Adele,1,1,31,27
Stay,The Kid Laroi & Justin Bieber,1,2,63,46
Industry Baby,Lil Nas X & Jack Harlow,1,3,42,27
Bad Habits,Ed Sheeran,2,4,56,37
Shivers,Ed Sheeran,4,4,52,44
One Right Now,Post Malone & The Weeknd,6,6,27,27
Fancy Like,Walker Hayes,3,7,45,25
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),5,5,20,20
Need To Know,Doja Cat,8,8,48,27
Heat Waves,Glass Animals,1,1,91,49
Escape Plan,Travis Scott,11,11,3,3
Way 2 Sexy,Drake Featuring Future & Young Thug,1,12,20,11
No Love,Summer Walker & SZA,13,13,20,20
Cold Heart (PNAU Remix),Elton John & Dua Lipa,7,7,52,43
Good 4 U,Olivia Rodrigo,1,13,51,26
Essence,Wizkid Featuring Justin Bieber & Tems,9,15,35,17
Beggin',Maneskin,13,16,25,6
Levitating,Dua Lipa,2,12,77,20
You Right,Doja Cat & The Weeknd,11,14,43,24
Kiss Me More,Doja Cat Featuring SZA,3,19,43,13
If I Didn't Love You,Jason Aldean & Carrie Underwood,15,21,25,10
Save Your Tears,The Weeknd & Ariana Grande,1,16,69,22
Knife Talk,Drake Featuring 21 Savage & Project Pat,4,23,29,20
Chasing After You,Ryan Hurd With Maren Morris,23,24,30,3
Bitter,Summer Walker & Cardi B,25,25,1,1
Mafia,Travis Scott,26,26,1,1
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,21,27,26,18
Girls Want Girls,Drake Featuring Lil Baby,2,28,20,11
Better Days,NEIKED X Mae Muller X Polo G,23,23,20,17
Buy Dirt,Jordan Davis Featuring Luke Bryan,22,22,37,24
Happier Than Ever,Billie Eilish,11,26,26,12
Love Nwantiti (Ah Ah Ah),CKay,26,26,29,22
Ex For A Reason,Summer Walker & JT,33,33,5,4
Traitor,Olivia Rodrigo,9,34,25,1
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",17,35,20,16
Ghost,Justin Bieber,5,5,52,46
Pepas,Farruko,25,37,21,6
Thats What I Want,Lil Nas X,8,8,45,38
Cold As You,Luke Combs,32,32,20,6
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,30,30,26,14
Throw It Away,Summer Walker,41,41,1,1
Montero (Call Me By Your Name),Lil Nas X,1,41,35,3
My Universe,Coldplay x BTS,1,29,17,11
Reciprocate,Summer Walker,44,44,1,1
Toxic,Summer Walker Featuring Lil Durk,45,45,1,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,23,39,4
You Should Probably Leave,Chris Stapleton,28,28,36,18
Unloyal,Summer Walker & Ari Lennox,48,48,1,1
Constant Bulls**t,Summer Walker,49,49,1,1
You Don't Know Me,Summer Walker,50,50,1,1
Same Boat,Zac Brown Band,48,50,17,10
Insane,Summer Walker,52,52,1,1
Wild Side,Normani Featuring Cardi B,14,53,20,4
Circus,Summer Walker,54,54,1,1
Have Mercy,Chloe,28,54,20,12
4th Baby Mama,Summer Walker,56,56,1,1
Family Ties,Baby Keem & Kendrick Lamar,18,57,19,9
Gyalis,Capella Grey,38,58,19,5
Switch A N*gga Out,Summer Walker,59,59,1,1
Closure,Summer Walker,60,60,1,1
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,51,51,21,15
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,22,62,15,5
