song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Tonight's The Night (Gonna Be Alright),Rod Stewart,1,1,23,14
The Rubberband Man,The Spinners,2,2,21,9
Love So Right,Bee Gees,3,3,23,12
Muskrat Love,Captain & Tennille,4,4,20,10
The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,2,5,21,7
You Don't Have To Be A Star (To Be In My Show),Marilyn McCoo & Billy Davis Jr.,1,1,26,14
Beth/Detroit Rock City,Kiss,7,7,21,8
More Than A Feeling,Boston,5,5,19,8
Nadia's Theme (The Young And The Restless),Barry Devorzon And Perry Botikin Jr.,8,8,22,8
You Are The Woman,Firefall,9,9,22,7
Nights Are Forever Without You,England Dan & John Ford Coley,10,10,16,8
You Make Me Feel Like Dancing,Leo Sayer,1,1,21,15
Disco Duck (Part I),Rick Dees & His Cast Of Idiots,1,13,25,9
Just To Be Close To You,Commodores,7,14,16,5
Sorry Seems To Be The Hardest Word,Elton John,6,6,14,11
I Never Cry,Alice Cooper,12,12,27,11
The Best Disco In Town,The Ritchie Family,17,17,20,6
Stand Tall,Burton Cummings,10,10,21,13
Love Me,Yvonne Elliman,14,14,19,10
After The Lovin',Engelbert Humperdinck,8,8,19,13
Love Ballad,L.T.D.,20,20,18,9
Hot Line,The Sylvers,5,5,24,16
Rock'n Me,Steve Miller,1,23,18,2
Dazz,Brick,3,3,21,15
Do You Feel Like We Do,Peter Frampton,10,25,18,7
Livin' Thing,Electric Light Orchestra,13,13,18,12
Hello Old Friend,Eric Clapton,24,24,14,7
It's A Long Way There,Little River Band,28,28,16,5
If You Leave Me Now,Chicago,1,29,21,5
Fernando,ABBA,13,30,16,3
(Don't Fear) The Reaper,Blue Oyster Cult,12,31,20,2
Magic Man,Heart,9,32,23,3
I Only Want To Be With You,Bay City Rollers,12,33,16,3
Jeans On,David Dundas,17,17,21,13
Shake Your Rump To The Funk,The Bar-Kays,23,23,16,9
Lost Without Your Love,Bread,9,9,16,15
Whenever I'm Away From You,John Travolta,38,38,6,1
You Are My Starship,Norman Connors,27,39,16,2
I Wish,Stevie Wonder,1,1,17,17
Don't Take Away The Music,Tavares,34,34,12,7
Car Wash,Rose Royce,1,1,23,17
Saturday Nite,"Earth, Wind & Fire",21,21,15,13
Enjoy Yourself,The Jacksons,6,6,21,18
I Like Dreamin',Kenny Nolan,3,3,27,23
"Do What You Want, Be What You Are",Daryl Hall  John Oates,39,39,15,10
Down To Love Town,The Originals,47,47,9,3
I Kinda Miss You,The Manhattans,46,46,8,3
Mademoiselle,Styx,36,36,11,8
Whispering/Cherchez La Femme/Se Si Bon,Dr. Buzzard's Original Savannah Band,27,27,20,16
I Don't Wanna Lose Your Love,The Emotions,51,51,6,2
Flight '76,The Walter Murphy Band,44,44,10,7
This Song,George Harrison,25,25,11,9
Keep Me Cryin',Al Green,37,37,14,8
Walk This Way,Aerosmith,10,10,17,15
Let's Be Young Tonight,Jermaine Jackson,55,55,13,2
It Keeps You Runnin',The Doobie Brothers,37,37,14,11
Every Face Tells A Story,Olivia Newton-John,55,55,9,5
"Ob-la-di, Ob-la-da",The Beatles,49,49,7,5
What Can I Say,Boz Scaggs,42,42,14,12
Ain't Nothing Like The Real Thing,Donny & Marie Osmond,21,21,13,12
Baby Boy,Mary Kay Place As Loretta Haggers,60,60,13,8
"Baby, I'll Give It To You",Seals & Crofts,58,58,7,5
Lets Get It Together,El Coco,61,61,8,2
Drivin' Wheel,Foghat,34,34,10,9
Torn Between Two Lovers,Mary MacGregor,1,1,22,20
Do It To My Mind,Johnny Bristol,43,43,11,10
Weekend In New England,Barry Manilow,10,10,19,18
Heart On My Sleeve,Gallagher And Lyle,67,67,8,2
Help Wanted,The Hudson Brothers,70,70,5,1
Catfish,Four Tops,71,71,6,1
Blinded By The Light,Manfred Mann's Earth Band,1,1,20,18
Nice 'N' Naasty,The Salsoul Orchestra,30,73,14,3
If Not You,Dr. Hook,55,55,11,10
You Ought To Be Havin' Fun,Tower of Power,68,75,8,1
Play That Funky Music,Wild Cherry,1,76,25,1
Don't Fight The Hands (That Need You),"Hamilton, Joe Frank & Dennison",72,72,8,3
Someone To Lay Down Beside Me,Linda Ronstadt,42,42,11,11
"Baby, Baby I Love You",Terry Cashman,79,79,2,1
Sixteen Reasons,Laverne & Shirley,65,65,4,3
St. Charles,Jefferson Starship,64,64,5,5
I Like To Do It,KC And The Sunshine Band,37,37,12,12
Free Bird,Lynyrd Skynyrd,19,38,20,8
Living Next Door To Alice,Smokie,25,25,20,20
"9,999,999 Tears",Dickey Lee,52,52,10,8
Sherry,The Keane Brothers,84,84,5,2
Open Sesame - Part 1,Kool & The Gang,55,55,13,9
Slow Dancing,Funky Kings,61,61,11,7
"Man Smart, Woman Smarter",Robert Palmer,63,63,7,7
You've Got Me Runnin',Gene Cotton,33,33,11,11
Dog Eat Dog,Ted Nugent,91,91,2,1
Makes You Blind,The Glitter Band,91,91,6,2
You're My Driving Wheel,The Supremes,85,85,5,5
Laid Back Love,Major Harris,91,91,4,3
A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,1,95,28,1
That'll Be The Day,Linda Ronstadt,11,96,16,1
She's Gone,Daryl Hall  John Oates,7,97,28,1
Caledonia,Robin Trower,82,82,7,7
Give It Up (turn It Loose),Tyrone Davis,38,99,11,1
All Roads (Lead Back To You),Donny Most,97,97,3,3
"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,1,1,25,25
Yesterday's Hero,Bay City Rollers,54,54,7,7
Night Moves,Bob Seger,4,4,21,21
Dancing Queen,ABBA,1,1,22,22
Save It For A Rainy Day,Stephen Bishop,22,22,15,15
Free,Deniece Williams,25,25,20,20
Heart On My Sleeve,Bryan Ferry,86,86,4,4
White Bird,David LaFlamme,89,89,7,7
Silver Heels,Blaze,95,95,2,2
Year Of The Cat,Al Stewart,8,8,17,17
Love Bug,Bumble Bee Unlimited,92,92,5,5
New Kid In Town,Eagles,1,1,15,15
Fly Like An Eagle,Steve Miller,2,2,20,20
Hard Luck Woman,Kiss,15,15,13,13
Spring Affair/Winter Melody,Donna Summer,43,43,14,14
Dreamboat Annie,Heart,42,42,10,10
Lucky Man,Starbuck,73,73,5,5
I Can't Ask For Anymore Than You,Cliff Richard,80,80,4,4
Don't Leave Me This Way,Thelma Houston,1,1,24,24
Happier,Paul Anka,60,60,7,7
"Baby, You Look Good To Me Tonight",John Denver,65,65,7,7
Moody Blue/she Thinks I Still Care,Elvis Presley,31,31,13,13
Carry On Wayward Son,Kansas,11,11,20,20
When Love Is New,Arthur Prysock,64,64,9,9
C.b. Savage,Rod Hart,67,67,7,7
Ha Cha Cha (funktion),Brass Construction,51,51,12,12
Prisoner (Captured By Your Eyes),L.A. Jets,86,86,5,5
Feelings,Walter Jackson,93,93,4,4
Hey Baby,J.J. Cale,96,96,3,3
Spend Some Time,Elvin Bishop Featuring Mickey Thomas,93,93,8,8
(She's Just A) Fallen Angel,Starz,95,95,3,3
Go Your Own Way,Fleetwood Mac,10,10,15,15
In The Mood,Henhouse Five Plus Too,40,40,7,7
Be My Girl,The Dramatics,53,53,15,15
Fancy Dancer,Commodores,39,39,9,9
The Things We Do For Love,10cc,5,5,19,19
Hail! Hail! Rock And Roll!,Starland Vocal Band,71,71,6,6
Say You'll Stay Until Tomorrow,Tom Jones,15,15,16,16
Fly By Night/In The Mood,Rush,88,88,4,4
Disco Lucy (i Love Lucy Theme),Wilton Place Street Band,24,24,17,17
Baby Don't You Know,Wild Cherry,43,43,7,7
Dis-Gorilla (Part 1),Rick Dees & His Cast Of Idiots,56,56,6,6
Boogie Child,Bee Gees,12,12,15,15
I Don't Wanna Lose Your Love/Flowers,The Emotions,74,74,6,6
Pirate,Cher,93,93,2,2
"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays,72,72,4,4
Rich Girl,Daryl Hall  John Oates,1,1,20,20
Bless The Beasts And Children,Barry Devorzon And Perry Botikin Jr.,82,82,5,5
I Just Can't Say No To You,Parker McGee,42,42,7,7
You Know Like I Know,Ozark Mountain Daredevils,74,74,12,12
Daddy Cool,Boney M.,65,65,5,5
Shakey Ground,Phoebe Snow,70,70,4,4
Spring Rain,Silvetti,39,39,15,15
Sorry/That's The Trouble,Grace Jones,71,71,7,7
Theme From King Kong (Pt. I),Love Unlimited Orchestra,68,68,7,7
Up Your Nose,Gabriel Kaplan,91,91,3,3
Long Time,Boston,22,22,10,10
Crackerbox Palace,George Harrison,19,19,11,11
Sam,Olivia Newton-John,20,20,13,13
Don't Give Up On Us,David Soul,1,1,19,19
Feel The Beat (Everybody Disco),Ohio Players,61,61,5,5
Right Time Of The Night,Jennifer Warnes,6,6,22,22
I've Got Love On My Mind,Natalie Cole,5,5,21,21
Reach,Orleans,51,51,8,8
So In To You,Atlanta Rhythm Section,7,7,19,19
Hey Baby,Ringo Starr,74,74,3,3
Gloria,Enchantment,25,25,13,13
Turn Loose Of My Leg,Jim Stafford,98,98,2,2
Love To The World,L.T.D.,91,91,3,3
Somebody To Love,Queen,16,16,11,1
Here Come Those Tears Again,Jackson Browne,23,23,9,9
Kong,Dickie Goodman,48,48,6,6
Do Ya,Electric Light Orchestra,24,24,12,12
Here Is Where Your Love Belongs,The Sons Of Champlin,80,80,5,5
Look Into Your Heart,Aretha Franklin,82,82,4,4
Somethin' 'bout 'cha,Latimore,37,37,10,10
I'll Always Call Your Name,Little River Band,62,62,5,5
Dreamin,Loleatta Holloway,72,72,9,9
Ashes And Sand,Johnny Rivers,96,96,4,4
Bite Your Lip (Get up and dance!),Elton John,28,28,6,6
Maybe I'm Amazed,Wings,10,10,13,13
The First Cut Is The Deepest,Rod Stewart,21,21,12,12
Dedication,Bay City Rollers,60,60,7,7
At Midnight (My Love Will Lift You Up),Rufus Featuring Chaka Khan,30,30,12,12
Too Hot To Stop (Pt. 1),The Bar-Kays,74,74,4,4
Reaching For The World,Harold Melvin And The Blue Notes,74,74,4,4
Southern Nights,Glen Campbell,1,1,21,21
My Pearl,Automatic Man,97,97,2,2
All Strung Out On You,John Travolta,34,34,8,8
You + Me = Love/Let's Go Down To The Disco,Undisputed Truth,48,48,11,11
Race Among The Ruins,Gordon Lightfoot,65,65,4,4
I'm Scared,Burton Cummings,61,61,5,5
Tryin' To Love Two,William Bell,10,10,15,15
Welcome To Our World (Of Merry Music),Mass Production,68,68,4,4
"N.y., You Got Me Dancing",Andrea True Connection,27,27,11,11
Angel In Your Arms,Hot,6,6,27,27
Dancin',Crown Heights Affair,42,42,13,13
Couldn't Get It Right,Climax Blues Band,3,3,22,22
There Will Come A Day (I'm Gonna Happen To You),Smokey Robinson,42,42,11,11
Hotel California,Eagles,1,1,19,19
Love In 'C' Minor,The Heart And Soul Orchestra,46,46,7,7
When I Need You,Leo Sayer,1,1,20,20
I'm Your Boogie Man,KC And The Sunshine Band,1,1,23,23
Love In 'C' Minor - Pt. I,Cerrone,36,36,8,8
I Wanna Get Next To You,Rose Royce,10,10,17,17
Magical Mystery Tour,Ambrosia,39,39,8,8
Bodyheat (Part 1),James Brown,88,88,3,3
Love Is Better In The A.M. (Part 1),Johnnie Taylor,77,77,7,7
Sailing Ships,Mesa,55,55,9,9
Theme From Rocky (gonna Fly Now),Rhythm Heritage,94,94,3,3
Ritzy Mambo,The Salsoul Orchestra,99,99,1,1
Dance Little Lady Dance,Danny White,100,100,2,2
Phantom Writer,Gary Wright,43,43,7,7
"""Roots"" Medley",Quincy Jones,57,57,7,7
Sometimes,Facts of Life,31,31,10,10
Disco Inferno,The Trammps,53,53,9,9
Romeo,Mr. Big,87,87,7,7
Fire Sign,Cory,89,89,3,3
I Think We're Alone Now,The Rubinoos,45,45,12,12
Try It On,Exile,97,97,3,3
It Ain't Easy Comin' Down,Charlene,97,97,4,4
Lido Shuffle,Boz Scaggs,11,11,17,17
My Sweet Lady,John Denver,32,32,11,11
Heard It In A Love Song,The Marshall Tucker Band,14,14,21,21
Dancin' Man,Q,23,23,13,13
Your Own Special Way,Genesis,62,62,5,5
Uptown Festival (Part 1),Shalamar,25,25,17,17
Do What You Wanna Do,T-Connection,46,46,17,17
Wake Up And Be Somebody,Brainstorm,86,86,3,3
I Wanna Do It To You,Jerry Butler,51,51,11,11
Old Fashioned Boy (You're The One),Stallion,37,37,9,9
Time Is Movin',The Blackbyrds,95,95,3,3
For Elise,The Philarmonics,100,100,2,2
Calling Dr. Love,Kiss,16,16,14,14
Can't Stop Dancin',Captain & Tennille,13,13,12,12
Your Love,Marilyn McCoo & Billy Davis Jr.,15,15,11,11
Tie Your Mother Down,Queen,49,49,6,6
Lonely Boy,Andrew Gold,7,7,21,21
You're Throwing A Good Love Away,The Spinners,43,43,7,7
Hello Stranger,Yvonne Elliman,15,15,16,16
If You've Got The Time,The Babys,88,88,2,2
Cherry Baby,Starz,33,33,10,10
(Theme from) Charlie's Angels,Henry Mancini And His Orchestra,45,45,9,9
You Take My Heart Away,James Darren,52,52,9,9
Whodunit,Tavares,22,22,15,15
I'll Be Standing By,Foghat,67,67,3,3
Lucille,Kenny Rogers,5,5,19,19
Rock And Roll Star,Champagne,83,83,4,4
Feels Like The First Time,Foreigner,4,4,22,22
Cinderella,Firefall,34,34,10,10
It Feels So Good To Be Loved So Bad,The Manhattans,66,66,18,18
Six Packs A Day,Billy Lemmons,93,93,1,1
Arrested For Driving While Blind,ZZ Top,91,91,6,6
Slowdown,John Miles,34,34,14,14
Part Time Love,Kerry Chater,97,97,2,2
Sir Duke,Stevie Wonder,1,1,17,17
Ain't Gonna Bump No More (with No Big Fat Woman),Joe Tex,12,12,18,18
Margaritaville,Jimmy Buffett,8,8,22,22
Sub-rosa Subway/calling Occupants,Klaatu,62,62,6,6
Sleepwalker,The Kinks,48,48,7,7
Sing,Tony Orlando & Dawn,58,58,4,4
Love's Grown Deep,Kenny Nolan,20,20,18,18
Deeply,Anson Williams,93,93,4,4
Undercover Angel,Alan O'Day,1,1,25,25
Slow Dancin' Don't Turn Me On,Addrisi Brothers,20,20,15,15
You Are On My Mind,Chicago,49,49,7,7
Back In The Saddle,Aerosmith,38,38,8,8
The Whistler,Jethro Tull,59,59,6,6
Sound And Vision,David Bowie,69,69,6,6
Brooklyn,Cody Jameson,74,74,4,4
Hold Back The Night,Graham Parker And The Rumour,58,58,8,8
Show You The Way To Go,The Jacksons,28,28,10,10
You're Movin' Out Today,Bette Midler,42,42,14,14
Got To Give It Up (Pt. I),Marvin Gaye,1,1,18,18
Dreams,Fleetwood Mac,1,1,19,19
Hooked On You,Bread,60,60,7,7
Everybody Be Dancin',Starbuck,38,38,8,8
Ariel,Dean Friedman,26,26,22,22
Down To The Station,B.W. Stevenson,82,82,5,5
Sad Girl,Carl Graves,83,83,5,5
Whatcha Gonna Do?,Pablo Cruise,6,6,26,26
High School Dance,The Sylvers,17,17,17,17
On The Border,Al Stewart,42,42,9,9
This Girl (Has Turned Into A Woman),Mary MacGregor,46,46,8,8
Mainstreet,Bob Seger,24,24,10,10
"Gonna Fly Now (Theme From ""Rocky"")",Maynard Ferguson,28,28,13,13
That Magic Touch,Angel,77,77,6,6
Gonna Fly Now,Bill Conti,1,1,20,20
Do You Wanna Make Love,Peter Mccann,5,5,22,22
This Is The Way That I Feel,Marie Osmond,39,39,8,8
I Just Want To Be Your Everything,Andy Gibb,1,1,31,31
Jet Airliner,The Steve Miller Band,8,8,18,18
Fly At Night,Chilliwack,75,75,6,6
