song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Physical,Olivia Newton-John,1,1,26,17
Waiting For A Girl Like You,Foreigner,2,2,23,15
Every Little Thing She Does Is Magic,The Police,3,3,19,9
Oh No,Commodores,4,4,20,10
Here I Am (Just When I Thought I Was Over You),Air Supply,5,5,20,10
Private Eyes,Daryl Hall  John Oates,1,6,23,9
Let's Groove,"Earth, Wind & Fire",3,3,24,15
Young Turks,Rod Stewart,5,5,19,12
Why Do Fools Fall In Love,Diana Ross,7,7,20,13
Start Me Up,The Rolling Stones,2,10,24,9
Don't Stop Believin',Journey,9,9,16,11
Leather And Lace,Stevie Nicks With Don Henley,6,6,19,13
Trouble,Lindsey Buckingham,9,9,19,13
Harden My Heart,Quarterflash,3,3,24,17
The Old Songs,Barry Manilow,15,15,16,8
Yesterday's Songs,Neil Diamond,11,11,15,11
Arthur's Theme (Best That You Can Do),Christopher Cross,1,17,24,8
I Can't Go For That (No Can Do),Daryl Hall  John Oates,1,1,21,18
Comin' In And Out Of Your Life,Barbra Streisand,11,11,16,13
The Sweetest Thing (I've Ever Known),Juice Newton,7,7,24,17
Our Lips Are Sealed,Go-Go's,20,20,30,16
Take My Heart (You Can Have It If You Want It),Kool & The Gang,17,17,17,10
Turn Your Love Around,George Benson,5,5,22,16
"My Girl (Gone, Gone, Gone)",Chilliwack,22,22,19,9
Cool Night,Paul Davis,11,11,19,15
Heart Like A Wheel,The Steve Miller Band,24,24,14,9
Hooked On Classics,Royal Philharmonic Orchestra,10,10,20,15
Steal The Night,Stevie Woods,25,25,21,9
No Reply At All,Genesis,29,29,18,8
Centerfold,The J. Geils Band,1,1,25,21
Tryin' To Live My Life Without You,Bob Seger,5,31,19,7
Someone Could Lose A Heart Tonight,Eddie Rabbitt,15,15,15,12
Never Too Much,Luther Vandross,33,33,15,7
Poor Man's Son,Survivor,33,33,14,7
The Night Owls,Little River Band,6,35,21,6
I Wouldn't Have Missed It For The World,Ronnie Milsap,20,20,17,11
