song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Mack The Knife,Bobby Darin,1,1,26,11
Heartaches By The Number,Guy Mitchell,1,1,20,11
Mr. Blue,The Fleetwoods,1,2,20,7
Don't You Know,Della Reese,2,4,18,7
In The Mood,Ernie Fields & Orch.,4,4,19,8
We Got Love,Bobby Rydell,6,6,17,9
So Many Ways,Brook Benton,6,7,16,9
Be My Guest,Fats Domino,8,8,14,8
Oh! Carol,Neil Sedaka,9,9,18,10
Danny Boy,Conway Twitty,10,10,18,8
Put Your Head On My Shoulder,Paul Anka,2,11,18,4
Deck Of Cards,Wink Martindale,7,12,17,5
Misty,Johnny Mathis,12,13,17,8
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,9,14,18,6
El Paso,Marty Robbins,1,1,22,18
Scarlet Ribbons (For Her Hair),The Browns,13,13,14,9
The Big Hurt,Miss Toni Fisher,3,3,17,14
It's Time To Cry,Paul Anka,4,4,15,13
Uh! Oh! Part 2,The Nutty Squirrels,14,14,12,8
Come Into My Heart,Lloyd Price and His Orchestra,20,20,14,8
Hound Dog Man,Fabian,9,9,15,12
Always,Sammy Turner,19,22,12,7
Dance With Me,The Drifters,15,23,15,7
Why,Frankie Avalon,1,1,16,14
This Friendly World,Fabian,12,12,13,11
Lonely Street,Andy Williams,5,26,16,3
Woo-Hoo,Rock-A-Teens,16,27,12,3
Reveille Rock,Johnny And The Hurricanes,25,28,13,8
Primrose Lane,Jerry Wallace With The Jewels,8,29,21,5
Unforgettable,Dinah Washington,17,29,13,4
Way Down Yonder In New Orleans,Freddie Cannon,3,3,15,13
Marina,Rocco Granata and the International Quintet,31,31,11,7
Just As Much As Ever,Bob Beckham,32,33,21,5
"(If You Cry) True Love, True Love",The Drifters,33,33,11,6
The Enchanted Sea,The Islanders,15,35,13,3
Believe Me,Royal Teens,26,35,15,9
Sandy,Larry Hall,15,15,15,13
Among My Souvenirs,Connie Francis,7,7,15,13
You Got What It Takes,Marv Johnson,10,10,22,17
I Wanna Be Loved,Ricky Nelson,20,20,11,10
Teen Beat,Sandy Nelson,4,41,16,3
First Name Initial,Annette With The Afterbeats,20,20,18,12
Talk To Me,Frank Sinatra,38,43,11,4
Pretty Blue Eyes,Steve Lawrence,9,9,18,16
I'm Movin' On,Ray Charles and his Orchestra,40,40,10,6
Midnight Stroll,The Revels,35,46,10,3
Love Potion No. 9,The Clovers,23,47,17,5
You Were Mine,Fireflies,21,48,16,3
Joey's Song,Bill Haley And His Comets,46,49,12,3
Smooth Operator,Sarah Vaughan,44,44,9,4
Running Bear,Johnny Preston,1,1,27,20
Tear Drop,Santo & Johnny,23,23,11,10
If I Give My Heart To You,Kitty Kallen,34,53,12,3
High School U.S.A.,Tommy Facenda,28,47,13,6
Battle Hymn Of The Republic,The Mormon Tabernacle Choir,13,55,16,3
Wont'cha Come Home,Lloyd Price and His Orchestra,43,56,10,6
Living Doll,Cliff Richard and The Drifters,30,57,13,3
I've Been Around,Fats Domino,33,51,9,3
God Bless America,Connie Francis,36,36,11,8
Marina,Willy Alberti,42,42,8,7
Mighty Good,Ricky Nelson,38,38,9,8
The Clouds,The Spacemen,41,46,14,7
The Best Of Everything,Johnny Mathis,62,63,5,2
The Enchanted Sea,The Exotic Sounds of Martin Denny,28,64,8,2
