song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Royals,Lorde,1,1,44,24
The Monster,Eminem Featuring Rihanna,1,1,29,26
Wrecking Ball,Miley Cyrus,1,1,32,19
Counting Stars,OneRepublic,2,2,68,46
Wake Me Up!,Avicii,4,5,53,32
Demons,Imagine Dragons,6,6,61,31
Roar,Katy Perry,1,7,35,20
Timber,Pitbull Featuring Ke$ha,1,1,39,33
"Hold On, We're Going Home",Drake Featuring Majid Jordan,4,9,33,18
Let Her Go,Passenger,5,5,43,27
Diana,One Direction,11,11,1,1
Midnight Memories,One Direction,12,12,3,3
Story Of My Life,One Direction,6,8,32,29
Applause,Lady Gaga,4,14,23,9
23,"Mike Will Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",11,14,23,14
Unconditionally,Katy Perry,14,14,20,16
Holy Grail,Jay Z Featuring Justin Timberlake,4,17,27,8
Say Something,A Great Big World & Christina Aguilera,4,4,26,24
Sweater Weather,The Neighbourhood,14,14,37,14
Do What U Want,Lady Gaga Featuring R. Kelly,13,16,19,15
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1,19,48,17
Stay The Night,Zedd Featuring Hayley Williams,18,18,22,13
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,15,15,22,13
Radioactive,Imagine Dragons,3,13,87,23
What Now,Rihanna,25,25,8,4
My Hitta,YG Featuring Jeezy & Rich Homie Quan,19,19,28,21
Love More,Chris Brown Featuring Nicki Minaj,23,27,26,9
Brave,Sara Bareilles,23,23,42,19
Slow Down,Selena Gomez,27,27,20,5
We Were Us,Keith Urban And Miranda Lambert,26,30,20,10
Safe And Sound,Capital Cities,8,28,43,14
Sail,AWOLNATION,17,32,79,16
Marry Me,Jason Derulo,26,26,17,10
Stay,Florida Georgia Line,28,28,20,15
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,6,35,23,4
Burn,Ellie Goulding,13,13,36,25
Still Into You,Paramore,24,37,20,1
TKO,Justin Timberlake,36,36,17,8
Mine Would Be You,Blake Shelton,28,39,20,4
That's My Kind Of Night,Luke Bryan,15,34,21,7
