song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
My Boo,Usher And Alicia Keys,1,1,26,14
Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,1,1,30,21
Over And Over,Nelly Featuring Tim McGraw,3,3,24,17
Lose My Breath,Destiny's Child,3,4,23,13
Let Me Love You,Mario,1,1,36,30
Wonderful,Ja Rule Featuring R. Kelly & Ashanti,5,6,20,13
Let's Go,Trick Daddy Featuring Lil Jon & Twista,7,7,22,11
Breakaway,Kelly Clarkson,6,8,46,32
"1, 2 Step",Ciara Featuring Missy Elliott,2,2,39,34
Goodies,Ciara Featuring Petey Pablo,1,10,38,15
Breathe,Fabolous,10,11,20,9
She Will Be Loved,Maroon 5,5,12,41,22
Oye Mi Canto,"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",12,13,22,8
Just Lose It,Eminem,6,14,19,11
Go D.J.,Lil Wayne,14,15,20,11
I Don't Want To Be,Gavin DeGraw,10,10,28,22
Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,3,3,22,21
Shorty Wanna Ride,Young Buck,17,18,19,12
Dare You To Move,Switchfoot,17,17,20,11
Soldier,Destiny's Child Featuring T.I. & Lil Wayne,3,3,21,20
Broken,Seether Featuring Amy Lee,20,20,21,8
Charlene,Anthony Hamilton,19,19,22,9
Baby It's You,JoJo Featuring Bow Wow,22,22,18,10
Balla Baby,Chingy,20,24,18,10
On The Way Down,Ryan Cabrera,15,25,27,9
Lean Back,Terror Squad,1,24,31,8
Hush,LL Cool J Featuring 7 Aurelius,26,26,18,8
One Thing,Finger Eleven,16,27,29,10
Diary,Alicia Keys Featuring Tony! Toni! Tone!,8,29,28,4
My Happy Ending,Avril Lavigne,9,30,25,7
Vertigo,U2,31,31,20,12
Nothing On But The Radio,Gary Allan,32,32,20,9
The Woman With You,Kenny Chesney,33,33,17,10
What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,22,22,19,15
Mr. Mom,Lonestar,33,35,20,9
1985,Bowling For Soup,23,36,20,8
Back When,Tim McGraw,30,30,19,13
Locked Up,Akon Featuring Styles P.,8,38,27,2
Some Beach,Blake Shelton,28,28,20,15
Daughters,John Mayer,19,19,23,19
Get Back,Ludacris,13,13,20,18
Heaven,Los Lonely Boys,16,42,30,1
The Reason,Hoobastank,2,43,38,1
Only U,Ashanti,13,13,19,17
If I Ain't Got You,Alicia Keys,4,45,40,1
Welcome To My Life,Simple Plan,40,40,18,15
U Make Me Wanna,Jadakiss Featuring Mariah Carey,21,21,13,11
That's What It's All About,Brooks & Dunn,38,48,20,6
This Love,Maroon 5,5,49,43,1
What You Waiting For?,Gwen Stefani,47,50,20,13
Somebody Told Me,The Killers,51,51,20,7
New York,Ja Rule Featuring Fat Joe & Jadakiss,27,27,14,12
How We Do,The Game Featuring 50 Cent,4,4,28,27
Karma,Lloyd Banks Featuring Avant,17,17,20,18
Encore,"Eminem, Dr. Dre & 50 Cent",25,25,15,13
"Awful, Beautiful Life",Darryl Worley,30,30,20,17
How Am I Doin',Dierks Bentley,49,49,16,10
Let's Get It Started,The Black Eyed Peas,21,57,20,3
