song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Lose Yourself,Eminem,1,1,23,14
Work It,"Missy ""Misdemeanor"" Elliott",2,2,25,13
Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,3,3,20,12
Underneath It All,No Doubt Featuring Lady Saw,3,4,30,16
The Game Of Love,Santana Featuring Michelle Branch,5,5,37,28
Luv U Better,LL Cool J,4,6,22,7
Gimme The Light,Sean Paul,7,7,39,8
'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,4,4,23,17
Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",3,9,21,7
Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",3,3,20,16
Dilemma,Nelly Featuring Kelly Rowland,1,11,29,8
Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,8,8,36,19
Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,9,9,27,14
Die Another Day,Madonna,8,14,17,10
Landslide,Dixie Chicks,7,7,29,18
One Last Breath,Creed,6,16,34,8
Like I Love You,Justin Timberlake,11,17,20,7
dontchange,Musiq,17,17,26,13
She Hates Me,Puddle of Mudd,13,13,23,15
Sk8er Boi,Avril Lavigne,10,20,20,8
When The Last Time,Clipse,19,19,21,9
Beautiful,Christina Aguilera,2,2,27,25
These Days,Rascal Flatts,23,23,20,11
Your Body Is A Wonderland,John Mayer,18,18,29,24
A Moment Like This,Kelly Clarkson,1,25,20,9
Somebody Like You,Keith Urban,23,26,20,4
Complicated,Avril Lavigne,2,27,31,4
She'll Leave You With A Smile,George Strait,23,23,20,11
Stole,Kelly Rowland,27,28,20,10
Who's Your Daddy?,Toby Keith,22,22,20,11
Baby,Ashanti,15,31,22,3
Disease,Matchbox Twenty,29,29,20,13
I Care 4 U,Aaliyah,16,33,20,5
I'm Gonna Getcha Good!,Shania Twain,34,34,20,13
Girl Talk,TLC,28,35,14,8
React,Erick Sermon Featuring Redman,36,36,16,9
Po' Folks,Nappy Roots Featuring Anthony Hamilton,21,37,23,3
