song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Love Child,Diana Ross & The Supremes,1,1,16,9
Hey Jude,The Beatles,1,2,19,7
For Once In My Life,Stevie Wonder,2,2,14,9
I Heard It Through The Grapevine,Marvin Gaye,1,1,15,13
Who's Making Love,Johnnie Taylor,5,5,14,8
Magic Carpet Ride,Steppenwolf,3,6,16,7
"Abraham, Martin And John",Dion,4,4,14,8
Wichita Lineman,Glen Campbell,3,3,15,10
Stormy,Classics IV Featuring Dennis Yost,5,5,15,9
Those Were The Days,Mary Hopkin,2,10,14,4
I Love How You Love Me,Bobby Vinton,9,9,14,9
Hold Me Tight,Johnny Nash,5,12,15,3
Both Sides Now,Judy Collins,8,8,11,7
White Room,Cream,6,14,11,2
Cloud Nine,The Temptations,6,6,12,9
Little Arrows,Leapy Lee,16,16,14,6
See Saw,Aretha Franklin,14,14,8,6
Bring It On Home To Me,Eddie Floyd,17,17,13,6
"Promises, Promises",Dionne Warwick,19,19,9,4
Chewy Chewy,Ohio Express,15,15,13,6
Little Green Apples,O.C. Smith,2,21,17,1
Bang-Shang-A-Lang,The Archies,22,22,13,3
Midnight Confessions,The Grass Roots,5,23,15,1
Cinnamon,Derek,11,11,15,9
Quick Joey Small (Run Joey Run),Kasenetz-Katz Singing Orchestral Circus,25,25,11,2
Scarborough Fair,Sergio Mendes & Brasil '66,16,16,9,6
Pickin' Wild Mountain Berries,Peggy Scott & Jo Jo Benson,27,27,10,3
Too Weak To Fight,Clarence Carter,13,13,15,11
Cycles,Frank Sinatra,23,29,10,2
"Shame, Shame",Magic Lanterns,29,29,12,6
Soulful Strut,Young-Holt Unlimited,3,3,13,12
Elenore,The Turtles,6,32,12,1
Battle Hymn Of The Republic,Andy Williams with the St. Charles Borromeo Choir,33,33,13,6
Goodbye My Love,James Brown,31,31,7,3
Till,The Vogues,27,27,6,4
The Straight Life,Bobby Goldsboro,36,36,8,2
Hi-Heel Sneakers,Jose Feliciano,25,37,8,1
Kentucky Woman,Deep Purple,38,38,8,4
Les Bicyclettes De Belsize,Engelbert Humperdinck,31,39,9,2
Goody Goody Gumdrops,1910 Fruitgum Co.,37,37,9,3
Hooked On A Feeling,B.J. Thomas,5,5,16,13
Hang 'Em High,Booker T. & The MG's,9,9,18,14
Not Enough Indians,Dean Martin,43,43,9,4
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,14,14,12,10
I Can't Turn You Loose,The Chambers Brothers,37,37,8,6
Shake,Shadows Of Knight,46,46,8,2
Put Your Head On My Shoulder,The Lettermen,44,44,8,5
Peace Brother Peace,Bill Medley,48,48,7,1
Son-Of-A Preacher Man,Dusty Springfield,10,10,12,11
Papa's Got A Brand New Bag,Otis Redding,21,21,9,8
1432 Franklin Pike Circle Hero,Bobby Russell,36,51,7,1
Fire,Five By Five,52,52,7,2
Do Something To Me,Tommy James And The Shondells,38,53,9,1
People,The Tymes,39,39,8,5
Slow Drag,The Intruders,54,54,7,3
Ballad Of Two Brothers,Autry Inman,48,48,7,4
I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,2,2,13,13
A Ray Of Hope,The Rascals,24,24,8,8
My Song,Aretha Franklin,31,31,7,6
Talking About My Baby,Gloria Walker,60,60,7,2
Right Relations,Johnny Rivers,61,61,3,1
From The Teacher To The Preacher,Gene Chandler & Barbara Acklin,57,62,8,1
If I Can Dream,Elvis Presley,12,12,13,12
Crown Of Creation,Jefferson Airplane,64,64,6,1
Rockin' In The Same Old Boat,Bobby Bland,58,58,10,7
I Walk Alone,Marty Robbins,65,65,8,2
Stand By Your Man,Tammy Wynette,19,19,16,12
A Man And A Half,Wilson Pickett,42,42,6,3
This Is My Country,The Impressions,25,25,10,9
The Yard Went On Forever,Richard Harris,64,70,6,1
Don't Cry My Love,The Impressions,71,71,4,2
I Put A Spell On You,Creedence Clearwater Revival,58,58,9,5
Crosstown Traffic,The Jimi Hendrix Experience,52,52,8,7
Going Up The Country,Canned Heat,11,11,11,11
American Boys,Petula Clark,59,59,8,6
With A Little Help From My Friends,Joe Cocker,68,68,6,3
Love Machine,The O'Kaysions,76,76,6,4
Everyday People,Sly & The Family Stone,1,1,19,18
Keep On Dancing,Alvin Cash,66,66,5,3
Malinda,Bobby Taylor & The Vancouvers,48,48,7,7
Born To Be With You,Sonny James,81,81,4,2
Chitty Chitty Bang Bang,Paul Mauriat,76,76,8,6
Baby Let's Wait,The Royal Guardsmen,35,35,13,10
Coo Coo,Big Brother And The Holding Company,84,84,3,1
The Girl Most Likely,Jeannie C. Riley,55,55,6,6
"Come On, React!",The Fireballs,63,63,8,3
Just Ain't No Love,Barbara Acklin,67,67,9,6
Do You Wanna Dance,The Mamas & The Papas,76,76,5,3
Reach Out,Merrilee Rush,79,79,4,4
Bella Linda,The Grass Roots,28,28,9,8
Good Time Girl,Nancy Sinatra,65,65,5,4
Don't Make The Good Girls Go Bad,Della Humphrey,79,79,4,3
White Houses,Eric Burdon & The Animals,67,67,8,6
Ready Or Not Here I Come (Can't Hide From Love),The Delfonics,35,35,9,9
Yesterday's Rain,Spanky And Our Gang,94,94,3,3
Are You Happy,Jerry Butler,39,39,10,10
California Dreamin',Bobby Womack,43,43,9,9
Looking Back,Joe Simon,70,70,6,6
They Don't Make Love Like They Used To,Eddy Arnold,99,99,2,2
Vance,Roger Miller,80,80,6,6
Bluebirds Over The Mountain,The Beach Boys,61,61,6,6
My Favorite Things,Herb Alpert & The Tijuana Brass,45,45,6,6
Isn't It Lonely Together,O.C. Smith,63,63,6,6
Crimson And Clover,Tommy James And The Shondells,1,1,16,16
The Beginning Of My End,The Unifics,36,36,10,10
There's Gonna Be A Showdown,Archie Bell & The Drells,21,21,11,11
You Got Soul,Johnny Nash,58,58,7,7
Don't Be Afraid (Do As I Say),Frankie Karl & The Dreams,93,93,1,1
I've Gotta Be Me,Sammy Davis Jr.,11,11,16,16
Release Me,Johnny Adams,82,82,3,3
The Worm,Jimmy McGriff,97,97,1,1
Don't Pat Me On The Back And Call Me Brother,John W. Anderson presents KaSandra,91,91,2,2
I Started A Joke,Bee Gees,6,6,11,11
California Soul,The 5th Dimension,25,25,9,9
"Season Of The Witch, Pt. 1",Vanilla Fudge,65,65,3,3
Can I Change My Mind,Tyrone Davis,5,5,13,13
"Soul Sister, Brown Sugar",Sam & Dave,41,41,9,9
Ramblin' Gamblin' Man,Bob Seger System,17,17,14,14
Rainbow Ride,Andy Kim,49,49,7,7
A Minute Of Your Time,Tom Jones,48,48,10,10
Hey Jude,Wilson Pickett,23,23,9,9
Tit For Tat (Ain't No Taking Back),James Brown,86,86,4,4
Stay Close To Me,Five Stairsteps & Cubie,91,91,2,2
Shout! - Part 1,Chambers Brothers,83,83,5,5
Worst That Could Happen,Brooklyn Bridge,3,3,12,12
The Thought Of Loving You,The Crystal Mansion,84,84,5,5
Condition Red,The Goodees,46,46,11,11
Daddy Sang Bass,Johnny Cash,42,42,10,10
Touch Me,The Doors,3,3,13,13
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",61,61,6,6
Not On The Outside,The Moments,57,57,7,7
Kay,"John Wesley Ryles, I",83,83,5,5
Feelin' So Good (S.k.o.o.b.y-D.o.o),The Archies,53,53,8,8
"Sweet Cream Ladies, Forward March",The Box Tops,28,28,15,15
This Magic Moment,Jay & The Americans,6,6,14,14
Eloise,Barry Ryan,86,86,4,4
You've Got The Power,The Esquires,91,91,5,5
Does Anybody Know I'm Here,The Dells,38,38,9,9
I'm Into Lookin' For Someone To Love Me,Bobby Vee,98,98,3,3
I Can't Help It (If I'm Still In Love With You),Al Martino,97,97,3,3
Things I'd Like To Say,New Colony Six,16,16,16,16
"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,8,8,14,14
I Forgot To Be Your Lover,William Bell,45,45,9,9
Rain In My Heart,Frank Sinatra,62,62,6,6
Build Me Up Buttercup,The Foundations,3,3,15,15
"Ob-La-Di, Ob-La-Da",Arthur Conley,51,51,6,6
She's A Lady,John Sebastian,84,84,4,4
You Showed Me,The Turtles,6,6,12,12
If It Wasn't For Bad Luck,Ray Charles & Jimmy Lewis,77,77,6,6
Ain't Got No; I Got Life,Nina Simone,94,94,4,4
Goodnight My Love,Paul Anka,27,27,10,10
Games People Play,Joe South,12,12,12,12
If I Only Had Time,Nick DeCaro,95,95,1,1
Riot,Hugh Masekela,55,55,8,8
Tragedy,Brian Hyland,56,56,10,10
Take Care Of Your Homework,Johnnie Taylor,20,20,9,9
But You Know I Love You,The First Edition,19,19,11,11
I Got A Line On You,Spirit,25,25,12,12
There'll Come A Time,Betty Everett,26,26,11,11
Home Cookin,Jr. Walker & The All Stars,42,42,6,6
He Called Me Baby,Ella Washington,77,77,3,3
Almost Persuaded,Etta James,79,79,5,5
Getting The Corners,The T.S.U. Toronadoes,75,75,6,6
Bubble Gum Music,Rock & Roll Double Bubble,74,74,4,4
Poor Side Of Town,Al Wilson,75,75,4,4
May I,Bill Deal & The Rhondels,39,39,10,10
The Grooviest Girl In The World,The Fun And Games,78,78,4,4
Kum Ba Yah,Tommy Leonetti,54,54,9,9
I'm Gonna Hold On Long As I Can,The Marvelettes,76,76,3,3
Will You Be Staying After Sunday,The Peppermint Rainbow,32,32,14,14
This Old Heart Of Mine (Is Weak For You),Tammi Terrell,67,67,4,4
Fox On The Run,Manfred Mann,97,97,2,2
Mendocino,Sir Douglas Quintet,27,27,15,15
That's Your Baby,Joe Tex,88,88,3,3
I'm Livin' In Shame,Diana Ross & The Supremes,10,10,8,8
Proud Mary,Creedence Clearwater Revival,2,2,14,14
Give It Up Or Turnit A Loose,James Brown,15,15,9,9
River Deep-Mountain High,Deep Purple,53,53,5,5
Purple Haze,Dion,63,63,4,4
The Greatest Love,Dorsey Burnette,67,67,6,6
Indian Giver,1910 Fruitgum Co.,5,5,13,13
Let It Be Me,Glen Campbell & Bobbie Gentry,36,36,9,9
The Carroll County Accident,Porter Wagoner,92,92,4,4
Please Don't Desert Me Baby,Gloria Walker/Chevelles,98,98,2,2
Crossroads,Cream,28,28,8,8
Hey! Baby,Jose Feliciano,71,71,5,5
Soulshake,Peggy Scott & Jo Jo Benson,37,37,6,6
Good Lovin' Ain't Easy To Come By,Marvin Gaye & Tammi Terrell,30,30,7,7
30-60-90,Willie Mitchell,69,69,5,5
Dizzy,Tommy Roe,1,1,15,15
Grits Ain't Groceries (All Around The World),Little Milton,73,73,5,5
Woman Helping Man,The Vogues,47,47,6,6
This Girl's In Love With You,Dionne Warwick,7,7,12,12
Do Your Thing,The Watts 103rd Street Rhythm Band,11,11,17,17
My Special Prayer,Percy Sledge,93,93,4,4
Someday Soon,Judy Collins,55,55,6,6
Saturday Night At The World,Mason Williams,99,99,1,1
Cloud Nine,Mongo Santamaria,32,32,8,8
Time Of The Season,The Zombies,3,3,13,13
Traces,Classics IV Featuring Dennis Yost,2,2,12,12
To Susan On The West Coast Waiting,Donovan,35,35,6,6
You Gave Me A Mountain,Frankie Laine,24,24,11,11
Sophisticated Cissy,The Meters,34,34,8,8
Long Line Rider,Bobby Darin,79,79,3,3
Honey (I Miss You),O.C. Smith,44,44,6,6
My World Is Empty Without You,Jose Feliciano,87,87,1,1
Johnny One Time,Brenda Lee,41,41,11,11
Heaven,The Rascals,39,39,6,6
Me About You,The Lovin' Spoonful,91,91,2,2
Witchi Tai To,Everything Is Everything,69,69,5,5
"The Tra La La Song (One Banana, Two Banana)",The Banana Splits,96,96,1,1
Great Balls Of Fire,Tiny Tim,85,85,3,3
Glad She's A Woman,Bobby Goldsboro,61,61,6,6
Try A Little Tenderness,Three Dog Night,29,29,12,12
Only The Lonely,Sonny James,92,92,4,4
My Whole World Ended (The Moment You Left Me),David Ruffin,9,9,10,10
"Run Away Child, Running Wild",The Temptations,6,6,12,12
I Don't Know Why,Stevie Wonder,39,39,7,7
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,18,18,12,12
Lovin' Things,The Grass Roots,49,49,7,7
Hot Smoke & Sasafrass,The Bubble Puppy,14,14,12,12
Maybe Tomorrow,The Iveys,67,67,6,6
Hello It's Me,Nazz,71,71,7,7
No Not Much,The Smoke Ring,85,85,4,4
Anything You Choose,Spanky And Our Gang,86,86,3,3
Switch It On,Cliff Nobles & Co.,93,93,3,3
I Like What You're Doing (To Me),Carla Thomas,49,49,11,11
I Don't Want To Cry,Ruby Winters,97,97,2,2
