song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
I Wanna Love You,Akon Featuring Snoop Dogg,1,1,29,22
Smack That,Akon Featuring Eminem,2,2,30,22
Irreplaceable,Beyonce,1,1,30,26
My Love,Justin Timberlake Featuring T.I.,1,4,29,19
Fergalicious,Fergie,2,2,27,19
Lips Of An Angel,Hinder,3,6,33,15
Money Maker,Ludacris Featuring Pharrell,1,7,25,11
How To Save A Life,The Fray,3,5,58,27
Chasing Cars,Snow Patrol,5,9,45,19
Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,9,9,21,15
SexyBack,Justin Timberlake,1,11,36,17
It Ends Tonight,The All-American Rejects,8,8,23,16
Show Me What You Got,Jay-Z,8,13,15,9
Say Goodbye,Chris Brown,10,14,23,9
Far Away,Nickelback,8,15,30,13
We Fly High,Jim Jones,5,5,27,21
Too Little Too Late,JoJo,3,17,22,9
Walk It Out,Unk,10,10,36,26
Before He Cheats,Carrie Underwood,8,8,63,52
Call Me When You're Sober,Evanescence,10,20,22,9
Come To Me,Diddy Featuring Nicole Scherzinger,9,21,20,9
Waiting On The World To Change,John Mayer,14,14,40,22
Hurt,Christina Aguilera,19,19,20,13
Stuntin' Like My Daddy,Birdman & Lil Wayne,21,24,20,9
Wind It Up,Gwen Stefani,6,6,18,16
Show Stopper,Danity Kane,8,26,20,7
Welcome To The Black Parade,My Chemical Romance,9,9,26,17
Get Up,Ciara Featuring Chamillionaire,7,28,20,4
Money In The Bank,Lil Scrappy Featuring Young Buck,28,28,20,11
Walk Away (Remember Me),Paula DeAnda Featuring The DEY,18,18,22,16
My Wish,Rascal Flatts,28,31,20,10
London Bridge,Fergie,1,32,21,4
Want To,Sugarland,32,33,20,12
Promise,Ciara,11,11,20,19
She's Everything,Brad Paisley,35,35,20,14
White & Nerdy,"""Weird Al"" Yankovic",9,19,20,13
Buttons,The Pussycat Dolls Featuring Snoop Dogg,3,36,30,3
My Little Girl,Tim McGraw,35,38,20,11
When You Were Young,The Killers,14,39,20,6
What Hurts The Most,Rascal Flatts,6,35,51,10
You Save Me,Kenny Chesney,41,41,20,9
Over My Head (Cable Car),The Fray,8,42,42,2
Crazy,Gnarls Barkley,2,43,29,1
Chain Hang Low,Jibbs,7,44,20,5
Suddenly I See,KT Tunstall,21,21,30,12
Let's Ride,The Game,46,46,5,5
Make It Rain,Fat Joe Featuring Lil Wayne,13,13,24,22
Tim McGraw,Taylor Swift,40,40,20,10
Once In A Lifetime,Keith Urban,31,49,14,3
Unappreciated,Cherish,41,41,17,10
Through Glass,Stone Sour,39,39,26,11
Maneater,Nelly Furtado,16,45,20,11
Wait A Minute,The Pussycat Dolls Featuring Timbaland,28,28,17,16
Love Me Or Hate Me (F**k You!!!!),Lady Sovereign,45,54,9,4
Tell Me,Diddy Featuring Christina Aguilera,47,47,20,16
I Loved Her First,Heartland,34,56,20,6
Gallery,Mario Vazquez,35,57,20,3
About Us,Brooke Hogan Featuring Paul Wall,33,58,17,3
Ring The Alarm,Beyonce,11,59,14,4
Take Me As I Am,Mary J. Blige,58,60,17,9
Come Back To Me,Vanessa Hudgens,55,55,19,10
Watching You,Rodney Atkins,36,36,20,18
Push It,Rick Ross,57,63,14,3
Some People Change,Montgomery Gentry,57,57,13,8
The Saints Are Coming,U2 & Green Day,51,51,9,9
Say It Right,Nelly Furtado,1,1,30,29
Boston,Augustana,34,34,24,18
Streetcorner Symphony,Rob Thomas,64,64,20,13
Dem Jeans,Chingy Featuring Jermaine Dupri,59,59,9,7
Hate (I Really Don't Like You),Plain White T's,68,70,6,4
It's Okay (One Blood),The Game Featuring Junior Reid,71,71,15,2
Tu Amor,RBD,65,72,8,4
It Just Comes Natural,George Strait,58,58,19,17
Here It Goes Again,OK Go,38,39,20,9
Every Mile A Memory,Dierks Bentley,48,75,16,2
I Call It Love,Lionel Richie,62,76,20,3
Rockstar,Nickelback,6,6,40,33
Need A Boss,Shareefa Featuring Ludacris,62,78,18,2
Give It Away,George Strait,35,79,19,4
Amarillo Sky,Jason Aldean,59,59,20,15
S.E.X.,Lyfe Jennings,37,81,20,3
Mountains,Lonestar,77,77,11,4
Here (In Your Arms),Hellogoodbye,14,14,21,19
Upgrade U,Beyonce Featuring Jay Z,59,59,18,16
That's That,Snoop Dogg Featuring R. Kelly,20,20,16,16
You,Lloyd Featuring Lil Wayne,9,9,24,23
The Kill (Bury Me),30 Seconds To Mars,65,83,20,3
Tell Me Baby,Red Hot Chili Peppers,50,85,19,6
When Your Heart Stops Beating,(+44),89,89,1,1
The Diary Of Jane,Breaking Benjamin,50,90,20,4
Runaway Love,Ludacris Featuring Mary J. Blige,2,2,20,20
Love You,Jack Ingram,87,92,6,1
Save Room,John Legend,61,88,6,3
Chicken Noodle Soup.,Webstar & Young B Featuring The Voice Of Harlem,45,90,13,3
Everytime Tha Beat Drop,Monica Featuring Dem Franchize Boyz,48,95,16,1
The Riddle,Five for Fighting,40,96,18,1
Nothing Left To Lose,Mat Kearney,41,41,20,15
Face Down,The Red Jumpsuit Apparatus,24,24,43,29
If We Were A Movie,Hannah Montana,47,60,8,5
I Luv It,Young Jeezy,14,14,15,15
It's Not Over,Daughtry,4,4,29,29
You Know My Name,Chris Cornell,79,79,2,2
Snow ((Hey Oh)),Red Hot Chili Peppers,22,22,20,19
Break It Off,Rihanna & Sean Paul,9,9,20,20
Greatest Time Of Year,Aly & AJ,96,96,1,1
Ay Chico (Lengua Afuera),Pitbull,92,92,6,6
Kingdom Come,Jay-Z,98,98,1,1
Keep Holding On,Avril Lavigne,17,17,21,21
Anna-Molly,Incubus,66,66,9,9
Zoom,Lil' Boosie Featuring Yung Joc,61,61,12,12
Ice Box,Omarion,12,12,21,21
Poppin',Chris Brown Featuring Jay Biz,42,42,20,20
Ser O Parecer,RBD,84,84,1,1
Dangerous,Ying Yang Twins Featuring Wyclef,85,85,1,1
Tu Recuerdo,Ricky Martin Featuring La Mari De Chambao Y Tommy Torres,89,89,2,2
Pain,Three Days Grace,44,44,20,20
Little Bit Of Life,Craig Morgan,75,75,13,13
You Don't Know,"Eminem, 50 Cent, Lloyd Banks & Ca$his",12,12,6,6
A Great Big Sled,The Killers Featuring Toni Halliday,54,54,2,2
What Goes Around...Comes Around,Justin Timberlake,1,1,25,25
Lost One,Jay-Z Featuring Chrisette Michele,58,58,8,8
Hip Hop Is Dead,Nas Featuring will.i.am,41,41,5,5
River,Sarah McLachlan,71,71,3,3
Into The Ocean,Blue October,53,53,20,20
Top Back,T.I.,29,29,20,20
Ladies Love Country Boys,Trace Adkins,61,61,20,20
