song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Wake Me Up Before You Go-Go,Wham!,1,1,24,12
Out Of Touch,Daryl Hall  John Oates,1,1,23,14
I Feel For You,Chaka Khan,3,3,26,14
Purple Rain,Prince And The Revolution,2,4,16,8
Better Be Good To Me,Tina Turner,5,5,21,10
All Through The Night,Cyndi Lauper,5,5,19,11
The Wild Boys,Duran Duran,2,2,18,14
Penny Lover,Lionel Richie,8,8,18,10
Strut,Sheena Easton,7,9,25,11
No More Lonely Nights,Paul McCartney,6,6,18,11
Sea Of Love,The Honeydrippers,3,3,20,13
Caribbean Queen (No More Love On The Run),Billy Ocean,1,12,26,10
Cool It Now,New Edition,4,4,25,15
We Belong,Pat Benatar,5,5,20,15
I Can't Hold Back,Survivor,13,13,23,12
I Just Called To Say I Love You,Stevie Wonder,1,16,26,11
It Ain't Enough,Corey Hart,17,17,19,10
Valotte,Julian Lennon,9,9,19,13
Walking On A Thin Line,Huey Lewis & The News,18,18,15,9
Desert Moon,Dennis DeYoung,10,20,22,10
Like A Virgin,Madonna,1,1,19,17
Blue Jean,David Bowie,8,22,18,7
Hard Habit To Break,Chicago,3,23,25,8
All I Need,Jack Wagner,2,2,22,16
Do What You Do,Jermaine Jackson,13,13,20,15
Hello Again,The Cars,20,20,15,10
Born In The U.S.A.,Bruce Springsteen,9,9,17,14
We Are The Young,Dan Hartman,25,25,17,9
Run To You,Bryan Adams,6,6,19,15
The War Song,Culture Club,17,30,13,5
I Do'wanna Know,REO Speedwagon,29,29,13,8
Centipede,Rebbie Jackson,24,24,19,11
What About Me?,Kenny Rogers With Kim Carnes & James Ingram,15,33,19,8
Understanding,Bob Seger,17,17,15,12
Stranger In Town,Toto,30,30,15,10
You're The Inspiration,Chicago,3,3,22,20
Tears,John Waite,37,37,13,7
I Can't Drive 55,Sammy Hagar,26,38,16,7
(Pride) In The Name Of Love,U2,33,33,15,10
Jamie,Ray Parker Jr.,14,14,17,15
Hands Tied,Scandal Featuring Patty Smyth,41,41,13,7
The Boys Of Summer,Don Henley,5,5,22,19
The Belle Of St. Mark,Sheila E.,34,34,15,10
I Need You Tonight,Peter Wolf,36,44,13,6
Easy Lover,Philip Bailey With Phil Collins,2,2,23,22
Tender Years,John Cafferty & The Beaver Brown Band,31,31,14,12
Two Tribes,Frankie Goes To Hollywood,43,43,15,9
Don't Stop,Jeffrey Osborne,44,44,15,8
Teacher Teacher,38 Special,25,49,12,3
Had A Dream (Sleeping With The Enemy),Roger Hodgson,48,48,15,8
Bruce,Rick Springfield,27,27,13,11
Call To The Heart,Giuffria,15,15,19,16
Catch My Fall,Billy Idol,50,50,11,7
I'm So Excited,The Pointer Sisters,9,54,40,7
On The Dark Side,John Cafferty & The Beaver Brown Band,7,55,27,3
Lover Boy,Billy Ocean,2,2,21,21
Ti Amo,Laura Branigan,55,55,12,8
Girls With Guns,Tommy Shaw,33,58,12,3
Foolish Heart,Steve Perry,18,18,19,18
Taxi Dancing,Rick Springfield With Randy Crawford,59,59,10,8
Jungle Love,The Time,20,20,25,20
Solid,Ashford & Simpson,12,12,24,21
Concealed Weapons,The J. Geils Band,63,63,7,3
Love Light In Flight,Stevie Wonder,17,17,16,16
Neutron Dance,The Pointer Sisters,6,6,23,22
Heaven (Must Be There),Eurogliders,65,65,6,3
Misled,Kool & The Gang,10,10,24,23
Tenderness,General Public,27,27,18,16
The Gap,Thompson Twins,69,69,6,3
Sunshine In The Shade,The Fixx,69,69,5,3
In Neon,Elton John,38,38,13,13
The Wild Life,Bananarama,70,70,8,5
Sugar Don't Bite,Sam Harris,36,73,14,3
Tonight,David Bowie,53,53,9,9
Supernatural Love,Donna Summer,75,75,5,2
Some Guys Have All The Luck,Rod Stewart,10,76,17,3
Hot For Teacher,Van Halen,56,77,7,2
Let's Go Crazy,Prince And The Revolution,1,78,19,2
Amnesia,Shalamar,73,73,9,7
Heaven's On fire,Kiss,49,80,10,3
Sex Crime (Nineteen Eighty-Four),Eurythmics,81,81,4,3
Missing You,Diana Ross,10,10,27,27
Body,The Jacksons,47,83,7,2
Operator,Midnight Star,18,18,17,17
Big In Japan,Alphaville,66,66,10,9
Lucky Star,Madonna,4,86,16,2
Thief Of Hearts,Melissa Manchester,86,86,6,5
Who Wears These Shoes?,Elton John,16,88,14,2
Swept Away,Diana Ross,19,89,14,1
Cover Me,Bruce Springsteen,7,90,18,2
The Glamorous Life,Sheila E.,7,91,26,2
Drive,The Cars,3,92,19,2
I Wanna Rock,Twisted Sister,68,93,7,1
After All,Al Jarreau,69,94,9,2
Let It All Blow,Dazz Band,84,84,7,7
Missing You,John Waite,1,96,24,1
Left In The Dark,Barbra Streisand,50,97,12,2
Love Again,John Denver & Sylvie Vartan,85,98,4,1
Edge of a Dream,Joe Cocker,69,99,7,1
Strung Out,Steve Perry,40,100,13,1
I Want To Know What Love Is,Foreigner,1,1,21,21
The Heat Is On,Glenn Frey,2,2,24,24
I Wanna Go Back,Billy Satellite,78,78,5,5
Don't Wait For Heroes,Dennis DeYoung,83,83,4,4
Eye On You,Billy Squier,71,71,8,8
Tragedy,John Hunter,39,39,16,16
I Would Die 4 U,Prince And The Revolution,8,8,15,15
Method Of Modern Love,Daryl Hall  John Oates,5,5,19,19
Mistake No. 3,Culture Club,33,33,13,13
"Make No Mistake, He's Mine",Barbra Streisand With Kim Carnes,51,51,10,10
Eat My Shorts,Rick Dees,75,75,5,5
Lover Girl,Teena Marie,4,4,24,24
20/20,George Benson,48,48,13,13
Naughty Naughty,John Parr,23,23,20,20
All Right Now,Rod Stewart,72,72,6,6
Lonely School,Tommy Shaw,60,60,9,9
Treat Her Like A Lady,The Temptations,48,48,14,14
Careless Whisper,Wham! Featuring George Michael,1,1,21,21
Money Changes Everything,Cyndi Lauper,27,27,13,13
Sugar Walls,Sheena Easton,9,9,17,17
The Old Man Down The Road,John Fogerty,10,10,18,18
Do They Know It's Christmas?,Band Aid,13,13,9,9
Mr. Telephone Man,New Edition,12,12,16,16
The Greatest Gift Of All,Kenny Rogers & Dolly Parton,81,81,4,4
Smalltown Boy,Bronski Beat,48,48,16,16
Do It Again,The Kinks,41,41,10,10
Turn Up The Radio,Autograph,29,29,19,19
Fools Like Me,Lorenzo Lamas,85,85,5,5
Knocking At Your Back Door,Deep Purple,61,61,7,7
Rockin' At Midnight,The Honeydrippers,25,25,11,11
Yo Little Brother,Nolan Thomas,57,57,13,13
Friends/Five Minutes Of Funk,Whodini,87,87,3,3
Gotta Get You Home Tonight,Eugene Wilde,83,83,8,8
Rain Forest,Paul Hardcastle,57,57,18,18
California Girls,David Lee Roth,3,3,16,16
Can't Fight This Feeling,REO Speedwagon,1,1,18,18
Private Dancer,Tina Turner,7,7,18,18
Ooh Ooh Song,Pat Benatar,36,36,9,9
Relax,Frankie Goes To Hollywood,10,10,23,16
I Wanna Hear It From Your Lips,Eric Carmen,35,35,11,11
This Is My Night,Chaka Khan,60,60,9,9
The Borderlines,Jeffrey Osborne,38,38,11,11
Go For It,Kim Wilde,65,65,7,7
Invitation To Dance,Kim Carnes,68,68,6,6
Only The Young,Journey,9,9,16,16
Too Late For Goodbyes,Julian Lennon,5,5,17,17
Keeping The Faith,Billy Joel,18,18,16,16
High On You,Survivor,8,8,17,17
Nightshift,Commodores,3,3,22,22
Beat Of A Heart,Scandal Featuring Patty Smyth,41,41,14,14
Why Can't I Have You,The Cars,33,33,17,17
Playing To Win,Little River Band,60,60,8,8
Crazy,Kenny Rogers,79,79,8,8
Restless Heart,John Waite,59,59,8,8
Obsession,Animotion,6,6,24,24
Save A Prayer,Duran Duran,16,16,14,14
Somebody,Bryan Adams,11,11,17,17
This Is Not America,David Bowie/Pat Metheny Group,32,32,12,12
The Word Is Out,Jermaine Stewart,41,41,15,15
Baby Come Back To Me,The Manhattan Transfer,83,83,3,3
When The Rain Begins To Fall,Jermaine Jackson & Pia Zadora,54,54,11,11
Material Girl,Madonna,2,2,17,17
Just Another Night,Mick Jagger,12,12,14,14
One More Night,Phil Collins,1,1,18,18
Take Me With U,Prince And The Revolution Duet With Apollonia,25,25,12,12
Holyanna,Toto,71,71,5,5
Second Nature,Dan Hartman,39,39,12,12
One Foot Back In Your Door,Roman Holliday,76,76,5,5
Radioactive,The Firm,28,28,15,15
If I Had A Rocket Launcher,Bruce Cockburn,88,88,3,3
I'm On Fire,Bruce Springsteen,6,6,20,20
Rhythm Of The Night,Debarge,3,3,22,22
Lucky,Greg Kihn,30,30,12,12
Kiss and Tell,"Isley, Jasper, Isley",63,63,7,7
Let's Talk About Me,The Alan Parsons Project,56,56,10,10
Bongo Bongo,Steve Miller,84,84,3,3
New Attitude,Patti LaBelle,17,17,21,21
Along Comes A Woman,Chicago,14,14,16,16
All She Wants to Do Is Dance,Don Henley,9,9,19,19
Say It Again,Santana,46,46,11,11
One Night In Bangkok,Murray Head,3,3,20,20
The Bird,The Time,36,36,13,13
Don't You (Forget About Me),Simple Minds,1,1,22,22
Look My Way,The Vels,72,72,6,6
We Close Our Eyes,Go West,41,41,15,15
Crazy For You,Madonna,1,1,21,21
One Night In Bangkok,Robey,77,77,3,3
Smooth Operator,Sade,5,5,20,20
Change,John Waite,54,54,10,10
You Send Me,The Manhattans,81,81,5,5
Scientific Love,Midnight Star,80,80,7,7
Forever Man,Eric Clapton,26,26,12,12
"Roxanne, Roxanne",UTFO,77,77,5,5
Emotion,Barbra Streisand,79,79,2,2
Invisible,Alison Moyet,31,31,17,17
In My House,Mary Jane Girls,7,7,22,22
Follow Your Heart,Triumph,88,88,2,2
Piece By Piece,The Tubes,87,87,2,2
That Was Yesterday,Foreigner,12,12,15,15
Some Things Are Better Left Unsaid,Daryl Hall  John Oates,18,18,13,13
Some Like It Hot,The Power Station,6,6,18,18
Don't Come Around Here No More,Tom Petty And The Heartbreakers,13,13,14,14
Rock And Roll Girls,John Fogerty,20,20,12,12
Everybody Wants To Rule The World,Tears for Fears,1,1,24,24
Be Your Man,Jesse Johnson's Revue,61,61,11,11
'Til My Baby Comes Home,Luther Vandross,29,29,16,16
Back In Stride,Maze Featuring Frankie Beverly,88,88,6,6
We Are The World,USA for Africa,1,1,18,18
Everything She Wants,Wham!,1,1,20,20
Vox Humana,Kenny Loggins,29,29,10,10
Suddenly,Billy Ocean,4,4,22,22
Just A Gigolo/I Ain't Got Nobody,David Lee Roth,12,12,17,17
Fresh,Kool & The Gang,9,9,19,19
Things Can Only Get Better,Howard Jones,5,5,23,23
Baby Come And Get It,The Pointer Sisters,44,44,11,11
Will The Wolf Survive,Los Lobos,78,78,5,5
Walking On Sunshine,Katrina And The Waves,9,9,21,21
The NeverEnding Story,Limahl,17,17,19,19
Lonely In Love,Giuffria,57,57,8,8
Go Down Easy,Dan Fogelberg,85,85,4,4
Swear,Sheena Easton,80,80,6,6
Injured In The Game of Love,Donnie Iris,91,91,2,2
Forever Young,Alphaville,93,93,4,4
One Lonely Night,REO Speedwagon,19,19,16,16
Axel F,Harold Faltermeyer,3,3,19,19
Can't Stop,Rick James,50,50,8,8
Lost In Love,New Edition,35,35,14,14
Celebrate Youth,Rick Springfield,26,26,11,11
Smuggler's Blues,Glenn Frey,12,12,19,19
Do You Wanna Get Away,Shannon,49,49,15,15
Oh Girl,Boy Meets Girl,39,39,13,13
Welcome To The Pleasure Dome,Frankie Goes To Hollywood,48,48,8,8
Walking On The Chinese Wall,Philip Bailey,46,46,12,12
Steady,Jules Shear,57,57,7,7
Magical,John Parr,73,73,5,5
Voices Carry,'Til Tuesday,8,8,21,21
Basketball,Kurtis Blow,71,71,6,6
Talk To Me,Fiona,64,64,7,7
Heartline,Robin George,92,92,2,2
Heaven,Bryan Adams,1,1,19,19
Say You're Wrong,Julian Lennon,21,21,12,12
Show Some Respect,Tina Turner,37,37,10,10
The Search Is Over,Survivor,4,4,21,21
Only Lonely,Bon Jovi,54,54,8,8
High School Nights,Dave Edmunds,91,91,2,2
I'm Through With Love,Eric Carmen,87,87,3,3
Angel,Madonna,5,5,17,17
Would I Lie To You?,Eurythmics,5,5,19,19
Lucky In Love,Mick Jagger,38,38,11,11
OO-EE-Diddley-Bop,Peter Wolf,61,61,5,5
Jammin',Teena Marie,81,81,3,3
Through the Fire,Chaka Khan,60,60,19,19
I Was Born To Love You,Freddie Mercury,76,76,4,4
Mathematics,Melissa Manchester,74,74,5,5
Days Are Numbers (The Traveller),The Alan Parsons Project,71,71,5,5
Dangerous,Natalie Cole,57,57,10,10
Wake Up (Next To You),Graham Parker & The Shot,39,39,12,12
My Toot Toot,Jean Knight,50,50,15,15
Black Cars,Gino Vannelli,42,42,16,16
Alone Again,Dokken,64,64,11,11
Save The Night For Me,Maureen Steele,77,77,5,5
Satisfaction Guaranteed,The Firm,73,73,5,5
Little Sheila,Slade,86,86,3,3
(Come On) Shout,Alex Brown,76,76,6,6
Imagination,Belouis Some,88,88,5,5
Sussudio,Phil Collins,1,1,17,17
Tough All Over,John Cafferty & The Beaver Brown Band,22,22,15,15
Crazy In The Night (Barking At Airplanes),Kim Carnes,15,15,16,16
You Give Good Love,Whitney Houston,3,3,21,21
Everytime You Go Away,Paul Young,1,1,23,23
Hold Me,Menudo,62,62,11,11
Ways To Be Wicked,Lone Justice,71,71,6,6
Meeting In The Ladies Room,Klymaxx,59,59,11,11
Square Rooms,Al Corley,80,80,5,5
Raspberry Beret,Prince And The Revolution,2,2,17,17
A View To A Kill,Duran Duran,1,1,17,17
The Goonies `R' Good Enough,Cyndi Lauper,10,10,15,15
Little By Little,Robert Plant,36,36,11,11
Find A Way,Amy Grant,29,29,16,16
Go For Soda,Kim Mitchell,86,86,9,9
All You Zombies,Hooters,58,58,11,11
You're The Only Love,Paul Hyde & Payolas,84,84,4,4
Getcha Back,The Beach Boys,26,26,12,12
Sentimental Street,Night Ranger,8,8,17,17
Just As I Am,Air Supply,19,19,15,15
Animal Instinct,Commodores,43,43,9,9
Centerfield,John Fogerty,44,44,13,13
Everything I Need,Men at Work,47,47,9,9
Cannonball,Supertramp,28,28,12,12
People Are People,Depeche Mode,13,13,18,18
Not Enough Love In The World,Don Henley,34,34,17,17
Forever,Kenny Loggins,40,40,22,22
The Lady Of My Heart,Jack Wagner,76,76,8,8
Rock Me Tonight,Freddie Jackson,18,18,19,19
Freak-A-Ristic,Atlantic Starr,90,90,6,6
Glory Days,Bruce Springsteen,5,5,18,18
Possession Obsession,Daryl Hall  John Oates,30,30,12,12
What About Love?,Heart,10,10,21,21
Who's Holding Donna Now,Debarge,6,6,19,19
19,Paul Hardcastle,15,15,14,14
Reaction To Action,Foreigner,54,54,8,8
Let Him Go,Animotion,39,39,13,13
You Spin Me Round (Like A Record),Dead or Alive,11,11,18,18
Let's Go Out Tonight,Nile Rodgers,88,88,3,3
Call Me,Go West,54,54,14,14
If You Love Somebody Set Them Free,Sting,3,3,18,18
Get It On (Bang A Gong),The Power Station,9,9,15,15
Never Surrender,Corey Hart,3,3,20,20
State Of the Heart,Rick Springfield,22,22,15,15
Make It Better (Forget About Me),Tom Petty And The Heartbreakers,54,54,8,8
I Wonder If I Take You Home,Lisa Lisa And Cult Jam With Full Force,34,34,21,21
(Closest Thing To) Perfect,Jermaine Jackson,67,67,7,7
Real Love,Dolly Parton (Duet With Kenny Rogers),91,91,3,3
Shout,Tears for Fears,1,1,19,19
Stir It Up,Patti LaBelle,41,41,14,14
People Get Ready,Jeff Beck & Rod Stewart,48,48,10,10
Burning Flame,Vitamin Z,73,73,7,7
Frankie,Sister Sledge,75,75,8,8
Willie & The Hand Jive,George Thorogood & The Destroyers,63,63,8,8
When Your Heart Is Weak,Cock Robin,35,35,16,16
Freeway Of Love,Aretha Franklin,3,3,19,19
Like A Surgeon,"""Weird Al"" Yankovic",47,47,8,8
Your Love Is King,Sade,54,54,11,11
St. Elmo's Fire (Man In Motion),John Parr,1,1,22,22
The Power Of Love,Huey Lewis & The News,1,1,19,19
Summer Of '69,Bryan Adams,5,5,17,17
Tired Of Being Blonde,Carly Simon,70,70,5,5
Take No Prisoners (In The Game Of Love),Peabo Bryson,78,78,6,6
See What Love Can Do,Eric Clapton,89,89,2,2
We Don't Need Another Hero (Thunderdome),Tina Turner,2,2,18,18
Invincible (Theme From The Legend Of Billie Jean),Pat Benatar,10,10,17,17
Mystery Lady,Billy Ocean,24,24,15,15
Cherish,Kool & The Gang,2,2,22,22
Life In One Day,Howard Jones,19,19,16,16
Lay It Down,Ratt,40,40,11,11
Bit By Bit (Theme From Fletch),Stephanie Mills,78,78,6,6
You're Only Human (Second Wind),Billy Joel,9,9,16,16
Dare Me,The Pointer Sisters,11,11,18,18
Smokin' In The Boys Room,Motley Crue,16,16,15,15
Live Every Moment,REO Speedwagon,34,34,11,11
Money For Nothing,Dire Straits,1,1,21,21
Summertime Girls,Y&T,55,55,10,10
Take On Me,a-ha,1,1,21,21
Don't Lose My Number,Phil Collins,4,4,18,18
Shame,The Motels,21,21,13,13
Wild And Crazy Love,Mary Jane Girls,42,42,10,10
Hangin' On A String,Loose Ends,43,43,10,10
Only For Love,Limahl,51,51,7,7
