song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Papa Was A Rollin' Stone,The Temptations,1,1,16,9
I Am Woman,Helen Reddy,1,1,22,8
I Can See Clearly Now,Johnny Nash,1,3,20,8
I'd Love You To Want Me,Lobo,2,4,14,4
If You Don't Know Me By Now,Harold Melvin And The Blue Notes,3,3,17,8
Summer Breeze,Seals & Crofts,6,6,18,6
You Ought To Be With Me,Al Green,3,3,15,9
It Never Rains In Southern California,Albert Hammond,5,5,16,10
I'll Be Around,The Spinners,3,9,15,4
Ventura Highway,America,8,8,12,6
I'm Stone In Love With You,The Stylistics,10,10,13,6
Clair,Gilbert O'Sullivan,2,2,16,11
Me And Mrs. Jones,Billy Paul,1,1,16,12
If I Could Reach You,The 5th Dimension,10,14,15,3
Crazy Horses,The Osmonds,14,14,12,6
Something's Wrong With Me,Austin Roberts,12,12,15,8
Nights In White Satin,The Moody Blues,2,17,18,1
Operator (That's Not the Way it Feels),Jim Croce,17,17,12,5
Rockin' Pneumonia - Boogie Woogie Flu,Johnny Rivers,6,6,19,11
Funny Face,Donna Fargo,5,5,20,11
Convention '72,The Delegates,8,21,8,2
Corner Of The Sky,Jackson 5,18,18,12,7
"Freddie's Dead (Theme From ""Superfly"")",Curtis Mayfield,4,23,16,1
Sweet Surrender,Bread,15,15,11,8
Witchy Woman,Eagles,9,25,13,1
Dialogue (Part I & II),Chicago,24,24,10,5
Walk On Water,Neil Diamond,17,17,12,9
Garden Party,Rick Nelson And The Stone Canyon Band,6,28,19,1
Rock 'N Roll Soul,Grand Funk Railroad,29,29,13,3
Living In The Past,Jethro Tull,11,11,14,10
Superfly,Curtis Mayfield,8,8,15,13
Keeper Of The Castle,Four Tops,10,10,12,9
Long Dark Road,The Hollies,26,26,11,7
Your Mama Don't Dance,Kenny Loggins & Jim Messina,4,4,16,13
Sitting,Cat Stevens,16,16,11,9
Sunny Days,Lighthouse,34,34,12,4
Alive,Bee Gees,34,34,7,5
I Didn't Know I Loved You (Till I Saw You Rock And Roll),Gary Glitter,35,35,9,5
Theme From The Men,Isaac Hayes,38,38,9,3
American City Suite,Cashman & West,27,40,11,1
What Am I Crying For?,Dennis Yost And The Classics IV,39,39,13,7
Lies,J.J. Cale,42,42,8,4
Superstition,Stevie Wonder,1,1,16,14
So Long Dixie,"Blood, Sweat & Tears",44,44,11,2
I Wanna Be With You,Raspberries,16,16,11,10
Baby Sitter,Betty Wright,46,46,10,3
Pieces Of April,Three Dog Night,19,19,14,12
Let It Rain,Eric Clapton,48,48,13,3
I Got A Bag Of My Own,James Brown,44,44,7,5
Been To Canaan,Carole King,24,24,10,9
In Heaven There Is No Beer,Clean Living,49,49,12,8
All The Young Dudes,Mott the Hoople,37,52,11,1
One Night Affair,Jerry Butler,52,52,7,3
And You And I (Part II),Yes,42,42,7,4
Work To Do,The Isley Brothers,51,51,8,3
Angel,Rod Stewart,40,40,7,5
No,Bulldog,44,44,15,8
992 Arguments,The O'Jays,57,57,8,5
"You Turn Me On, I'm A Radio",Joni Mitchell,25,25,16,13
Don't Let Me Be Lonely Tonight,James Taylor,14,14,11,11
Wedding Song (There Is Love),Petula Clark,61,61,10,2
Man Sized Job,Denise LaSalle,55,62,9,1
Dancing In The Moonlight,King Harvest,13,13,22,17
Special Someone,The Heywoods,64,64,8,3
Trouble In My Home/I Found My Dad,Joe Simon,50,50,7,7
Smoke Gets In Your Eyes,Blue Haze,27,27,14,11
Down To The Nightclub,Tower of Power,66,66,8,2
Good Time Sally,Rare Earth,67,67,8,4
Day And Night,The Wackers,65,65,5,3
Woman Don't Go Astray,King Floyd,53,70,12,1
Separate Ways,Elvis Presley,20,20,12,12
Rocky Mountain High,John Denver,9,9,19,18
Everybody Loves A Love Song,Mac Davis,63,63,7,6
"Oh, Babe, What Would You Say?",Hurricane Smith,3,3,15,15
Why Can't We Be Lovers,Holland-Dozier,57,75,10,1
We Need Order,The Chi-lites,61,61,6,6
