song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Black Or White,Michael Jackson,1,1,20,18
When A Man Loves A Woman,Michael Bolton,1,2,20,12
Set Adrift On Memory Bliss,P.M. Dawn,1,3,20,13
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,2,2,22,11
All 4 Love,Color Me Badd,1,1,28,24
Blowing Kisses In The Wind,Paula Abdul,6,6,20,13
Cream,Prince And The N.P.G.,1,7,20,10
Can't Let Go,Mariah Carey,2,2,20,17
That's What Love Is For,Amy Grant,7,9,20,10
O.P.P.,Naughty by Nature,6,10,21,8
Finally,CeCe Peniston,5,5,33,23
Can't Stop This Thing We Started,Bryan Adams,2,12,20,8
Keep Coming Back,Richard Marx,12,12,20,15
Let's Talk About Sex,Salt-N-Pepa,13,14,20,5
Wildside,Marky Mark & The Funky Bunch,10,10,20,16
Don't Cry,Guns N' Roses,10,16,20,9
2 Legit 2 Quit,M.C. Hammer,5,5,20,16
Do Anything,Natural Selection,2,18,21,4
Set The Night To Music,Roberta Flack With Maxi Priest,6,19,20,9
No Son Of Mine,Genesis,12,12,20,15
Street Of Dreams,Nia Peeples,12,21,20,12
Romantic,Karyn White,1,22,20,4
Emotions,Mariah Carey,1,23,20,6
Hole Hearted,Extreme,4,24,20,2
Live For Loving You,Gloria Estefan,22,22,20,12
I Wonder Why,Curtis Stigers,9,26,20,7
Forever My Lady,Jodeci,25,25,20,14
Broken Arrow,Rod Stewart,20,20,20,13
The One And Only,Chesney Hawkes,10,29,20,2
Mind Playing Tricks On Me,Geto Boys,23,23,20,11
Angel Baby,Angelica,29,29,20,13
Running Back To You,Vanessa Williams,18,32,21,4
Enter Sandman,Metallica,16,33,20,5
Top Of The World,Van Halen,27,34,19,11
Spending My Time,Roxette,32,32,20,14
Change,Lisa Stansfield,27,27,20,15
Housecall,Shabba Ranks (Featuring Maxi Priest),37,37,15,9
Tell Me What You Want Me To Do,Tevin Campbell,6,6,25,21
Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,20,39,19,11
Smells Like Teen Spirit,Nirvana,6,6,20,20
I Adore Mi Amor,Color Me Badd,1,41,20,1
I Love Your Smile,Shanice,2,2,26,24
Love Me All Up,Stacy Earl,26,26,19,16
Don't Want To Be A Fool,Luther Vandross,9,44,20,2
Tender Kisses,Tracie Spencer,42,42,20,13
Save Up All Your Tears,Cher,37,37,20,13
Home Sweet Home,Motley Crue,37,37,17,13
Mysterious Ways,U2,9,9,20,18
Groovy Train,The Farm,41,49,16,6
Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,50,50,14,10
Is It Good To You,Heavy D & The Boyz,32,32,20,18
Too Blind To See It,Kym Sims,38,38,20,17
Get A Leg Up,John Mellencamp,14,53,15,6
Can't Truss It,Public Enemy,50,52,15,8
The Way I Feel About You,Karyn White,12,12,20,19
Something Got Me Started,Simply Red,23,56,14,4
Shot Of Poison,Lita Ford,45,54,14,9
I've Got A Lot To Learn About Love,The Storm,26,26,20,14
A Day In My Life (Without You),Lisette Melendez,49,59,20,10
Just Want To Hold You,Jasmine Guy,34,60,20,2
Ain't Gonna Hurt Nobody,Kid 'N Play,51,51,19,16
Send Me An Angel,Scorpions,44,44,18,14
Kiss You Back,Digital Underground,40,40,20,17
In My Dreams,The Party,34,34,18,15
The Unforgiven,Metallica,35,35,17,17
Keep It Comin',Keith Sweat,17,17,20,19
I Wanna Be Your Girl,Icy Blu,46,46,20,15
I Can't Make You Love Me,Bonnie Raitt,18,18,20,18
All She Wrote,Firehouse,58,58,14,11
Real Real Real,Jesus Jones,4,70,20,5
On A Sunday Afternoon,Lighter Shade Of Brown,39,39,20,19
Don't Let The Sun Go Down On Me,George Michael/Elton John,1,1,20,20
Pop That Coochie,The 2 Live Crew,58,70,13,8
Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.,66,66,20,8
Love Crazy,Atlantic Starr,75,75,8,6
Rush,Big Audio,32,76,17,6
No More Tears,Ozzy Osbourne,71,71,9,8
Lies,EMF,18,78,14,4
I Want You,Jody Watley,61,61,15,14
The Fly,U2,61,80,11,7
All I Need Is You,Blue Train,46,81,13,4
Conviction Of The Heart,Kenny Loggins,65,81,13,7
Whispers,Corina,51,68,20,10
Addams Groove,M.C. Hammer,7,7,20,20
What Time Is Love?,The KLF,57,85,12,6
The Comfort Zone,Vanessa Williams,62,62,12,12
Within My Heart,Voyce,77,77,13,12
Diamonds And Pearls,Prince And The N.P.G.,3,3,21,21
Walk Through Fire,Bad Company,28,89,17,2
Groovin',UB40,90,90,6,4
Just Another Girlfriend,Hi-Five,88,91,8,6
Hearts Don't Think (They Feel),Natural Selection,28,28,14,14
Word To The Badd!!,Jermaine Jackson,78,93,2,1
Monsters And Angels,Voice Of The Beehive,74,94,7,2
Into The Great Wide Open,Tom Petty And The Heartbreakers,92,95,5,2
Then Came You,T.P.E.,91,96,2,1
In Paradise,Laissez Faire,64,64,17,17
