song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Top Of The World,Carpenters,1,1,20,12
Photograph,Ringo Starr,1,2,16,8
Goodbye Yellow Brick Road,Elton John,2,2,17,12
Space Race,Billy Preston,4,4,18,8
Keep On Truckin' (Part 1),Eddie Kendricks,1,5,19,5
Just You 'n' Me,Chicago,4,4,19,10
Midnight Train To Georgia,Gladys Knight And The Pips,1,7,19,6
The Love I Lost (Part 1),Harold Melvin And The Blue Notes,7,7,18,9
Heartbeat - It's A Lovebeat,The DeFranco Family featuring Tony DeFranco,3,9,17,5
The Most Beautiful Girl,Charlie Rich,1,1,22,13
Hello It's Me,Todd Rundgren,5,5,20,12
Paper Roses,Marie Osmond,5,12,16,5
Leave Me Alone (ruby Red Dress),Helen Reddy,3,3,16,12
If You're Ready (Come Go With Me),The Staple Singers,9,9,16,11
Cheaper To Keep Her,Johnnie Taylor,15,15,11,4
I Got A Name,Jim Croce,10,16,17,9
Let Me Serenade You,Three Dog Night,17,17,12,7
Time In A Bottle,Jim Croce,1,1,15,13
Angie,The Rolling Stones,1,19,16,4
"Never, Never Gonna Give Ya Up",Barry White,7,7,18,13
You're A Special Part Of Me,Diana Ross & Marvin Gaye,12,21,12,4
The Joker,The Steve Miller Band,1,1,20,14
All I Know,Garfunkel,9,23,14,3
Rockin' Roll Baby,The Stylistics,14,14,18,12
Come Get To This,Marvin Gaye,21,21,13,9
My Music,Loggins & Messina,16,16,13,9
Knockin' On Heaven's Door,Bob Dylan,12,27,16,3
Ooh Baby,Gilbert O'Sullivan,25,28,10,3
Living For The City,Stevie Wonder,8,8,17,14
Mind Games,John Lennon,18,18,13,10
Why Me,Kris Kristofferson,16,31,38,4
Who's In The Strawberry Patch With Sally,Tony Orlando & Dawn,27,27,12,9
Show And Tell,Al Wilson,1,1,22,16
Be,Neil Diamond,34,34,9,4
Half-Breed,Cher,1,35,20,3
D'yer Mak'er,Led Zeppelin,20,20,16,10
We May Never Pass This Way (Again),Seals & Crofts,21,37,12,2
Nutbush City Limits,Ike & Tina Turner,22,38,15,3
Ramblin Man,The Allman Brothers Band,2,39,16,2
Sweet Understanding Love,Four Tops,33,40,9,2
Smokin' In The Boy's Room,Brownsville Station,3,3,19,14
Helen Wheels,Paul McCartney And Wings,10,10,13,12
Corazón,Carole King,37,37,10,5
Me And Baby Brother,War,15,15,15,12
Fell For You,The Dramatics,45,45,10,5
Yes We Can Can,The Pointer Sisters,11,46,16,1
Never Let You Go,Bloodstone,43,47,14,3
Check It Out,Tavares,35,48,12,2
Some Guys Have All The Luck,The Persuaders,39,39,11,7
I've Got To Use My Imagination,Gladys Knight And The Pips,4,4,16,15
Mammy Blue,Stories,50,50,8,3
Friends/chapel Of Love,Bette Midler,40,52,10,1
Painted Ladies,Ian Thomas,34,34,14,9
Sail Around The World,David Gates,50,54,8,2
I Can't Stand The Rain,Ann Peebles,38,38,21,8
"""Having A Party"" Medley",The Ovations (Featuring Louis Williams),56,56,9,2
I Found Sunshine,The Chi-lites,47,47,10,8
Country Sunshine,Dottie West,49,58,11,2
Dream On,Aerosmith,59,59,9,3
Let Me Be There,Olivia Newton-John,6,6,19,17
Tell Her She's Lovely,El Chicano,40,40,10,8
Pretty Lady,Lighthouse,53,53,8,4
My Old School,Steely Dan,63,63,9,5
This Time I'm Gone For Good,"Bobby ""Blue"" Bland",42,42,13,11
It's All Over,The Independents,65,65,4,2
Little Girl Gone,Donna Fargo,57,66,10,2
"I Don't Know What It Is, But It Sure Is Funky",Ripple,67,67,6,2
There Ain't No Way,Lobo,68,68,5,1
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,3,3,21,20
Oh! No Not My Baby,Rod Stewart,59,70,8,1
Spiders & Snakes,Jim Stafford,3,3,23,20
When I Fall In Love/Are You Lonesome Tonight,Donny Osmond,14,14,13,12
Rock 'N Roll (I Gave You The Best Years of My Life),Kevin Johnson,73,73,4,1
Keep Your Head To The Sky,"Earth, Wind & Fire",52,52,11,9
Walk Like A Man,Grand Funk,19,19,12,11
I Wanna Know Your Name,The Intruders,60,60,13,8
Sister Mary Elephant (Shudd-Up!),Cheech & Chong,24,24,12,11
River,Joe Simon,62,62,7,5
Frisky,Sly & The Family Stone,79,79,2,1
Smarty Pants,First Choice,56,56,8,6
Let Me Try Again (Laisse Moi Le Temps),Frank Sinatra,63,63,10,7
American Tune,Paul Simon,35,35,10,10
A Song I'd Like To Sing,Kris Kristofferson & Rita Coolidge,49,49,10,8
Rock On,David Essex,5,5,25,22
Baby Come Close,Smokey Robinson,27,27,16,14
Blue Collar,Bachman-Turner Overdrive,68,68,6,6
The Way We Were,Barbra Streisand,1,1,23,22
The River Of Love,B.W. Stevenson,53,53,7,7
Love's Theme,Love Unlimited Orchestra,1,1,22,22
Showdown,Electric Light Orchestra,53,53,11,11
Come Live With Me,Ray Charles,82,82,6,4
If We Make It Through December,Merle Haggard,28,28,11,10
Ain't Got No Home,The Band,73,73,7,6
Redneck Friend,Jackson Browne,85,94,10,1
Last Kiss,Wednesday,34,34,18,17
Stoned To The Bone - Part 1,James Brown,58,58,11,11
"Love, Reign O'er Me",The Who,76,76,5,5
Back For A Taste Of Your Love,Syl Johnson,72,98,6,1
Love Has No Pride,Linda Ronstadt,51,51,11,11
Half A Million Miles From Home,Albert Hammond,87,87,5,5
Livin' For You,Al Green,19,19,11,11
Love Me For What I Am/there Ain't No Way,Lobo,86,86,2,2
Big Time Operator,Keith Hampshire,81,81,4,4
This Is Your Song,Don Goodwin,86,86,8,8
I Love,Tom T. Hall,12,12,16,16
I'm A Rocker,Raspberries,94,94,3,3
I Like To Live The Love,B.B. King,28,28,16,16
Jungle Boogie,Kool & The Gang,4,4,22,22
You're Sixteen,Ringo Starr,1,1,15,15
Hangin' Around,Edgar Winter Group,65,65,7,7
Will You Love Me Tomorrow?,Melanie,82,82,4,4
Jim Dandy,Black Oak Arkansas,25,25,13,13
A Fool Such As I,Bob Dylan,55,55,7,7
Love Song,Anne Murray,12,12,17,17
"It May Be Winter Outside, (But In My Heart It's Spring)",Love Unlimited,83,83,4,4
Somewhere Between Love And Tomorrow,Roy Clark,81,81,5,5
Flashback,The 5th Dimension,82,82,9,9
Could You Ever Love Me Again,Gary & Dave,92,92,4,4
Put Your Hands Together,The O'Jays,10,10,16,16
"""Joy"" Pt. I",Isaac Hayes,30,30,9,9
Midnight Rider,Gregg Allman,19,19,12,12
Let Your Hair Down,The Temptations,27,27,9,9
Raised On Robbery,Joni Mitchell,65,65,8,8
"Please, Daddy",John Denver,69,69,5,5
Trying To Hold On To My Woman,Lamont Dozier,15,15,18,18
Wang Dang Doodle,The Pointer Sisters,61,61,8,8
Last Kiss,J. Frank Wilson and The Cavaliers,92,92,5,5
It Doesn't Have To Be That Way,Jim Croce,64,64,5,5
Teenage Lament '74,Alice Cooper,48,48,8,8
I Shall Sing,Garfunkel,38,38,9,9
"One Tin Soldier, The Legend of Billy Jack",Coven,26,73,18,6
Abra-Ca-Dabra,The De Franco Family,32,32,12,12
What It Comes Down To,The Isley Brothers,55,55,11,11
Life Is A Song Worth Singing,Johnny Mathis,54,54,12,12
Can't Say Nothin',Curtis Mayfield,88,88,5,5
Americans,Byron MacGregor,4,4,12,12
Last Time I Saw Him,Diana Ross,14,14,14,14
Can This Be Real,Natural Four,31,31,10,10
Boogie Down,Eddie Kendricks,2,2,18,18
You're So Unique,Billy Preston,48,48,8,8
My Sweet Lady,Cliff DeYoung,17,17,15,15
Daddy What If,Bobby Bare,41,41,8,8
Star,Stealers Wheel,29,29,14,14
WOLD,Harry Chapin,36,36,13,13
Let Me Get To Know You,Paul Anka,80,80,8,8
Doo Doo Doo Doo Doo (heartbreaker),The Rolling Stones,15,15,11,11
Come And Get Your Love,Redbone,5,5,23,23
Eres Tu (Touch The Wind),Mocedades,9,9,17,17
Meadows,Joe Walsh,89,89,4,4
The Americans (A Canadian's Opinion),Gordon Sinclair,24,24,7,7
Seasons In The Sun,Terry Jacks,1,1,21,21
Sexy Mama,Moments,17,17,13,13
Dark Lady,Cher,1,1,16,16
Jessica,The Allman Brothers Band,65,65,6,6
I Miss You,The Dells,60,60,7,7
(I'd Know You) Anywhere,Ashford & Simpson,88,88,3,3
"Rock And Roll, Hoochie Koo",Rick Derringer,23,23,14,14
You Sure Love To Ball,Marvin Gaye,50,50,6,6
Mighty Love - Pt. 1,The Spinners,20,20,15,15
There Won't Be Anymore,Charlie Rich,18,18,15,15
In The Mood,Bette Midler,51,51,7,7
Sunshine On My Shoulders,John Denver,1,1,18,18
Jolene,Dolly Parton,60,60,8,8
Thanks For Saving My Life,Billy Paul,37,37,17,17
I Just Can't Get You Out Of My Mind,Four Tops,62,62,8,8
We're Getting Careless With Our Love,Johnnie Taylor,34,34,10,10
Mockingbird,Carly Simon & James Taylor,5,5,16,16
Lookin' For A Love,Bobby Womack,10,10,17,17
Energy Crisis '74,Dickie Goodman,33,33,8,8
Get That Gasoline Blues,NRBQ,70,70,6,6
Stop To Start,Blue Magic,74,74,6,6
I Wish It Was Me,Tyrone Davis,57,57,9,9
That's The Sound That Lonely Makes,Tavares,70,70,7,7
Just Don't Want To Be Lonely,The Main Ingredient,10,10,20,20
The Real Me,The Who,92,92,3,3
"Quick, Fast, In A Hurry",New York City,79,79,7,7
Try (Try To Fall In Love),Cooker,88,88,5,5
Must Be Love,The James Gang,54,54,11,11
Jet,Paul McCartney And Wings,7,7,14,14
Houston (I'm Comin' To See You),Glen Campbell,68,68,6,6
Tell Me A Lie,Sami Jo,21,21,14,14
I've Got A Thing About You Baby/Take Good Care Of Her,Elvis Presley,39,39,12,12
She's Gone,Daryl Hall  John Oates,60,60,8,8
Homely Girl,The Chi-lites,54,54,8,8
A Mother For My Children,The Whispers,92,92,4,4
The Americans (A Canadian's Opinion),Tex Ritter,90,90,3,3
Bennie And The Jets,Elton John,1,1,18,18
Best Thing That Ever Happened To Me,Gladys Knight And The Pips,3,3,17,17
Hooked On A Feeling,Blue Swede,1,1,17,17
Virginia (Touch Me Like You Do),Bill Amesbury,59,59,9,9
Would You Lay With Me (in A Field Of Stone),Tanya Tucker,46,46,10,10
It's Been A Long Time,The New Birth,66,66,6,6
I'll Be The Other Woman,The Soul Children,36,36,9,9
Beyond The Blue Horizon,Lou Christie,80,80,10,10
The Crude Oil Blues,Jerry Reed,91,91,5,5
Star Baby,The Guess Who,39,39,19,19
A Very Special Love Song,Charlie Rich,11,11,14,14
The Lord's Prayer,Sister Janet Mead,4,4,13,13
On A Night Like This,Bob Dylan,44,44,6,6
Let It Ride,Bachman-Turner Overdrive,23,23,15,15
"Touch A Hand, Make A Friend",The Staple Singers,23,23,13,13
My Mistake (Was To Love You),Diana Ross & Marvin Gaye,19,19,16,16
Outside Woman,Bloodstone,34,34,14,14
Piano Man,Billy Joel,25,25,14,14
There's Got To Be Rain In Your Life (To Appreciate The Sunshine),Dorothy Norwood,88,88,4,4
Midnight At The Oasis,Maria Muldaur,6,6,24,24
What Is Hip?,Tower of Power,91,91,2,2
Tubular Bells,Mike Oldfield,7,7,16,16
"Honey Please, Can't Ya See",Barry White,44,44,7,7
TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees,1,1,18,18
I'll Have To Say I Love You In A Song,Jim Croce,9,9,14,14
Your Cash Ain't Nothin' But Trash,The Steve Miller Band,51,51,7,7
Watching The River Run,Loggins & Messina,71,71,6,6
Unborn Child,Seals & Crofts,66,66,8,8
I'm A Train,Albert Hammond,31,31,12,12
Goin' Down Slow,"Bobby ""Blue"" Bland",69,69,6,6
Newsy Neighbors,First Choice,97,97,2,2
Best Thing That Ever Happened To Me,The Persuaders,85,85,6,6
Music Eyes,Heartsfield,95,95,5,5
Oh My My,Ringo Starr,5,5,14,14
The Loco-Motion,Grand Funk,1,1,20,20
Keep On Singing,Helen Reddy,15,15,13,13
She,Southcote,80,80,4,4
Touch And Go,Al Wilson,57,57,9,9
Mighty Mighty,"Earth, Wind & Fire",29,29,15,15
Pepper Box,The Peppers,76,76,7,7
Mr. Natural,Bee Gees,93,93,3,3
Once You Understand,Think,53,53,8,8
Dancing Machine,Jackson 5,2,2,22,22
(i've Been) Searchin' So Long,Chicago,9,9,15,15
Skybird,Neil Diamond,75,75,4,4
