song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,1,1,19,11
The Tears Of A Clown,Smokey Robinson & The Miracles,1,1,16,9
Gypsy Woman,Brian Hyland,3,3,20,7
I'll Be There,Jackson 5,1,4,16,5
We've Only Just Begun,Carpenters,2,5,17,5
Fire And Rain,James Taylor,3,6,16,4
One Less Bell To Answer,The 5th Dimension,2,2,19,13
No Matter What,Badfinger,8,8,12,7
Heaven Help Us All,Stevie Wonder,9,9,11,4
Share The Land,The Guess Who,10,10,10,4
You Don't Have To Say You Love Me/Patch It Up,Elvis Presley,11,11,10,4
"See Me, Feel Me",The Who,12,12,13,3
My Sweet Lord/Isn't It A Pity,George Harrison,1,1,14,13
5-10-15-20 (25-30 Years Of Love),The Presidents,11,11,15,6
Montego Bay,Bobby Bloom,8,15,16,4
Does Anybody Really Know What Time It Is?,Chicago,7,7,13,9
Black Magic Woman,Santana,4,4,13,10
Indiana Wants Me,R. Dean Taylor,5,18,15,2
Engine Number 9,Wilson Pickett,14,19,13,3
Stoned Love,The Supremes,7,7,14,10
After Midnight,Eric Clapton,18,18,12,5
Be My Baby,Andy Kim,17,17,11,7
Yellow River,Christie,23,23,23,3
For The Good Times,Ray Price,11,11,24,10
It Don't Matter To Me,Bread,10,25,11,1
Let's Work Together,Canned Heat,26,26,11,3
Domino,Van Morrison,9,9,12,9
Somebody's Been Sleeping,100 Proof Aged in Soul,8,28,14,1
Green-Eyed Lady,Sugarloaf,3,29,17,1
Cry Me A River,Joe Cocker,11,30,9,1
He Ain't Heavy...He's My Brother,Neil Diamond,20,20,11,7
Super Bad (Part 1 & Part 2),James Brown,13,32,10,1
Knock Three Times,Dawn,1,1,18,16
Can't Stop Loving You,Tom Jones,25,25,8,6
Only Love Can Break Your Heart,Neil Young,33,33,12,6
It's Impossible,Perry Como,10,10,17,14
Heed The Call,Kenny Rogers & The First Edition,33,37,10,3
I'm Not My Brothers Keeper,The Flaming Ember,34,34,13,6
One Man Band,Three Dog Night,19,19,11,9
Do It,Neil Diamond,36,36,10,6
Pay To The Piper,Chairman Of The Board,13,13,13,10
As The Years Go By,Mashmakhan,31,42,18,3
Stoney End,Barbra Streisand,6,6,18,13
Immigrant Song,Led Zeppelin,16,16,13,11
River Deep - Mountain High,The Supremes & Four Tops,14,14,10,9
Groove Me,King Floyd,6,6,20,14
Chains And Things,B.B. King,45,45,8,3
Border Song (Holy Moses)/You And Me,Aretha Franklin,37,37,7,5
If You Were Mine,Ray Charles,41,41,18,9
Part Time Love,Ann Peebles,45,50,11,2
