song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
See You Again,Miley Cyrus,10,10,27,27
Never,Jaheim,76,76,17,17
If I Had Eyes,Jack Johnson,47,47,11,11
Superstar,Lupe Fiasco Featuring Matthew Santos,10,10,20,20
I Remember,Keyshia Cole,24,24,20,20
Won't Go Home Without You,Maroon 5,48,48,20,20
crushcrushcrush,Paramore,54,54,17,17
Stop And Stare,OneRepublic,12,12,31,31
The Chipmunk Song (Christmas Don't Be Late) (2007),Alvin And The Chipmunks,66,66,2,2
Fly Like Me,Chingy Featuring Amerie,89,89,2,2
Do You Hear What I Hear,Carrie Underwood,90,90,1,1
The Anthem,Pitbull Featuring Lil Jon,36,36,18,18
Falling In Love At A Coffee Shop,Landon Pigg,93,93,2,2
What Is It,Baby Bash Featuring Sean Kingston,57,57,12,12
He Said She Said,Ashley Tisdale,58,58,8,6
Witch Doctor (2007),Alvin And The Chipmunks Featuring Chris Classic,62,62,3,3
Bad Day,Alvin And The Chipmunks,67,67,2,2
Feedback,Janet,19,19,17,17
Funkytown,Alvin And The Chipmunks,86,86,2,2
All Around Me,Flyleaf,40,40,20,20
Citizen/Soldier,3 Doors Down,96,96,2,2
Leave It All To Me (iCarly Theme Song),Miranda Cosgrove Featuring Drake Bell,100,100,1,1
Start All Over,Miley Cyrus,68,68,3,3
All-American Girl,Carrie Underwood,27,27,20,20
Through The Fire And Flames,DragonForce,86,86,5,5
Our Time Now,Plain White T's,90,90,1,1
Small Town Southern Man,Alan Jackson,42,42,20,20
Shiftwork,Kenny Chesney Duet With George Strait,47,47,16,16
No Air,Jordin Sparks Duet With Chris Brown,3,3,35,35
I Won't Tell,Fat Joe Featuring J. Holiday,37,37,16,16
Falsetto,The-Dream,30,30,19,19
Anyone Else But You,Michael Cera & Ellen Page,91,91,2,2
Suspicions,Tim McGraw,87,87,5,5
Dey Know,Shawty Lo,31,31,17,17
What Hurts The Most,Cascada,52,52,14,14
Get My Drink On,Toby Keith,88,88,5,5
What Kinda Gone,Chris Cagle,54,54,20,20
Girls In Their Summer Clothes,Bruce Springsteen,95,95,1,1
Laughed Until We Cried,Jason Aldean,61,61,16,16
Whatever It Takes,Lifehouse,33,33,20,20
God Must Be Busy,Brooks & Dunn,78,78,11,11
Long Road To Ruin,Foo Fighters,89,89,12,12
Pocketful Of Sunshine,Natasha Bedingfield,5,5,35,35
Like Whoa,Aly & AJ,63,63,8,8
Wanna Be Startin' Somethin' 2008,Michael Jackson With Akon,81,81,3,3
When You Look Me In The Eyes,Jonas Brothers,25,25,17,17
Feels Like Tonight,Daughtry,24,24,20,20
Kindly Unspoken,Kate Voegele,98,98,1,1
New Soul,Yael Naim,7,7,19,19
Sexy Can I,Ray J & Yung Berg,3,3,26,26
Nine In The Afternoon,Panic! At The Disco,51,51,19,19
Rock Star,Hannah Montana,81,81,4,4
Ching-A-Ling,Missy Elliott,60,60,9,9
YAHHH!,Soulja Boy Tell'em Featuring Arab,48,48,13,13
You're Gonna Miss This,Trace Adkins,12,12,20,20
I'm Me,Lil Wayne,97,97,1,1
Psycho,Puddle of Mudd,67,67,17,17
I'll Be Waiting,Lenny Kravitz,73,73,2,2
Love Is Free,Sheryl Crow,77,77,6,6
Realize,Colbie Caillat,20,20,26,26
Umma Do Me,Rocko,66,66,11,11
Stronger Woman,Jewel,84,84,10,10
