song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
All Night Long (All Night),Lionel Richie,1,1,24,13
Say Say Say,Paul McCartney And Michael Jackson,1,1,22,15
Uptown Girl,Billy Joel,3,3,22,12
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1,4,25,11
Say It Isn't So,Daryl Hall  John Oates,2,2,18,13
Love Is A Battlefield,Pat Benatar,5,5,22,12
Cum On Feel The Noize,Quiet Riot,5,7,21,10
Heart And Soul,Huey Lewis & The News,8,8,21,9
Crumblin' Down,John Cougar Mellencamp,9,9,16,9
Church Of The Poison Mind,Culture Club,10,10,17,11
Union Of The Snake,Duran Duran,3,3,17,13
P.Y.T. (Pretty Young Thing),Michael Jackson,10,12,16,8
Why Me?,Irene Cara,13,13,15,9
Owner Of A Lonely Heart,Yes,1,1,23,19
Undercover Of The Night,The Rolling Stones,9,9,14,11
Twist Of Fate,Olivia Newton-John,5,5,18,14
In A Big Country,Big Country,17,17,15,9
Suddenly Last Summer,The Motels,9,18,20,7
Synchronicity II,The Police,16,16,14,10
Major Tom (Coming Home),Peter Schilling,14,14,22,12
Total Eclipse Of The Heart,Bonnie Tyler,1,21,29,9
Ain't Nobody,Rufus And Chaka Khan,22,22,19,10
Souls,Rick Springfield,23,23,15,8
"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,16,24,29,8
I Guess That's Why They Call It The Blues,Elton John,4,4,23,18
One Thing Leads To Another,The Fixx,4,26,19,5
Break My Stride,Matthew Wilder,5,5,29,18
Send Her My Love,Journey,23,28,15,5
Talking In Your Sleep,The Romantics,3,3,26,18
Read 'Em And Weep,Barry Manilow,18,18,14,12
Telefone (long Distance Love Affair),Sheena Easton,9,31,22,7
Tender Is The Night,Jackson Browne,25,32,17,7
Time Will Reveal,Debarge,18,18,21,14
The Smile Has Left Your Eyes,Asia,34,34,13,6
Running With The Night,Lionel Richie,7,7,19,18
If I'd Been The One,Thirty Eight Special,19,19,16,13
Making Love Out Of Nothing At All,Air Supply,2,37,25,7
Joanna,Kool & The Gang,2,2,24,20
I Won't Stand In Your Way,Stray Cats,35,35,13,8
Invisible Hands,Kim Carnes,40,40,13,6
The Way He Makes Me Feel,Barbra Streisand,40,40,15,9
I Still Can't Get Over Loving You,Ray Parker Jr.,12,12,19,16
That's All,Genesis,6,6,20,19
Allergies,Paul Simon,44,44,10,6
Holiday,Madonna,16,16,21,16
When The Lights Go Out,Naked Eyes,37,37,14,8
Stay With Me Tonight,Jeffrey Osborne,30,30,21,14
I Need You,The Pointer Sisters,48,48,15,7
I Am Love,Jennifer Holliday,49,49,11,5
Gold,Spandau Ballet,29,29,12,10
Mirror Man,The Human League,30,51,12,3
Karma Chameleon,Culture Club,1,1,22,22
Baby I Lied,Deborah Allen,26,26,21,14
Delirious,Prince,8,54,18,5
Just Got Lucky,Joboxers,36,55,15,3
In The Mood,Robert Plant,39,39,12,10
Magnetic,"Earth, Wind & Fire",57,57,9,6
Modern Love,David Bowie,14,58,13,2
What's New,Linda Ronstadt & The Nelson Riddle Orchestra,53,53,14,9
The Sign Of Fire,The Fixx,32,32,13,12
Street Of Dreams,Rainbow,60,60,10,6
Blue World,The Moody Blues,62,62,6,3
Let The Music Play,Shannon,8,8,24,21
You Don't Believe,The Alan Parsons Project,54,54,10,8
How Many Times Can We Say Goodbye,Dionne Warwick & Luther Vandross,27,65,13,5
Send Me An Angel,Real Life,29,29,19,16
Remember The Night,The Motels,36,36,11,11
Love Is A Stranger,Eurythmics,23,68,13,2
True,Spandau Ballet,4,69,18,1
Lick It Up,Kiss,66,66,11,8
I Just Can't Walk Away,Four Tops,71,71,9,3
If Anyone Falls,Stevie Nicks,14,72,14,2
Big Crash,Eddie Money,54,54,11,9
King Of Pain,The Police,3,74,16,2
Take Me Back,Bonnie Tyler,46,46,9,9
This Must Be The Place (Naive Melody),Talking Heads,62,62,8,7
Burning Down The House,Talking Heads,9,77,20,2
The Politics Of Dancing,Re-flex,24,24,21,20
The Flyer,Saga,79,79,3,2
Wet My Whistle,Midnight Star,61,61,11,10
Only You,Commodores,54,81,13,2
State Of The Union,Industry,81,81,8,6
(You Can Still) Rock In America,Night Ranger,51,51,12,12
The Curly Shuffle,Jump 'n The Saddle,15,15,14,14
All The Right Moves,Jennifer Warnes/Chris Thompson,85,85,4,1
Gloria,The Doors,71,71,7,7
Memphis,Joe Jackson,85,85,4,3
A Little Good News,Anne Murray,74,88,9,2
Tell Me If You Still Care,The S.O.S. Band,65,65,11,9
If Love Should Go,Streets,87,87,5,5
My Town,Michael Stanley Band,39,91,10,1
Foolin',Def Leppard,28,92,14,1
Queen Of The Broken Hearts,Loverboy,34,93,12,1
Stop Doggin' Me Around,Klique,50,94,9,1
Lady Down On Love,Alabama,76,95,6,1
Rappin' Rodney,Rodney Dangerfield,83,83,8,8
The Safety Dance,Men Without Hats,3,97,24,1
On The Dark Side,John Cafferty & The Beaver Brown Band,7,7,24,16
Spice Of Life,The Manhattan Transfer,40,99,13,1
Can't Shake Loose,Agnetha Faltskog,29,100,15,1
Pink Houses,John Mellencamp,8,8,16,16
Think Of Laura,Christopher Cross,9,9,17,17
99 Luftballons,Nena,2,2,23,23
Ebony Eyes,Rick James And Smokey Robinson,43,43,11,11
Save The Last Dance For Me,Dolly Parton,45,45,12,12
The Dream,Irene Cara,37,37,14,14
Red Hot,Herb Alpert,77,77,5,5
Almost Over You,Sheena Easton,25,25,20,20
Yah Mo B There,James Ingram With Michael McDonald,19,19,18,18
The Sound Of Goodbye,Crystal Gayle,84,84,5,5
Touch A Four Leaf Clover,Atlantic Starr,87,87,7,7
Middle Of The Road,Pretenders,19,19,14,14
An Innocent Man,Billy Joel,10,10,18,18
Nightbird,Stevie Nicks,33,33,12,12
Girls Just Want To Have Fun,Cyndi Lauper,2,2,25,25
Let's Go Up,Diana Ross,77,77,6,6
Sweetheart Like You,Bob Dylan,55,55,9,9
LET's PRETEND WE'rE MARRIED,Prince,52,52,10,10
Electric Kingdom,Twilight 22,79,79,8,8
So Bad,Paul McCartney,23,23,14,14
Give It Up,KC,18,18,21,21
You're Looking Like Love To Me,Peabo Bryson & Roberta Flack,58,58,11,11
Someone Like You,Michael Stanley Band,75,75,5,5
Just One More Time,The Headpins,70,70,9,9
Wrapped Around Your Finger,The Police,8,8,16,16
Bang Your Head (Metal Health),Quiet Riot,31,31,12,12
Baby I'm Hooked,ConFunkShun,76,76,5,5
Something's On Your Mind,D Train,79,79,6,6
If Only You Knew,Patti LaBelle,46,46,13,13
Action,"Evelyn ""Champagne"" King",75,75,7,7
Jump,Van Halen,1,1,21,21
New Moon On Monday,Duran Duran,10,10,16,16
This Woman,Kenny Rogers,23,23,13,13
I Want A New Drug,Huey Lewis & The News,6,6,19,19
She's Trouble,Musical Youth,65,65,7,7
Love Has A Mind Of Its Own,Donna Summer,70,70,4,4
For A Rocker,Jackson Browne,45,45,9,9
I Will Follow,U2,81,81,5,5
Nobody Told Me,John Lennon,5,5,14,14
Let's Stay Together,Tina Turner,26,26,15,15
New Song,Howard Jones,27,27,15,15
You Make My Heart Beat Faster,Kim Carnes,54,54,8,8
Runner,Manfred Mann's Earth Band,22,22,15,15
Body Talk,The Deele,77,77,8,8
Over My Head,Toni Basil,81,81,6,6
Got A Hold On Me,Christine McVie,10,10,16,16
Here Comes The Rain Again,Eurythmics,4,4,20,20
Footloose,Kenny Loggins,1,1,23,23
Somebody's Watching Me,Rockwell,2,2,19,19
Automatic,The Pointer Sisters,5,5,20,20
Red Red Wine,UB40,34,34,15,15
Rebel Yell,Billy Idol,46,46,14,14
Look At That Cadillac,Stray Cats,68,68,5,5
Vitamin L,B.E. Taylor Group,66,66,8,8
Remember What You Like,Jenny Burton,81,81,6,6
Tender Years,John Cafferty & The Beaver Brown Band,57,57,7,7
The Language Of Love,Dan Fogelberg,13,13,14,14
