song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
On Bended Knee,Boyz II Men,1,1,27,25
"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,1,1,30,19
Another Night,Real McCoy,3,3,45,31
I'll Make Love To You,Boyz II Men,1,4,33,17
Always,Bon Jovi,4,4,32,23
Secret,Madonna,3,6,22,14
All I Wanna Do,Sheryl Crow,2,7,33,16
Creep,TLC,1,1,32,29
I Wanna Be Down,Brandy,6,6,28,19
You Want This/70's Love Groove,Janet Jackson,8,8,22,16
I'm The Only One,Melissa Etheridge,8,8,40,23
Never Lie,Immature,5,12,26,8
Tootsee Roll,69 Boyz,8,8,38,17
"Turn The Beat Around (From ""The Specialist"")",Gloria Estefan,13,13,25,15
100% Pure Love,Crystal Waters,11,15,45,18
I'll Stand By You,Pretenders,16,16,30,14
"December 1963 (Oh, What A Night)",The 4 Seasons,14,17,27,11
Flava In Ya Ear,Craig Mack,9,18,25,9
Practice What You Preach,Barry White,18,18,21,13
Living In Danger,Ace of Base,20,20,20,14
When Can I See You,Babyface,4,21,36,12
"What's The Frequency, Kenneth?",R.E.M.,21,22,20,10
Before I Let You Go,Blackstreet,7,7,27,21
Short Dick Man,20 Fingers Featuring Gillette,14,14,30,18
Sukiyaki,4PM,8,8,32,21
You Gotta Be,Des'ree,5,5,44,31
Wild Night,John Mellencamp With Me'Shell Ndegeocello,3,27,42,15
Thuggish Ruggish Bone,Bone Thugs-N-Harmony,22,28,20,9
Tremor Christ/Spin The Black Circle,Pearl Jam,18,29,6,4
At Your Best (You Are Love),Aaliyah,6,30,20,7
Far Behind,Candlebox,18,31,23,9
Be Happy,Mary J. Blige,29,29,20,16
"U Will Know (From ""Jason's Lyric"")",B.M.U. (Black Men United),28,33,20,12
Endless Love,Luther Vandross & Mariah Carey,2,34,20,8
Every Day Of The Week,Jade,20,20,22,21
Lucas With The Lid Off,Lucas,29,36,19,10
Playaz Club,Rappin' 4-Tay,36,37,21,11
Stroke You Up,Changing Faces,3,38,21,3
Fa All Y'all,Da Brat,37,37,18,11
"New Age Girl (From ""Dumb And Dumber"")",Deadeye Dick,27,27,27,13
I Belong To You/How Many Ways,Toni Braxton,28,28,21,12
The Sweetest Days,Vanessa Williams,18,18,23,20
"Circle Of Life (From ""The Lion King"")",Elton John,18,43,20,6
Come To My Window,Melissa Etheridge,25,42,44,4
Dance Naked,John Mellencamp,41,41,17,12
Hold My Hand,Hootie & The Blowfish,10,10,44,36
Something's Always Wrong,Toad The Wet Sprocket,41,47,20,11
If You Go,Jon Secada,10,48,31,1
When We Dance,Sting,38,38,18,13
Don't Turn Around,Ace of Base,4,50,31,1
Get Over It,Eagles,31,51,14,9
None Of Your Business,Salt-N-Pepa,32,49,22,3
"Shame (From ""A Low Down Dirty Shame"")",Zhane,28,28,15,14
The Rhythm Of The Night,Corona,11,11,27,24
Juicy/Unbelievable,The Notorious B.I.G.,27,55,20,6
Fade Into You,Mazzy Star,44,56,20,7
The Most Beautifullest Thing In This World,Keith Murray,50,50,18,12
Lucky One,Amy Grant,18,58,20,4
Blind Man,Aerosmith,48,48,14,11
"Girl, You'll Be A Woman Soon (From ""Pulp Fiction"")",Urge Overkill,59,59,11,9
Black Coffee,Heavy D & The Boyz,57,57,15,11
Get Up On It,Keith Sweat (Featuring Kut Klose),62,62,16,9
I Never Seen A Man Cry (aka I Seen A Man Die),Scarface,37,37,17,15
Bop Gun (One Nation),Ice Cube Featuring George Clinton,23,64,20,2
Body & Soul,Anita Baker,36,65,20,7
But It's Alright,Huey Lewis & The News,54,66,20,6
Out Of Tears,The Rolling Stones,60,67,15,8
Constantly,Immature,16,16,20,19
You Don't Know How It Feels,Tom Petty,13,13,22,22
I'll Take Her,Ill Al Skratch Featuring Brian McKnight,62,70,14,4
"I Can Go Deep (From ""A Low Down Dirty Shame"")",Silk,71,71,15,12
Bring The Pain,Method Man,45,45,20,17
Do You See,Warren G,42,42,13,13
This D.J.,Warren G,9,74,20,1
Foolin' Around,Changing Faces,38,38,20,18
(I Could Only) Whisper Your Name,"Harry Connick, Jr.",67,67,20,14
Mental Picture,Jon Secada,29,29,20,19
Can U Get Wit It,Usher,59,78,16,3
Get Ready For This,2 Unlimited,38,38,34,23
Tic Toc,Lords Of The Underground,73,73,15,10
Do You Wanna Get Funky,C+C Music Factory,40,81,20,2
Supernova,Liz Phair,78,79,14,7
I'd Give Anything,Gerald Levert,28,83,20,3
I See It Now,Tracy Lawrence,84,84,9,5
Picture Postcards From L.A.,Joshua Kadison,84,85,9,6
Back Up Off Me!,Doctor Dre & Ed Lover,85,86,7,5
Missing You,Steve Perry,74,74,6,6
Breakdown,Fu-Schnickens,67,69,20,14
Undone - The Sweater Song,Weezer,57,81,16,7
Action,Terror Fabulous Featuring Nadine Sutherland,43,90,20,1
I Miss You,N2U,22,22,20,20
House Of Love,Amy Grant With Vince Gill,37,37,21,20
Good Enough,Sarah McLachlan,77,93,10,2
Behind Bars,Slick Rick,87,94,3,2
Sun's Gonna Rise,Sass Jordan,86,95,3,1
Shut Up And Kiss Me,Mary Chapin Carpenter,90,96,6,1
Take It Easy,Mad Lion,69,97,20,2
Can't Help Myself,Gerald Levert,98,98,5,4
5-4-3-2 (Yo! Time Is Up),Jade,72,97,13,3
Biological Didn't Bother,Shaquille O'Neal,78,78,11,10
Doll Parts,Hole,58,58,12,12
If You Love Me,Brownstone,8,8,27,27
Kitty Kitty,69 Boyz,51,51,20,20
Mishale,Andru Donalds,38,38,19,19
Redneck Stomp,Jeff Foxworthy,75,75,10,10
Always And Forever,Luther Vandross,58,58,18,18
Take A Bow,Madonna,1,1,30,30
In The House Of Stone And Light,Martin Page,14,14,35,35
You Suck,The Murmurs,89,89,7,7
She Don't Use Jelly,The Flaming Lips,55,55,20,20
Till You Love Me,Reba McEntire,78,78,10,10
Pickup Man,Joe Diffie,60,60,5,5
Pimp Of The Year,Dru Down,65,65,16,16
Promise Me,Lil Suzy,62,62,18,18
Bad Reputation,Freedy Johnston,54,54,12,12
Whutcha Want?,Nine,50,50,17,17
"Sympathy For The Devil (""Interview With The Vampire"")",Guns N' Roses,55,55,8,8
Get Down,Craig Mack,38,38,20,20
Strong Enough,Sheryl Crow,5,5,26,26
Don't Say Goodbye Girl,Tevin Campbell,71,71,7,7
I Apologize,Anita Baker,74,74,12,12
Candy Rain,Soul For Real,2,2,25,25
The Santa Claus Boogie,The Tractors,91,91,1,1
(She's Got) Skillz,All-4-One,57,57,20,20
Age Ain't Nothing But A Number,Aaliyah,75,75,8,8
Big Poppa/Warning,The Notorious B.I.G.,6,6,24,24
"Down 4 Whateva (From ""A Low Down Dirty Shame"")",Nuttin' Nyce,92,92,4,4
Whoomp! (There It Went),"Tag Team, Mickey, Minnie, And Goofy",97,97,1,1
Nika,Vicious,69,69,11,11
Bang And Blame,R.E.M.,19,19,14,14
"Whiney, Whiney (From ""Dumb And Dumber"")",Willi One Blood,62,62,11,11
Cocktales,Too $hort,69,69,9,9
That's Just What You Are,Aimee Mann,93,93,6,6
Only One Road,Celine Dion,93,93,3,3
I Know,Dionne Farris,4,4,38,38
Everlasting Love,Gloria Estefan,27,27,20,20
Dreamer,Livin' Joy,72,72,17,17
Woman To Woman,Jewell,72,72,9,9
Hold On,Jamie Walters,16,16,27,27
Baby,Brandy,4,4,20,20
Tour,Capleton,57,57,14,14
This Lil' Game We Play,Subway (Featuring 702),15,15,20,20
Mad Izm,Channel Live,54,54,12,12
Take You There,Pete Rock & C.L. Smooth,76,76,5,5
Supa Star,Group Home,85,85,5,5
Fat Boy,Max-A-Million,69,69,20,20
Freak Like Me,Adina Howard,2,2,30,30
Sour Times (Nobody Loves Me),Portishead,53,53,9,9
Dream About You/Funky Melody,Stevie B,29,29,23,23
Rodeo,95 South,77,77,18,18
Where I Wanna Be Boy,Missjones,79,79,7,7
Move It Like This,K7,54,54,20,20
Like The Way I Do/If I Wanted To,Melissa Etheridge,16,16,20,20
If You Think You're Lonely Now,K-Ci Hailey,17,17,16,16
She's A River,Simple Minds,52,52,9,9
"You Got It (From ""Boys On The Side"")",Bonnie Raitt,33,33,17,17
Can I Stay With You,Karyn White,81,81,5,5
I Believe,Blessid Union Of Souls,8,8,31,31
How Did I Get By Without You?,John Waite,89,89,8,8
Think Of You,Usher,58,58,19,19
Foe Tha Love Of $,Bone Thugs-N-Harmony Featuring Eazy-E,41,41,14,14
Brooklyn Zoo,Ol' Dirty Bastard,54,54,16,16
Shook Ones Part II,Mobb Deep,59,59,10,10
Thank You,Boyz II Men,21,21,20,20
I Live My Life For You,Firehouse,26,26,20,20
1-Luv,E-40 (Featuring Leviti),71,71,14,14
This Is How We Do It,Montell Jordan,1,1,29,29
Can't Wait,Redman,94,94,4,4
Red Light Special,TLC,2,2,22,22
For Your Love,Stevie Wonder,53,53,14,14
Get Lifted,Keith Murray,71,71,10,10
Mr. Personality,Gillette,42,42,18,18
Never Find Someone Like You,Keith Martin,53,53,16,16
What I Need,Crystal Waters,82,82,4,4
Run Away,Real McCoy,3,3,20,20
Dear Mama/Old School,2Pac,9,9,20,20
