song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Dominique,The Singing Nun (Soeur Sourire),1,1,13,9
I'm Leaving It Up To You,Dale & Grace,1,2,15,6
Everybody,Tommy Roe,3,3,14,6
Louie Louie,The Kingsmen,2,2,16,12
She's A Fool,Lesley Gore,5,5,15,5
Sugar Shack,Jimmy Gilmer And The Fireballs,1,6,15,4
You Don't Have To Be A Baby To Cry,The Caravelles,3,3,13,8
Be True To Your School,The Beach Boys,6,6,12,7
Washington Square,The Village Stompers,2,9,14,3
Walking The Dog,Rufus Thomas,10,10,14,5
Deep Purple,Nino Tempo & April Stevens,1,11,15,3
Little Red Rooster,Sam Cooke,11,11,10,4
Hey Little Girl,Major Lance,13,13,10,3
Since I Fell For You,Lenny Welch,4,4,16,10
Drip Drop,Dion Di Muci,6,6,11,8
It's All Right,The Impressions,4,16,14,4
Twenty Four Hours From Tulsa,Gene Pitney,17,17,11,4
(Down At) Papa Joe's,The Dixiebelles,9,18,13,3
Wonderful Summer,Robin Ward,14,14,10,5
Loddy Lo,Chubby Checker,12,12,13,8
I Wonder What She's Doing Tonight,Barry & The Tamerlanes,21,21,10,3
There! I've Said It Again,Bobby Vinton,1,1,13,12
Maria Elena,Los Indios Tabajaras,6,23,14,3
Living A Lie,Al Martino,22,22,10,4
Have You Heard,The Duprees featuring Joey Vann,18,18,10,6
Talk Back Trembling Lips,Johnny Tillotson,7,7,13,9
Can I Get A Witness,Marvin Gaye,22,22,16,9
In My Room,The Beach Boys,23,23,11,6
Bossa Nova Baby,Elvis Presley With The Jordanaires,8,29,10,3
Forget Him,Bobby Rydell,4,4,16,12
Wives And Lovers,Jack Jones,14,14,14,9
Popsicles And Icicles,The Murmaids,3,3,14,12
500 Miles Away From Home,Bobby Bare,10,33,11,2
Quicksand,Martha & The Vandellas,8,8,12,10
Baby Don't You Weep,Garnet Mimms & The Enchanters,30,30,9,6
Midnight Mary,Joey Powers,10,10,13,9
I Adore Him,The Angels,25,37,7,1
The Nitty Gritty,Shirley Ellis,8,8,14,11
The Boy Next Door,The Secrets,18,18,10,6
Bad Girl,Neil Sedaka,33,33,8,5
Walking Proud,Steve Lawrence,26,41,9,2
Kansas City,Trini Lopez,23,23,10,7
Fools Rush In,Rick Nelson,12,43,13,1
