song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
I'm Your Baby Tonight,Whitney Houston,1,1,19,13
Love Takes Time,Mariah Carey,1,2,26,15
Because I Love You (The Postman Song),Stevie B,1,1,23,15
Groove Is In The Heart,Deee-Lite,4,4,23,12
From A Distance,Bette Midler,2,2,26,18
Something To Believe In,Poison,4,4,21,13
More Than Words Can Say,Alias,2,7,23,11
The Way You Do The Things You Do,UB40,6,6,25,14
Impulsive,Wilson Phillips,4,4,20,13
Feels Good,Tony! Toni! Tone!,9,10,25,12
So Close,Daryl Hall  John Oates,11,11,19,10
Tom's Diner,DNA Featuring Suzanne Vega,5,5,21,13
Stranded,Heart,13,13,22,12
High Enough,Damn Yankees,3,3,29,19
Freedom,George Michael,8,8,16,11
Ice Ice Baby,Vanilla Ice,1,16,21,9
Hippychick,Soho,14,17,19,7
"Miracle (From ""Young Guns II"")",Jon Bon Jovi,12,12,16,11
Wiggle It,2 In A Room,15,15,22,14
Pray,M.C. Hammer,2,20,18,9
Knockin' Boots,Candyman,9,21,23,10
Sensitivity,Ralph Tresvant,4,4,20,16
Justify My Love,Madonna,1,1,16,14
I Don't Have The Heart,James Ingram,1,24,26,9
My Love Is A Fire,Donny Osmond,21,21,16,9
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,26,26,15,8
Miles Away,Winger,12,12,22,15
Think,Information Society,28,28,16,8
One And Only Man,Steve Winwood,18,18,15,11
Unchained Melody,The Righteous Brothers,19,30,30,22
Love Will Never Do (Without You),Janet Jackson,1,1,22,20
Giving You The Benefit,Pebbles,4,32,22,7
The First Time,Surface,1,1,25,21
Fairweather Friend,Johnny Gill,28,28,16,10
After The Rain,Nelson,6,6,22,18
Close To You,Maxi Priest,1,36,30,8
And So It Goes,Billy Joel,37,37,12,6
Can't Stop,After 7,6,38,25,7
For You,The Outfield,21,21,18,14
Black Cat,Janet Jackson,1,40,16,5
Just Another Dream,Cathy Dennis,9,9,22,17
On The Way Up,Elisa Fiorillo,27,27,19,10
Lyin' To Myself,David Cassidy,27,43,16,6
Hang In Long Enough,Phil Collins,23,23,13,10
Cherry Pie,Warrant,10,45,19,7
I'm Not In Love,Will to Power,7,7,18,16
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1,1,25,23
Joey,Concrete Blonde,19,48,21,6
Anything Is Possible,Debbie Gibson,26,26,12,10
Wherever Would I Be,Cheap Trick,50,50,10,5
Gentle,Dino,31,31,14,11
I Wanna Get With U,Guy,50,50,15,12
Hard To Handle,The Black Crowes,26,26,29,24
I'll Give All My Love To You,Keith Sweat,7,7,20,20
(Can't Live Without Your) Love And Affection,Nelson,1,56,26,5
You're Amazing,Robert Palmer,28,28,13,11
New York Minute,Don Henley,48,48,16,13
The Ghetto,Too $hort,42,42,14,12
Missunderstanding,Al B. Sure!,42,60,14,7
Fly To the Angels,Slaughter,19,61,18,3
Does She Love That Man?,Breathe Featuring David Glasper,34,34,13,11
Disappear,INXS,8,8,20,19
The Shoop Shoop Song (It's In His Kiss),Cher,33,33,16,15
World In My Eyes,Depeche Mode,52,52,10,9
You Gotta Love Someone,Elton John,43,43,13,12
If You Needed Somebody,Bad Company,16,16,24,21
Tic-Tac-Toe,Kyper,14,68,25,3
Tick Tock,Vaughan Brothers,65,69,9,3
Everybody Everybody,Black Box,8,70,19,2
Love Is A Killer,Vixen,71,71,6,3
Candy,Iggy Pop With Kate Pierson,28,28,15,14
Heat Of The Moment,After 7,19,19,30,17
Something Happened On The Way To Heaven,Phil Collins,4,74,22,5
"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,1,75,21,2
So Hard,Pet Shop Boys,62,76,8,2
Heart Like A Wheel,The Human League,32,77,11,1
The Boomin' System,LL Cool J,48,78,11,2
I Found Love,The Party,79,79,11,7
Romeo,Dino,6,80,18,2
Dream Boy/Dream Girl,Cynthia & Johnny O,53,81,15,2
House Full Of Reasons,Jude Cole,69,69,15,15
Around The Way Girl,LL Cool J,9,9,23,23
Suicide Blonde,INXS,9,84,13,1
I Saw Red,Warrant,10,10,19,19
No Matter What,George Lamond (Duet With Brenda K. Starr),49,49,16,16
Oh Girl,Paul Young,8,87,23,3
I'm Free,The Soup Dragons,79,79,5,3
New Power Generation,Prince,64,89,5,1
Praying For Time,George Michael,1,90,14,1
Love Makes Things Happen,Pebbles,13,13,19,19
Crash (Have Some Fun),TKA Featuring Michelle Visage,80,80,7,7
Each And Every Time,Sweet Sensation,59,93,7,1
Wicked Game,Chris Isaak,6,6,24,24
Give It To Me Good,Trixter,65,65,9,9
Crazy,The Boys,29,96,15,1
Livin' In The Light,Caron Wheeler,53,97,10,1
Say A Prayer,Breathe,21,98,15,1
Rockin' Over The Beat,Technotronic,95,99,3,1
