song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Stand Up,Ludacris Featuring Shawnna,1,1,28,15
Hey Ya!,OutKast,1,1,32,25
Baby Boy,Beyonce Featuring Sean Paul,1,3,29,13
The Way You Move,OutKast Featuring Sleepy Brown,1,1,39,29
Holidae In,Chingy Featuring Ludacris & Snoop Dogg,3,5,21,10
Here Without You,3 Doors Down,5,5,51,37
Suga Suga,Baby Bash Featuring Frankie J,7,7,33,18
Walked Outta Heaven,Jagged Edge,6,6,27,14
Damn!,YoungBloodZ Featuring Lil Jon,4,9,32,15
Step In The Name Of Love,R. Kelly,9,9,27,12
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,2,11,45,14
Milkshake,Kelis,3,3,22,13
Stunt 101,G Unit,13,13,18,13
Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,8,14,35,16
Change Clothes,Jay-Z,10,10,18,15
You Don't Know My Name,Alicia Keys,3,3,20,17
Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri,17,17,20,12
It's My Life,No Doubt,10,10,28,23
Headstrong,Trapt,16,19,43,11
Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.,19,19,20,13
Read Your Mind,Avant,13,13,26,17
Someday,Nickelback,7,7,50,35
Bright Lights,Matchbox Twenty,23,23,21,11
Rain On Me,Ashanti,7,24,20,6
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",1,25,30,7
Harder To Breathe,Maroon 5,18,24,22,7
So Far Away,Staind,24,26,28,10
Right Thurr,Chingy,2,25,33,4
White Flag,Dido,18,18,41,30
I Love This Bar,Toby Keith,26,30,20,7
(There's Gotta Be) More To Life,Stacie Orrico,30,30,20,9
Unwell,Matchbox Twenty,5,30,54,17
Stacy's Mom,Fountains of Wayne,21,33,17,9
I Melt,Rascal Flatts,34,34,20,5
Why Can't I?,Liz Phair,32,32,20,9
"Me, Myself And I",Beyonce,4,4,24,21
The First Cut Is The Deepest,Sheryl Crow,14,14,36,30
Perfect,Simple Plan,24,24,20,15
Wave On Wave,Pat Green,39,39,20,6
Me Against The Music,Britney Spears Featuring Madonna,35,40,13,7
Breathe,Michelle Branch,36,36,18,14
There Goes My Life,Kenny Chesney,29,29,20,16
Cowboys Like Us,George Strait,38,38,19,10
Invisible,Clay Aiken,37,37,20,18
Numb,Linkin Park,11,11,32,28
Calling All Angels,Train,19,46,29,1
Clap Back,Ja Rule,44,47,10,4
Pass That Dutch,Missy Elliott,27,48,15,8
Into You,Fabolous Featuring Tamia Or Ashanti,4,49,26,1
Hell Yeah,Montgomery Gentry,45,45,20,15
Who Wouldn't Wanna Be Me,Keith Urban,30,51,20,4
Fallen,Sarah McLachlan,41,41,21,15
Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,39,53,20,7
Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,12,54,20,2
More & More,Joe,48,48,20,18
You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,39,39,20,16
The Voice Within,Christina Aguilera,33,33,16,15
Chicks Dig It,Chris Cagle,53,53,15,10
Gigolo,Nick Cannon Featuring R. Kelly,24,24,20,17
"Can't Stop, Won't Stop",Young Gunz,14,58,20,3
Walking In Memphis,Lonestar,61,61,11,7
Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,1,1,22,22
Tough Little Boys,Gary Allan,32,63,20,5
Honesty (Write Me A List),Rodney Atkins,57,57,19,10
Fallen,Mya,51,51,12,11
Forthenight,Musiq,53,53,17,13
Bigger Than My Body,John Mayer,33,67,20,6
(I Hate) Everything About You,Three Days Grace,55,55,20,19
Still Frame,Trapt,69,69,20,17
Drinkin' Bone,Tracy Byrd,60,60,16,15
My Baby,Bow Wow Featuring Jagged Edge,42,42,11,11
Bad Boy This Bad Boy That,Bad Boy's Da Band,50,72,9,3
Away From Me,Puddle of Mudd,72,72,16,14
She's Not Just A Pretty Face,Shania Twain,56,56,13,13
Knock Knock,Monica,75,75,18,8
Weak And Powerless,A Perfect Circle,61,76,18,8
Gangsta Nation,Westside Connection Featuring Nate Dogg,33,33,18,18
Love You More,Ginuwine,78,78,16,11
Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,9,9,26,23
Hot & Wet,112 Featuring Ludacris,70,80,9,2
Faint,Linkin Park,48,81,20,1
I Can Only Imagine,MercyMe,71,82,18,10
Amazing,Josh Kelley,79,83,20,3
Heaven,Live,59,84,20,6
Show Me How To Live,Audioslave,67,85,20,4
Another Postcard (Chimps),Barenaked Ladies,82,82,15,8
Take Me Away,Fefe Dobson,87,87,6,3
"Roc Ya Body ""Mic Check 1,2""",M.V.P. (Most Valuable Playas) Featuring Stagga Lee,82,88,8,1
Through The Wire,Kanye West,15,15,21,20
So Yesterday,Hilary Duff,42,87,20,4
Waiting For You,Seal,89,91,8,1
Party To Damascus,Wyclef Jean Featuring Missy Elliott,65,92,9,2
This One's For The Girls,Martina McBride,39,93,20,3
I Can't Take You Anywhere,Scotty Emerick With Toby Keith,91,91,6,4
One More Chance,Michael Jackson,83,83,5,5
Shake That Monkey,Too Short Featuring Lil Jon & The East Side Boyz,84,84,20,18
Find A Way,Dwele,93,97,12,1
F**k It (I Don't Want You Back),Eamon,16,16,21,21
Never (Past Tense),The Roc Project Featuring Tina Arena,97,99,5,2
I Need You Now,Smokie Norful,96,99,3,2
Remember When,Alan Jackson,29,29,20,20
Not Today,Mary J. Blige Featuring Eve,41,41,10,10
I Wanna Do It All,Terri Clark,38,38,20,20
Watch The Wind Blow By,Tim McGraw,32,32,20,20
Long Black Train,Josh Turner,72,72,18,18
Pop That Booty,"Marques Houston Featuring Jermaine ""JD"" Dupri",76,76,9,9
