song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Run It!,Chris Brown,1,1,38,24
Gold Digger,Kanye West Featuring Jamie Foxx,1,2,39,21
My Humps,The Black Eyed Peas,3,3,36,21
Soul Survivor,Young Jeezy Featuring Akon,4,4,24,11
Photograph,Nickelback,2,3,33,21
Laffy Taffy,D4L,1,1,26,17
Hung Up,Madonna,7,7,20,16
We Be Burnin',Sean Paul,6,8,28,17
Because Of You,Kelly Clarkson,7,9,37,24
Stickwitu,The Pussycat Dolls,5,5,26,20
Don't Forget About Us,Mariah Carey,1,1,21,15
I'm Sprung,T-Pain,8,12,26,12
Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,13,13,23,13
"Sugar, We're Goin' Down",Fall Out Boy,8,13,42,20
I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",15,15,26,16
One Wish,Ray J,11,11,25,17
Here We Go,Trina Featuring Kelly Rowland,17,17,20,12
Shake It Off,Mariah Carey,2,18,26,8
There It Go! (The Whistle Song),Juelz Santana,6,6,24,17
Window Shopper,50 Cent,20,20,11,8
Wake Me Up When September Ends,Green Day,6,19,27,10
Girl Tonite,Twista Featuring Trey Songz,14,22,20,8
Like You,Bow Wow Featuring Ciara,3,23,21,4
Luxurious,Gwen Stefani,21,21,20,16
You And Me,Lifehouse,5,25,62,21
Your Body,Pretty Ricky,12,26,20,3
Feel Good Inc,Gorillaz,14,27,45,18
Beverly Hills,Weezer,10,15,43,10
"Dance, Dance",Fall Out Boy,9,9,31,27
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,2,29,40,10
Come A Little Closer,Dierks Bentley,31,31,20,10
Tequila Makes Her Clothes Fall Off,Joe Nichols,32,32,19,12
We Belong Together,Mariah Carey,1,33,43,10
Check On It,Beyonce Featuring Slim Thug,1,1,28,26
I Should Have Cheated,Keyshia Cole,30,30,19,11
Unbreakable,Alicia Keys,34,36,19,10
Who You'd Be Today,Kenny Chesney,37,37,17,9
Heard 'Em Say,Kanye West Featuring Adam Levine,26,26,16,11
Dirty Little Secret,The All-American Rejects,9,9,39,23
Behind These Hazel Eyes,Kelly Clarkson,6,40,34,2
Pon de Replay,Rihanna,2,41,27,2
"Jesus, Take The Wheel",Carrie Underwood,20,20,24,22
Play,David Banner,7,43,20,1
La Tortura,Shakira Feat. Alejandro Sanz,23,44,31,1
Like We Never Loved At All,Faith Hill,45,45,21,13
Better Life,Keith Urban,44,46,20,8
Boyfriend,Ashlee Simpson,19,34,20,10
Shake,Ying Yang Twins Featuring Pitbull,41,48,20,7
Listen To Your Heart,D.H.T.,8,49,27,1
Honky Tonk Badonkadonk,Trace Adkins,30,30,20,16
If It's Lovin' That You Want,Rihanna,36,36,20,14
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",1,1,28,26
Skin (Sarabeth),Rascal Flatts,42,53,17,7
Must Be Doin' Somethin' Right,Billy Currington,39,39,20,14
Best I Ever Had,Gary Allan,51,55,18,5
More Than Words,Frankie J,25,54,18,7
Belly Dancer (Bananza),Akon,30,57,20,4
Confessions Of A Broken Heart (Daughter To Father),Lindsay Lohan,57,57,7,6
Lighters Up,Lil' Kim,31,59,13,3
Be Without You,Mary J. Blige,3,3,33,32
Don't Lie,The Black Eyed Peas,14,61,20,4
Seasons Of Love,Cast Of Rent,33,33,12,8
You're Beautiful,James Blunt,1,1,38,35
Boondocks,Little Big Town,46,46,20,15
Big Blue Note,Toby Keith,55,55,12,5
Good Ride Cowboy,Garth Brooks,59,59,14,8
Can I Have It Like That,Pharrell Featuring Gwen Stefani,49,67,8,4
Better Days,Goo Goo Dolls,36,48,20,12
When I'm Gone,Eminem,8,8,17,16
Turn It Up,Chamillionaire Featuring Lil' Flip,41,41,20,16
She Let Herself Go,George Strait,54,54,19,15
Comin' To Your City,Big & Rich,72,72,6,6
I'm Feeling You,Santana Featuring Michelle Branch & The Wreckers,55,73,8,3
Something To Be Proud Of,Montgomery Gentry,41,74,20,3
Kryptonite (I'm On It),Purple Ribbon All-Stars,35,35,19,18
DOA,Foo Fighters,68,68,12,9
Soul Meets Body,Death Cab for Cutie,60,60,19,11
You're Like Comin' Home,Lonestar,63,78,11,1
Don't Bother,Shakira,42,42,9,7
Miss Me Baby,Chris Cagle,67,67,14,10
When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton,39,39,20,20
Bat Country,Avenged Sevenfold,60,60,15,12
Just The Girl,The Click Five,11,71,20,2
Home,Michael Buble,72,84,20,1
Fireman,Lil Wayne,32,32,17,15
Redneck Yacht Club,Craig Morgan,45,86,19,2
Save Me,Shinedown,72,72,11,9
Presidential,YoungBloodZ,81,86,12,6
Hypnotize,System of a Down,57,57,15,12
Rompe,Daddy Yankee,24,24,28,28
Just Might (Make Me Believe),Sugarland,60,60,16,16
Probably Wouldn't Be This Way,LeAnn Rimes,54,92,14,1
Hustler's Ambition,50 Cent,65,93,5,1
Only,Nine Inch Nails,90,90,8,4
Twisted Transistor,Korn,64,64,11,10
Gotta Go,Trey Songz,67,67,18,18
My Old Friend,Tim McGraw,79,79,13,13
(I Never Promised You A) Rose Garden,Martina McBride,98,98,2,2
Billy's Got His Beer Goggles On,Neal McCoy,75,99,9,1
Unpredictable,Jamie Foxx Featuring Ludacris,8,8,22,22
Unwritten,Natasha Bedingfield,5,5,42,42
So Sick,Ne-Yo,1,1,25,25
Looking For You,Kirk Franklin,61,61,20,20
Rodeo,Juvenile,41,41,19,19
Have A Nice Day,Bon Jovi,53,58,15,9
Rakata,Wisin & Yandel,85,85,5,5
Good Is Good,Sheryl Crow,64,98,10,1
Stricken,Disturbed,95,95,3,2
Pretty Vegas,INXS,37,77,6,3
Everytime We Touch,Cascada,10,10,31,31
