song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Blank Space,Taylor Swift,1,1,36,33
All About That Bass,Meghan Trainor,1,2,47,28
Take Me To Church,Hozier,2,2,41,27
Animals,Maroon 5,3,4,33,20
Shake It Off,Taylor Swift,1,4,50,37
Habits (Stay High),Tove Lo,3,6,39,14
I'm Not The Only One,Sam Smith,5,5,37,26
Jealous,Nick Jonas,7,7,32,22
Love Me Harder,Ariana Grande & The Weeknd,7,7,22,16
Don't,Ed Sheeran,9,10,36,13
I Don't F**k With You,Big Sean Featuring E-40,11,11,29,21
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3,12,31,15
Tuesday,I Love Makonnen Featuring Drake,12,13,22,14
Waves,Mr. Probz,14,14,25,12
Hot Boy,Bobby Shmurda,6,15,25,9
No Type,Rae Sremmurd,16,16,26,18
Trumpets,Jason Derulo,14,17,32,7
Uptown Funk!,Mark Ronson Featuring Bruno Mars,1,1,53,52
Lips Are Movin,Meghan Trainor,4,4,29,25
The Heart Wants What It Wants,Selena Gomez,6,6,20,18
Blame,Calvin Harris Featuring John Newman,19,21,20,10
Don't Tell 'Em,Jeremih Featuring YG,6,22,31,10
Black Widow,Iggy Azalea Featuring Rita Ora,3,23,30,10
Stay With Me,Sam Smith,2,11,54,22
Centuries,Fall Out Boy,10,10,34,24
"Mary, Did You Know?",Pentatonix,26,26,6,6
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16,27,25,7
Rather Be,Clean Bandit Featuring Jess Glynne,10,28,31,8
Steal My Girl,One Direction,13,29,18,11
Cool Kids,Echosmith,13,30,23,4
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",12,12,25,22
Chandelier,Sia,8,20,46,18
Rude,MAGIC!,1,27,41,11
Riptide,Vance Joy,30,30,44,23
Beg For It,Iggy Azalea Featuring M0,27,27,16,12
L.A.LOVE (la la),Fergie,27,27,18,12
New Flame,Chris Brown Featuring Usher & Rick Ross,27,37,22,4
Something In The Water,Carrie Underwood,24,37,20,13
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",39,39,20,9
Thinking Out Loud,Ed Sheeran,2,2,58,52
Stolen Dance,Milky Chance,39,39,25,8
Break Free,Ariana Grande Featuring Zedd,4,42,22,2
All Of Me,John Legend,1,43,59,1
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,43,44,20,9
Shotgun Rider,Tim McGraw,38,38,20,13
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente De Zona,12,46,30,1
Try Me,DeJ Loaf,45,45,20,16
Fancy,Iggy Azalea Featuring Charli xcx,1,44,39,2
Boom Clap,Charli xcx,8,49,25,1
Happy,Pharrell Williams,1,50,47,1
Somewhere In My Car,Keith Urban,49,51,20,8
Ghost,Ella Henderson,21,21,20,17
Heroes (We Could Be),Alesso Featuring Tove Lo,31,31,20,13
Anaconda,Nicki Minaj,2,48,22,7
Night Changes,One Direction,31,31,20,20
Girl In A Country Song,Maddie & Tae,54,54,20,5
About The Money,T.I. Featuring Young Thug,42,50,20,5
Day Drinking,Little Big Town,40,58,20,3
0 To 100 / The Catch Up,Drake,35,59,20,3
No Flex Zone,Rae Sremmurd,36,60,20,4
Perfect Storm,Brad Paisley,52,52,17,11
i,Kendrick Lamar,39,62,11,3
Do They Know It's Christmas? (2014),Band Aid 30,63,63,1,1
Neon Light,Blake Shelton,43,64,20,7
Yellow Flicker Beat,Lorde,34,34,9,7
Dangerous,David Guetta Featuring Sam Martin,56,56,15,11
