song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
The Next Time I Fall,Peter Cetera With Amy Grant,1,1,21,10
You Give Love A Bad Name,Bon Jovi,1,2,24,11
Hip To Be Square,Huey Lewis & The News,3,3,16,9
The Way It Is,Bruce Hornsby & The Range,1,1,22,11
Walk Like An Egyptian,The Bangles,1,1,23,13
Word Up,Cameo,6,6,21,9
Everybody Have Fun Tonight,Wang Chung,2,2,21,12
Human,The Human League,1,8,20,8
Love Will Conquer All,Lionel Richie,9,9,18,9
To Be A Lover,Billy Idol,6,6,18,9
Notorious,Duran Duran,2,2,17,12
True Blue,Madonna,3,12,16,7
Stand By Me,Ben E. King,4,9,35,12
Amanda,Boston,1,14,18,8
Shake You Down,Gregory Abbott,1,1,22,15
Don't Get Me Wrong,Pretenders,10,10,18,10
C'est La Vie,Robbie Nevil,2,2,23,15
Take Me Home Tonight,Eddie Money,4,18,23,7
(Forever) Live And Die,Orchestral Manoeuvres In The Dark,19,19,17,7
War,Bruce Springsteen,8,8,12,10
Control,Janet Jackson,5,5,18,13
You Know I Love You ... Don't You?,Howard Jones,17,17,16,9
Is This Love,Survivor,9,9,19,13
I'll Be Over You,Toto,11,24,23,9
Wild Wild Life,Talking Heads,25,25,21,8
Land Of Confusion,Genesis,4,4,21,16
Love Is Forever,Billy Ocean,16,16,16,10
Victory,Kool & The Gang,10,10,18,13
The Rain,Oran 'Juice' Jones,9,29,19,7
"The Future's So Bright, I Gotta Wear Shades",Timbuk 3,19,19,16,10
Someday,Glass Tiger,7,7,21,16
Freedom Overspill,Steve Winwood,20,32,15,5
Foolish Pride,Daryl Hall,33,33,13,6
All I Wanted,Kansas,19,19,18,13
You Be Illin',Run-D.M.C.,29,29,18,12
I Didn't Mean To Turn You On,Robert Palmer,2,36,22,6
Coming Around Again,Carly Simon,18,18,17,12
At This Moment,Billy Vera & The Beaters,1,1,21,17
For Tonight,Nancy Martinez,32,32,21,12
Goldmine,The Pointer Sisters,33,33,13,8
Welcome To The Boomtown,David & David,37,41,16,7
Falling In Love (Uh-Oh),Miami Sound Machine,25,25,16,11
Tasty Love,Freddie Jackson,41,41,12,8
True Colors,Cyndi Lauper,1,44,20,6
Two People,Tina Turner,30,30,12,10
What About Love,'Til Tuesday,26,46,14,3
This Is The Time,Billy Joel,18,18,17,14
Touch Me (I Want Your Body),Samantha Fox,4,4,23,18
Emotion In Motion,Ric Ocasek,15,49,19,6
Talk To Me,Chico DeBarge,21,21,20,16
Open Your Heart,Madonna,1,1,18,18
Change Of Heart,Cyndi Lauper,3,3,17,16
Nail It To The Wall,Stacy Lattisaw,48,53,13,6
Stay The Night,Benjamin Orr,24,24,20,16
All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,8,55,26,7
Will You Still Love Me?,Chicago,3,3,23,20
You Got It All,The Jets,3,3,26,23
Stop To Love,Luther Vandross,15,15,19,16
Sweet Love,Anita Baker,8,59,22,6
Keep Your Hands To Yourself,The Georgia Satellites,2,2,20,18
Love You Down,Ready For The World,9,9,19,18
We're Ready,Boston,9,9,15,15
Crazay,Jesse Johnson (Featuring Sly Stone),53,53,16,10
Don't Stand So Close To Me '86,The Police,46,64,9,3
Goin' To The Bank,Commodores,65,65,12,7
Heartache Away,Don Johnson,56,56,11,9
Nobody's Fool,Cinderella,13,13,21,17
Thorn In My Side,Eurythmics,68,68,9,6
Some People,Paul Young,65,65,10,7
Miami,Bob Seger,70,70,9,6
Big Time,Peter Gabriel,8,8,23,22
Lady Soul,The Temptations,47,72,11,3
French Kissin,Debbie Harry,57,57,11,9
Typical Male,Tina Turner,2,74,16,2
Midas Touch,Midnight Star,42,75,14,3
Ballerina Girl,Lionel Richie,7,7,18,18
When I Think Of You,Janet Jackson,1,77,19,2
I Am By Your Side,Corey Hart,18,78,13,2
I'll Be Alright Without You,Journey,14,14,21,21
Can't Wait Another Minute,Five Star,41,80,14,2
Stranglehold,Paul McCartney,81,81,6,3
Don't Forget Me (When I'm Gone),Glass Tiger,2,82,24,3
Every Beat Of My Heart,Rod Stewart,83,83,6,5
Caught Up In The Rapture,Anita Baker,37,37,18,17
That's Life,David Lee Roth,85,85,4,2
A Matter Of Trust,Billy Joel,10,86,18,1
The Best Man In The World,Ann Wilson,61,61,12,11
I Need Your Loving,The Human League,44,44,11,11
I'm Not Perfect (But I'm Perfect For You),Grace Jones,69,69,9,8
Brand New Lover,Dead or Alive,15,15,22,21
"It's Not You, It's Not Me",KBC Band,89,89,4,3
Graceland,Paul Simon,81,81,7,7
Two Of Hearts,Stacey Q,3,93,22,1
Jimmy Lee,Aretha Franklin,28,28,13,13
Somebody's Out There,Triumph,27,95,15,1
Facts Of Love,Jeff Lorber & Karyn White,27,27,16,16
Suburbia,Pet Shop Boys,70,70,10,10
Stuck With You,Huey Lewis & The News,1,98,19,1
Heartache All Over The World,Elton John,55,99,8,1
Jumpin' Jack Flash,Aretha Franklin,21,100,11,1
Can't Help Falling In Love,Corey Hart,24,24,14,14
Livin' On A Prayer,Bon Jovi,1,1,21,21
Blame It On The Radio,John Parr,88,88,6,6
We Connect,Stacey Q,35,35,19,19
Dancin' In My Sleep,Secret Ties,91,91,5,5
This Is The World Calling,Bob Geldof,82,82,6,6
I Wanna Go Back,Eddie Money,14,14,21,21
Girlfriend,Bobby Brown,57,57,9,9
"Somewhere Out There (From ""An American Tail"")",Linda Ronstadt & James Ingram,2,2,22,22
(You Gotta) Fight For Your Right (To Party!),Beastie Boys,7,7,18,18
True To You,Ric Ocasek,75,75,8,8
Without Your Love,Toto,38,38,11,11
Candy,Cameo,21,21,17,17
Don't Leave Me This Way,The Communards,40,40,13,13
Someone,El DeBarge,70,70,9,9
(I Know) I'm Losing You,Uptown,80,80,11,11
A Trick Of The Night,Bananarama,76,76,7,7
If I Say Yes,Five Star,67,67,11,11
Coming Up Close,'Til Tuesday,59,59,10,10
Shelter,Lone Justice,47,47,12,12
Jacob's Ladder,Huey Lewis & The News,1,1,15,15
Respect Yourself,Bruce Willis,5,5,14,14
Mandolin Rain,Bruce Hornsby & The Range,4,4,18,18
Let's Wait Awhile,Janet Jackson,2,2,19,19
As We Lay,Shirley Murdock,23,23,18,18
Deep River Woman,Lionel Richie,71,71,8,8
Don't Dream It's Over,Crowded House,2,2,24,24
Hooked On You,Sweet Sensation,64,64,12,12
"Summertime, Summertime",Nocera,84,84,7,7
Don't Need A Gun,Billy Idol,37,37,9,9
Come Go With Me,Expose,5,5,19,19
Let's Go!,Wang Chung,9,9,18,18
Cry Wolf,a-ha,50,50,10,10
The Final Countdown,Europe,8,8,18,18
All I Want,Howard Jones,76,76,5,5
Big Mistake,Peter Cetera,61,61,6,6
Someone Like You,Daryl Hall,57,57,8,8
Ain't So Easy,David & David,51,51,11,11
Ronnies Rapp,Ron And The D.C. Crew,93,93,4,4
The Honeythief,Hipsway,19,19,15,15
Nothing's Gonna Stop Us Now,Starship,1,1,22,22
That Ain't Love,REO Speedwagon,16,16,14,14
Fire,Bruce Springsteen,46,46,8,8
Midnight Blue,Lou Gramm,5,5,20,20
Skin Trade,Duran Duran,39,39,9,9
Kiss You (When It's Dangerous),Eight Seconds,72,72,8,8
What You Get Is What You See,Tina Turner,13,13,14,14
My Baby,Pretenders,64,64,7,7
Stone Love,Kool & The Gang,10,10,18,18
Smoking Gun,The Robert Cray Band,22,22,14,14
Make It Mean Something,Rob Jungklas,86,86,3,3
Hold Me,Sheila E.,68,68,10,10
The Finer Things,Steve Winwood,8,8,23,23
Have You Ever Loved Somebody,Freddie Jackson,69,69,9,9
"Tonight, Tonight, Tonight",Genesis,3,3,15,15
Lean On Me,Club Nouveau,1,1,17,17
Winner Takes It All,Sammy Hagar,54,54,14,14
The Lady In Red,Chris de Burgh,3,3,26,26
Dominoes,Robbie Nevil,14,14,16,16
Nothing's Gonna Change My Love For You,Glenn Medeiros,12,12,25,25
Serious,Donna Allen,21,21,18,18
Power,Kansas,84,84,4,4
Walking Down Your Street,The Bangles,11,11,16,16
