song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Live Your Life,T.I. Featuring Rihanna,1,1,28,20
Single Ladies (Put A Ring On It),Beyonce,1,1,27,22
If I Were A Boy,Beyonce,3,3,20,14
Whatever You Like,T.I.,1,4,31,16
Hot N Cold,Katy Perry,3,5,39,23
Love Lockdown,Kanye West,3,6,23,14
Just Dance,Lady Gaga Featuring Colby O'Donis,1,1,49,34
So What,P!nk,1,8,31,18
Miss Independent,Ne-Yo,7,7,28,15
Right Now (Na Na Na),Akon,8,10,22,14
Let It Rock,Kevin Rudolf Featuring Lil Wayne,5,8,35,23
Womanizer,Britney Spears,1,5,23,16
I'm Yours,Jason Mraz,6,7,76,45
Love Story,Taylor Swift,4,4,49,39
Can't Believe It,T-Pain Featuring Lil Wayne,7,15,24,8
Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,16,16,22,9
Disturbia,Rihanna,1,17,37,15
Better In Time,Leona Lewis,11,18,31,12
Gotta Be Somebody,Nickelback,10,16,27,20
Chicken Fried,Zac Brown Band,20,20,25,16
Heartless,Kanye West,2,2,30,28
Addicted,Saving Abel,20,22,34,11
Crush,David Archuleta,2,23,23,9
Green Light,John Legend Featuring Andre 3000,24,24,26,15
Spotlight,Jennifer Hudson,24,25,21,4
Keeps Gettin' Better,Christina Aguilera,7,26,18,11
Viva La Vida,Coldplay,1,13,51,23
You Found Me,The Fray,7,7,39,39
Closer,Ne-Yo,7,29,39,8
Chopped 'N' Skrewed,T-Pain Featuring Ludacris,27,27,19,14
Bust Your Windows,Jazmine Sullivan,31,31,15,9
Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne,5,32,20,10
Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,22,22,20,15
Rehab,Rihanna,18,18,17,15
Fall For You,Secondhand Serenade,21,35,30,7
Just A Dream,Carrie Underwood,29,36,20,5
Shattered (Turn The Car Around),O.A.R.,36,36,24,9
One More Drink,Ludacris Co-Starring T-Pain,24,24,18,15
Paper Planes,M.I.A.,4,39,20,2
Forever,Chris Brown,2,39,33,3
Roll With Me,Montgomery Gentry,33,33,20,10
Love Remains The Same,Gavin Rossdale,27,35,31,7
T-Shirt,Shontelle,36,41,17,6
I'd Come For You,Nickelback,44,44,2,2
Decode,Paramore,33,33,14,12
My Life,The Game Featuring Lil Wayne,21,46,20,5
Let It Go,Tim McGraw,47,47,15,5
Already Gone,Sugarland,41,41,19,11
Got Money,Lil Wayne Featuring T-Pain,10,48,27,2
Krazy,Pitbull Featuring Lil Jon,30,50,19,11
Swing,Savage Featuring Soulja Boy Tell'em,45,51,20,4
Don't Think I Don't Think About It,Darius Rucker,35,52,20,1
Gives You Hell,The All-American Rejects,4,4,36,35
Right Here (Departed),Brandy,34,34,18,8
Here,Rascal Flatts,50,50,17,10
White Horse,Taylor Swift,13,29,22,21
If Today Was Your Last Day,Nickelback,19,19,22,21
Get Up,50 Cent,44,58,9,4
Start A Band,Brad Paisley Duet With Keith Urban,55,55,16,11
Sweet Thing,Keith Urban,30,30,20,19
Trading Places,Usher,45,45,17,14
She Wouldn't Be Gone,Blake Shelton,43,43,20,16
Human,The Killers,32,40,20,13
Need U Bad,Jazmine Sullivan,37,64,20,2
Sex On Fire,Kings of Leon,56,58,20,16
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,41,66,20,6
In Color,Jamey Johnson,52,52,18,11
Never Gonna Be Alone,Nickelback,68,68,3,3
"You're Gonna Go Far, Kid",The Offspring,63,63,18,12
I Don't Care,Fall Out Boy,21,36,20,10
Feel That Fire,Dierks Bentley,32,32,21,15
Lookin' For A Good Time,Lady Antebellum,67,67,15,9
So Fly,Slim Featuring Yung Joc,49,73,15,3
