song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
"To Know Him, Is To Love Him",The Teddy Bears,1,1,23,12
Tom Dooley,The Kingston Trio,1,2,21,11
It's Only Make Believe,Conway Twitty,1,3,21,9
Beep Beep,The Playmates,4,4,15,10
One Night,Elvis Presley,4,4,17,13
Problems,The Everly Brothers,2,2,15,11
Lonesome Town,Ricky Nelson,7,7,18,11
Topsy II,Cozy Cole,3,8,21,6
I Got Stung,Elvis Presley,8,9,16,11
Queen Of The Hop,Bobby Darin,9,10,19,10
Smoke Gets In Your Eyes,The Platters,1,1,19,16
It's All In The Game,Tommy Edwards,1,12,22,6
I Got A Feeling,Ricky Nelson,10,13,17,9
A Lover's Question,Clyde McPhatter,6,6,24,16
Chantilly Lace,Big Bopper,6,15,25,7
Whole Lotta Loving,Fats Domino,6,6,15,12
Cannonball,Duane Eddy His Twangy Guitar And The Rebels,15,17,12,7
Bimbombey,Jimmie Rodgers,11,11,16,12
Love Is All We Need,Tommy Edwards,15,15,16,10
The End,Earl Grant,7,20,19,7
I'll Wait For You,Frankie Avalon,15,21,17,10
That Old Black Magic,Louis Prima And Keely Smith,18,18,13,8
Tea For Two Cha Cha,The Tommy Dorsey Orchestra,7,23,20,6
Poor Boy,The Royaltones,17,21,17,10
Need You,Donnie Owens,25,25,15,6
The World Outside,The Four Coins,21,26,11,7
Forget Me Not,Kalin Twins,12,27,15,5
The Day The Rains Came,Jane Morgan,21,28,15,4
A Letter To An Angel,Jimmy Clanton,25,28,12,5
Gotta Travel On,Billy Grammer,4,4,20,18
Hideaway,The Four Esquires,21,31,17,6
The Mocking Bird,The Four Lads,32,32,10,5
Lonely Teardrops,Jackie Wilson,7,7,21,19
Walking Along,The Diamonds,29,32,12,6
Call Me,Johnny Mathis,21,35,15,5
There Goes My Heart,Joni James,19,36,16,4
The Chipmunk Song,The Chipmunks With David Seville,1,1,13,12
Rock-in Robin,Bobby Day,2,38,21,3
A Part Of Me,Jimmy Clanton,38,39,7,2
I'll Remember Tonight,Pat Boone,34,40,11,5
Pussy Cat,The Ames Brothers,17,39,15,5
The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,29,29,8,7
Mexican Hat Rock,The Applejacks,16,43,15,3
Cimarron (Roll On),Billy Vaughn And His Orchestra,44,44,10,3
Philadelphia U.S.A.,The Nu Tornados,26,26,12,9
Topsy I,Cozy Cole,27,46,13,1
Mr. Success,Frank Sinatra,41,47,11,5
I Want To Be Happy Cha Cha,Enoch Light & The Light Brigade,48,48,7,3
Non Dimenticar (Don't Forget),Nat King Cole,45,49,11,3
Pledging My Love,Roy Hamilton,45,45,12,9
Love Makes The World Go 'round,Perry Como,33,51,10,2
Sing Sing Sing,Bernie Lowe Orchestra,46,46,7,5
Tunnel Of Love,Doris Day,43,53,8,2
Need Your Love,Bobby Freeman,54,54,5,3
Donna,Ritchie Valens,2,2,23,21
Ten Commandments Of Love,Harvey & The Moonglows,22,56,16,4
My Happiness,Connie Francis,2,2,18,18
Turvy II,Cozy Cole,36,36,8,7
Sweet Little Rock And Roller,Chuck Berry,47,52,9,5
Fallin',Connie Francis,30,60,10,2
Peek-A-Boo,The Cadillacs,28,28,10,10
Mandolins In The Moonlight,Perry Como,47,58,10,4
Nobody But You,Dee Clark,21,21,17,16
Big Bopper's Wedding,Big Bopper,38,38,7,7
Love You Most Of All,Sam Cooke,26,26,16,13
Intermission Riff,Bernie Lowe Orchestra,61,66,4,2
Jealous Heart,Tab Hunter,62,62,10,3
16 Candles,The Crests,2,2,21,19
Manhattan Spiritual,Reg Owen & His Orchestra,10,10,16,16
