song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Family Affair,Mary J. Blige,1,1,41,23
U Got It Bad,Usher,1,1,32,22
Hero,Enrique Iglesias,3,3,34,25
How You Remind Me,Nickelback,1,1,49,37
Turn Off The Light,Nelly Furtado,5,5,25,10
I'm Real,Jennifer Lopez Featuring Ja Rule,1,6,31,10
Differences,Ginuwine,4,6,30,12
Livin' It Up,Ja Rule Featuring Case,6,6,25,12
Fallin',Alicia Keys,1,9,34,10
Emotion,Destiny's Child,10,10,20,11
Gone,*NSYNC,11,11,24,14
Only Time,Enya,10,12,31,11
Get The Party Started,P!nk,4,4,24,19
Rock The Boat,Aaliyah,14,14,25,13
It's Been Awhile,Staind,5,15,46,13
Superman (It's Not Easy),Five for Fighting,14,14,35,22
"Girls, Girls, Girls",Jay-Z,17,17,17,10
I Do!!,Toya,16,16,39,13
Caramel,City High Featuring Eve,18,18,24,17
Everywhere,Michelle Branch,12,20,20,7
"Whenever, Wherever",Shakira,6,6,24,19
My Sacrifice,Creed,4,4,29,24
#1,Nelly,22,22,20,14
Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,20,20,20,14
Drops Of Jupiter (Tell Me),Train,5,25,53,16
Hanging By A Moment,Lifehouse,2,26,54,12
I'm A Slave 4 U,Britney Spears,27,27,14,8
Raise Up,Petey Pablo,25,28,21,5
I Wanna Talk About Me,Toby Keith,28,28,20,13
Where The Party At,Jagged Edge With Nelly,3,30,29,3
Always On Time,Ja Rule Featuring Ashanti,1,1,27,25
Fill Me In,Craig David,15,32,27,2
Butterflies,Michael Jackson,14,14,20,18
We Thuggin',Fat Joe Featuring R. Kelly,15,15,20,15
Wherever You Will Go,The Calling,5,5,45,42
Lifetime,Maxwell,22,36,20,8
Dig In,Lenny Kravitz,31,31,20,13
Be Like That,3 Doors Down,24,38,21,3
Drowning,Backstreet Boys,28,39,20,14
Hit 'Em Up Style (Oops!),Blu Cantrell,2,40,34,4
Smooth Criminal,Alien Ant Farm,23,41,20,6
A Woman's Worth,Alicia Keys,7,7,20,15
Love Of A Woman,Travis Tritt,39,43,20,9
Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,2,44,33,2
You Gets No Love,Faith Evans,38,38,20,12
One Minute Man,"Missy ""Misdemeanor"" Elliott",15,46,21,1
Riding With Private Malone,David Ball,36,36,20,15
Run,George Strait,34,34,20,15
I'm A Survivor,Reba,49,49,19,8
Dance With Me,112,39,50,20,9
Izzo (H.O.V.A.),Jay-Z,8,51,20,2
Ugly,Bubba Sparxxx,15,51,20,7
Only In America,Brooks & Dunn,33,53,20,1
Stuck In A Moment You Can't Get Out Of,U2,52,54,20,11
Son Of A Gun,"Janet Featuring Missy Elliott, P. Diddy & Carly Simon",28,28,12,11
Where Were You (When The World Stopped Turning),Alan Jackson,28,28,20,19
Wrapped Up In You,Garth Brooks,46,46,20,15
"Lights, Camera, Action!",Mr. Cheeks,14,14,30,23
Can't Deny It,Fabolous Featuring Nate Dogg,25,59,20,1
Angry All The Time,Tim McGraw,38,60,20,5
Standing Still,Jewel,25,25,20,18
In The End,Linkin Park,2,2,38,34
I'm Tryin',Trace Adkins,44,44,20,14
Alive,P.O.D.,41,41,20,16
Who We Be,DMX,60,64,12,5
Wish You Were Here,Incubus,60,60,20,10
Love Of My Life,Brian McKnight,51,67,20,9
On A Night Like This,Trick Pony,47,68,20,2
Where I Come From,Alan Jackson,34,69,20,6
Good Morning Beautiful,Steve Holy,29,29,20,20
Roll Out (My Business),Ludacris,17,17,21,18
Fade,Staind,62,62,17,11
With Me,Lonestar,63,63,15,10
Goodbye,Jagged Edge,58,58,15,13
God Bless The USA,Lee Greenwood,16,69,17,8
AM To PM,Christina Milian,27,73,20,6
Wrapped Around,Brad Paisley,35,35,20,18
Diddy,P. Diddy Featuring The Neptunes,66,78,9,4
Break Ya Neck,Busta Rhymes,26,26,20,17
You Rock My World,Michael Jackson,10,80,20,8
Control,Puddle of Mudd,68,79,20,13
Brotha,Angie Stone,52,52,20,17
Feelin' On Yo Booty,R. Kelly,36,83,19,5
From Her Mama (Mama Got A**),Juvenile,65,65,15,12
The Star Spangled Banner,Whitney Houston Featuring The Florida Orchestra / Maestro Jahja Ling,6,80,27,7
What Am I Gonna Do,Tyrese,71,86,18,9
Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg & Lil' Kim",84,84,16,8
I'm A Thug,Trick Daddy,17,88,20,1
What If,Babyface,80,89,15,5
Fatty Girl,"Ludacris, LL Cool J & Keith Murray",87,87,14,10
So Complicated,Carolyn Dawn Johnson,59,91,17,5
I'm A Believer,Smash Mouth,25,92,20,1
Every Other Time,LFO,44,93,18,4
I Would've Loved You Anyway,Trisha Yearwood,44,91,20,3
What's Going On,All Star Tribute,27,94,10,2
Crawling,Linkin Park,79,93,20,4
Bad Day,Fuel,64,97,20,2
Don't You Forget It,Glenn Lewis,30,30,20,20
Young'n (Holla Back),Fabolous,33,33,20,20
Angels In Waiting,Tammy Cochran,73,100,11,3
7 Days,Craig David,10,10,20,20
Hey Baby,No Doubt Featuring Bounty Killer,5,5,20,20
Bring On The Rain,Jo Dee Messina With Tim McGraw,36,36,20,20
Take You Out,Luther Vandross,26,95,17,1
Can't Fight The Moonlight,LeAnn Rimes,11,11,42,22
Take Away,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",45,45,20,20
Bouncin' Back (Bumpin' Me Against The Wall),Mystikal,37,37,20,20
No More Drama,Mary J. Blige,15,15,20,20
Fat Lip,Sum 41,66,96,12,2
Freedom,Paul McCartney,97,97,2,2
Round And Round,Jonell & Method Man,62,62,17,17
Got Ur Self A...,Nas,87,87,19,19
The Whole World,OutKast Featuring Killer Mike,19,19,20,20
Let's Stay Home Tonight,Joe,68,68,12,12
Blurry,Puddle of Mudd,5,5,38,38
The Long Goodbye,Brooks & Dunn,39,39,20,20
Part II,Method Man & Redman,72,72,12,12
The World's Greatest,R. Kelly,34,34,18,18
Ooohhhwee,Master P Featuring Weebie,63,63,11,11
Welcome To Atlanta,Jermaine Dupri & Ludacris,35,35,20,20
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,1,1,27,27
Never Too Far/Hero Medley,Mariah Carey,81,81,3,3
God Bless America,Daniel Rodriguez,99,99,2,2
Uh Huh,B2K,37,37,22,22
Nothing In This World,KeKe Wyatt Featuring Avant,27,27,20,20
Chop Suey,System of a Down,76,76,20,20
Defy You,The Offspring,77,77,11,11
Wasting My Time,Default,13,13,35,35
Thank You,Lil Bow Wow Featuring Jagged Edge & Fundisha,93,93,5,5
The Cowboy In Me,Tim McGraw,33,33,20,20
Blessed,Martina McBride,31,31,20,20
Just Let Me Be In Love,Tracy Byrd,64,64,10,10
Some Days You Gotta Dance,Dixie Chicks,55,55,19,19
In Another World,Joe Diffie,66,66,11,11
Runaway,NB Ridaz Featuring Angelina,97,97,4,4
Burn,Mobb Deep Featuring Vita & Noyd,99,99,2,2
What About Us?,Brandy,7,7,18,18
Can't Get You Out Of My Head,Kylie Minogue,7,7,20,20
Hey Luv (Anything),Mobb Deep Featuring 112,58,58,15,15
Jigga,Jay-Z,66,66,9,9
I Love You,Faith Evans,14,14,21,21
Hush Lil' Lady,Corey Featuring Lil' Romeo,63,63,13,13
Hands Clean,Alanis Morissette,23,23,20,20
More Than A Woman,Aaliyah,25,25,24,24
I'm Movin' On,Rascal Flatts,41,41,19,19
My Sweet Lord,George Harrison,94,94,1,1
I Miss You,DMX Featuring Faith Evans,86,86,7,7
That's Just Jessie,Kevin Denney,76,76,17,17
Oops (Oh My),Tweet,7,7,20,20
U Don't Have To Call,Usher,3,3,26,26
Girlfriend,*NSYNC Featuring Nelly,5,5,20,20
Young,Kenny Chesney,35,35,20,20
Youth Of The Nation,P.O.D.,28,28,19,19
"I Breathe In, I Breathe Out",Chris Cagle,35,35,20,20
Any Other Night,Sharissa,72,72,14,14
What's Luv?,Fat Joe Featuring Ashanti,2,2,28,28
My List,Toby Keith,26,26,20,20
Foolish,Ashanti,1,1,32,32
Never,Amanda Perez,79,79,16,16
Saturday (Oooh! Ooooh!),Ludacris Featuring Sleepy Brown,22,22,20,20
Rapture (Tastes So Sweet),iio,46,46,15,15
All You Wanted,Michelle Branch,6,6,28,28
Escape,Enrique Iglesias,12,12,20,20
Roc The Mic,Beanie Sigel & Freeway,55,55,19,19
Anything,Jaheim Featuring Next,28,28,20,20
What If She's An Angel,Tommy Shane Steiner,39,39,20,20
That's When I Love You,Phil Vassar,37,37,20,20
Wrong Impression,Natalie Imbruglia,64,64,8,8
A New Day Has Come,Celine Dion,22,22,20,20
For You,Staind,63,63,20,20
Crawling In The Dark,Hoobastank,68,68,19,19
A Thousand Miles,Vanessa Carlton,5,5,40,40
Insatiable,Darren Hayes,77,77,7,7
Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,11,11,20,20
Don't Let Me Get Me,P!nk,8,8,21,21
It's Goin' Down,X-Ecutioners,85,85,11,11
Video,India.Arie,47,59,31,14
Awnaw,Nappy Roots,51,51,20,20
Knoc,"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",98,98,3,3
Underneath Your Clothes,Shakira,9,9,20,20
The Middle,Jimmy Eat World,5,5,33,33
I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,2,2,23,23
This Woman's Work,Maxwell,58,58,15,15
Drive (For Daddy Gene),Alan Jackson,28,28,20,20
Too Bad,Nickelback,42,42,20,20
I Should Be Sleeping,Emerson Drive,35,35,20,20
No Matta What (Party All Night),Toya,86,86,7,7
Here Is Gone,Goo Goo Dolls,18,18,20,20
Makin' Good Love,Avant,27,27,20,20
halfcrazy,Musiq,16,16,25,25
Wish I Didn't Miss You,Angie Stone,79,79,19,19
Give It To Her,Tanto Metro & Devonte,85,85,20,20
Rainy Dayz,Mary J. Blige Featuring Ja Rule,12,12,20,20
Modern Day Bonnie And Clyde,Travis Tritt,55,55,11,11
Feels Good (Don't Worry Bout A Thing),Naughty by Nature Featuring 3LW,53,53,20,20
Take You Home With Me a.k.a. Body,R. Kelly & Jay-Z,81,81,8,8
Feel The Girl,Ms. Jade,92,92,4,4
I Don't Have To Be Me ('til Monday),Steve Azar,35,35,20,20
How Come You Don't Call Me,Alicia Keys,59,59,9,9
Living And Living Well,George Strait,27,27,20,20
Song For The Lonely,Cher,85,85,6,6
Closet Freak,Cee-Lo,98,98,3,3
Soak Up The Sun,Sheryl Crow,17,17,29,29
Take Ya Home,Lil Bow Wow,72,72,7,7
Down A** Chick,"Ja Rule Featuring Charli ""Chuck"" Baltimore",21,21,19,19
Still Fly,Big Tymers,11,11,24,24
Hella Good,No Doubt,13,13,20,20
Addictive,Truth Hurts Featuring Rakim,9,9,20,20
Oh Boy,Cam'Ron Featuring Juelz Santana,4,4,21,21
One Mic,Nas,43,43,13,13
Tell Me What's It Gonna Be,Brian McKnight Featuring Jermaine Dupri,91,91,5,5
I'm Gonna Be Alright,Jennifer Lopez Featuring Nas,10,10,23,23
Gots Ta Be,B2K,34,34,18,18
You Know That I Love You,Donell Jones,54,54,20,20
Overprotected,Britney Spears,86,86,5,5
Take A Message,Remy Shand,89,89,6,6
Be Here,Raphael Saadiq Featuring D'Angelo,99,99,2,2
Hot In Herre,Nelly,1,1,26,26
I'm Gonna Miss Her (The Fishin' Song),Brad Paisley,29,29,20,20
Full Moon,Brandy,18,18,20,20
Say I Yi Yi,Ying Yang Twins,56,56,14,14
Toxicity,System of a Down,70,70,13,13
Don't Say Goodbye,Paulina Rubio,41,41,16,16
Gimme The Light,Sean Paul,8,8,31,31
I Told Y'all,Petey Pablo,94,94,3,3
Without Me,Eminem,2,2,20,20
Someone To Love You,Ruff Endz,49,49,20,20
I Don't Want You To Go,Carolyn Dawn Johnson,54,54,10,10
Not A Day Goes By,Lonestar,36,36,17,17
What If A Woman,Joe,63,63,16,16
Days Go By,Dirty Vegas,14,14,20,20
Hero,Chad Kroeger Featuring Josey Scott,3,3,22,22
The One,Gary Allan,37,37,20,20
Guess Who's Back,Scarface Featuring Jay-Z & Beanie Sigel,79,79,8,8
Whoa Now,B Rich,98,98,2,2
Walking Away,Craig David,44,44,20,20
Here To Stay,Korn,72,72,12,12
Quitame Ese Hombre,Pilar Montenegro,74,74,13,13
My Heart Is Lost To You,Brooks & Dunn,48,48,13,13
Drift & Die,Puddle of Mudd,61,61,20,20
Nothin',N.O.R.E.,10,10,24,24
"My Neck, My Back",Khia Featuring DSD,42,42,18,18
Just A Friend 2002,Mario,4,4,21,21
Sugarhigh,Jade Anderson,96,96,2,2
Grindin',Clipse,30,30,20,20
No Such Thing,John Mayer,13,13,24,24
Call Me,Tweet,31,31,19,19
Complicated,Avril Lavigne,2,2,27,27
When You Lie Next To Me,Kellie Coffey,54,54,18,18
Happy,Ashanti,8,8,23,23
Heaven,DJ Sammy & Yanou Featuring Do,8,8,27,27
The Impossible,Joe Nichols,29,29,21,21
I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",4,4,26,26
The Good Stuff,Kenny Chesney,22,22,20,20
Why Don't We Fall In Love,Amerie,23,23,19,19
One Last Breath,Creed,6,6,26,26
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,25,25,20,20
Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,10,10,23,23
Day + Night,Isyss Featuring Jadakiss,98,98,4,4
By The Way,Red Hot Chili Peppers,34,34,20,20
I Miss My Friend,Darryl Worley,28,28,20,20
Where Are You Going,Dave Matthews Band,39,39,20,20
Long Time Gone,Dixie Chicks,7,7,20,20
Down 4 U,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",6,6,20,20
If I Could Go!,Angie Martinez Featuring Lil' Mo & Sacario,15,15,24,24
For All Time,Soluna,72,72,11,11
Tonight I Wanna Be Your Man,Andy Griggs,52,52,12,12
Black Suits Comin' (Nod Ya Head),Will Smith Featuring Tra-Knox,77,77,3,3
Love At First Sight,Kylie Minogue,23,23,16,16
Just Like A Pill,P!nk,8,8,20,20
Unbroken,Tim McGraw,26,26,20,20
Ten Rounds With Jose Cuervo,Tracy Byrd,26,26,20,20
Running Away,Hoobastank,44,44,20,20
I've Got You,Marc Anthony,81,81,14,14
Way Of Life,Lil Wayne,71,71,12,12
A Little Less Conversation,Elvis Presley vs JXL,50,50,9,9
Dilemma,Nelly Featuring Kelly Rowland,1,1,21,21
Gangsta Lovin',Eve Featuring Alicia Keys,2,2,21,21
Papa Don't Preach,Kelly Osbourne,74,74,2,2
Two Wrongs,Wyclef Jean Featuring Claudette Ortiz,28,28,20,20
In Da Wind,Trick Daddy Featuring Cee-Lo & Big Boi,70,70,18,18
I Keep Looking,Sara Evans,35,35,19,19
Good Times,Styles,22,22,20,20
She Loves Me Not,Papa Roach,76,76,12,12
Help Me Understand,Trace Adkins,80,80,4,4
Hate To Say I Told You So,The Hives,86,86,11,11
Tainted,Slum Village Featuring Dwele,87,87,11,11
Po' Folks,Nappy Roots Featuring Anthony Hamilton,21,21,20,20
Baby,Ashanti,15,15,19,19
Gotta Get Thru This,Daniel Bedingfield,10,10,19,19
Where Do We Go From Here,Filter,94,94,5,5
The Rising,Bruce Springsteen,52,52,11,11
Cleanin' Out My Closet,Eminem,4,4,18,18
Feel It Boy,Beenie Man Featuring Janet,28,28,12,12
Stingy,Ginuwine,33,33,18,18
Flake,Jack Johnson,73,73,17,17
Sweetness,Jimmy Eat World,75,75,14,14
I Do (Wanna Get Close To You),3LW Featuring P. Diddy & Loon,58,58,14,14
All Eyez On Me,Monica,69,69,7,7
She Was,Mark Chesnutt,62,62,11,11
Beautiful Mess,Diamond Rio,28,28,17,17
Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,14,14,17,17
Burnin' Up,"Faith Evans Featuring Missy ""Misdemeanor"" Elliott",60,60,15,15
Aerials,System of a Down,55,55,16,16
Out Of My Heart (Into Your Head),BBMak,56,56,8,8
Trade It All,Fabolous Featuring P. Diddy & Jagged Edge,20,20,16,16
Somebody Like You,Keith Urban,23,23,16,16
Blue Jeans,Yasmeen Featuring Ghostface Killah,97,97,4,4
I Care 4 U,Aaliyah,16,16,15,15
Ordinary Day,Vanessa Carlton,30,30,15,15
Somewhere Out There,Our Lady Peace,44,44,15,15
Work In Progress,Alan Jackson,35,35,15,15
American Child,Phil Vassar,48,48,15,15
Luv U Better,LL Cool J,4,4,15,15
Whatchulookinat,Whitney Houston,96,96,3,3
Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",3,3,14,14
Underneath It All,No Doubt Featuring Lady Saw,3,3,14,14
Goodbye To You,Michelle Branch,21,21,14,14
Cry,Faith Hill,33,33,14,14
Oh Yeah!,"Big Tymers Featuring Tateeze, Boo & Gotti",46,46,14,14
Like I Love You,Justin Timberlake,11,11,13,13
Objection (Tango),Shakira,55,55,9,9
Big Machine,Goo Goo Dolls,64,64,6,6
dontchange,Musiq,17,17,13,13
Where Would You Be,Martina McBride,45,45,13,13
Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,13,13,13,13
My Friends Over You,New Found Glory,85,85,6,6
Sk8er Boi,Avril Lavigne,10,10,12,12
Work It,"Missy ""Misdemeanor"" Elliott",2,2,12,12
When The Last Time,Clipse,21,21,12,12
I'd Rather,Luther Vandross,83,83,11,11
Steve McQueen,Sheryl Crow,88,88,5,5
Put Me Down,Donell Jones,98,98,3,3
A Moment Like This,Kelly Clarkson,1,1,11,11
Dirrty,Christina Aguilera Featuring Redman,48,48,11,11
Landslide,Dixie Chicks,16,16,11,11
My Town,Montgomery Gentry,40,40,10,10
Prayer,Disturbed,58,58,10,10
Stole,Kelly Rowland,27,27,10,10
Electrical Storm,U2,77,77,7,7
Don't Know Why,Norah Jones,52,52,10,10
Little Things,India.Arie,89,89,10,10
The Streets,WC Featuring Nate Dogg,81,81,10,10
"Don't Say No, Just Say Yes",Avant,96,96,4,4
Lose Yourself,Eminem,1,1,9,9
The Game Of Love,Santana Featuring Michelle Branch,5,5,9,9
These Days,Rascal Flatts,26,26,9,9
She'll Leave You With A Smile,George Strait,33,33,9,9
Who's Your Daddy?,Toby Keith,35,35,9,9
Are We Cuttin',Pastor Troy Featuring Ms. Jade,96,96,5,5
Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,6,6,8,8
Red Rag Top,Tim McGraw,47,47,8,8
She Hates Me,Puddle of Mudd,20,20,8,8
I Am Mine,Pearl Jam,43,43,8,8
Braid My Hair,Mario,74,74,8,8
The Ketchup Song (Hey Hah),Las Ketchup,54,54,8,8
Rock The Party,Benzino,82,82,8,8
Die Another Day,Madonna,8,8,7,7
You Know You're Right,Nirvana,45,45,7,7
Starry Eyed Surprise,Oakenfold Featuring Shifty Shellshock,41,41,7,7
I'm Gonna Getcha Good!,Shania Twain,34,34,7,7
Disease,Matchbox Twenty,37,37,7,7
React,Erick Sermon Featuring Redman,41,41,7,7
Crush Tonight,Fat Joe Featuring Ginuwine,77,77,7,7
Downfall,TRUSTcompany,91,91,4,4
'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,11,11,6,6
Girl Talk,TLC,28,28,6,6
Single For The Rest Of My Life,Isyss,71,71,6,6
He Is,Heather Headley,94,94,5,5
The One You Love,Paulina Rubio,97,97,3,3
Your Body Is A Wonderland,John Mayer,29,29,5,5
In A Little While,Uncle Kracker,59,59,5,5
All My Life,Foo Fighters,51,51,5,5
Why I Love You,B2K,73,73,4,4
Bother,Stone Sour,56,56,5,5
Something,Lasgo,80,80,5,5
Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",12,12,4,4
The Zephyr Song,Red Hot Chili Peppers,49,49,4,4
Forgive,Rebecca Lynn Howard,71,71,4,4
I Just Wanna Be Mad,Terri Clark,70,70,4,4
Hit The Freeway,Toni Braxton Featuring Loon,86,86,4,4
From Tha Chuuuch To Da Palace,Snoop Dogg,87,87,4,4
Ignition,R. Kelly,66,66,4,4
Make It Clap,Busta Rhymes Featuring Spliff Star,88,88,4,4
Family Portrait,P!nk,40,40,3,3
Fabulous,Jaheim Featuring Tha Rayne,53,53,3,3
Fall Into Me,Emerson Drive,63,63,3,3
Spin,Lifehouse,84,84,3,3
Do That...,Baby Featuring P. Diddy,85,85,3,3
One Of Those Days,Whitney Houston,94,94,3,3
Beautiful,Christina Aguilera,39,39,2,2
When I'm Gone,3 Doors Down,65,65,2,2
19 Somethin',Mark Wills,58,58,2,2
Thug Lovin',Ja Rule Featuring Bobby Brown,57,57,2,2
Cochise,Audioslave,73,73,2,2
Miss You,Aaliyah,55,55,1,1
Satisfaction,Eve,62,62,1,1
"Bump, Bump, Bump",B2K & P. Diddy,67,67,1,1
Wanksta,50 Cent,68,68,1,1
A Lot Of Things Different,Kenny Chesney,74,74,1,1
The Red,Chevelle,77,77,1,1
Picture,Kid Rock Featuring Sheryl Crow Or Allison Moorer,91,91,1,1
