song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,1,1,17,12
MacArthur Park,Donna Summer,1,2,20,8
How Much I Feel,Ambrosia,3,3,21,8
Le Freak,Chic,1,1,25,20
I Just Wanna Stop,Gino Vannelli,4,4,21,9
Double Vision,Foreigner,2,6,20,10
I Love The Nightlife (Disco 'round),Alicia Bridges,5,5,31,10
Time Passages,Al Stewart,7,7,18,9
My Life,Billy Joel,3,3,19,15
Sharing The Night Together,Dr. Hook,6,6,22,11
(Our Love) Don't Throw It All Away,Andy Gibb,9,9,18,11
Strange Way,Firefall,11,11,19,10
You Needed Me,Anne Murray,1,13,26,6
Alive Again,Chicago,14,14,13,7
Y.M.C.A.,Village People,2,2,26,20
Too Much Heaven,Bee Gees,1,1,21,19
Straight On,Heart,15,15,18,8
Hold The Line,Toto,5,5,21,13
Change Of Heart,Eric Carmen,19,19,16,5
Sweet Life,Paul Davis,17,17,21,7
Don't Want To Live Without It,Pablo Cruise,21,21,16,5
How You Gonna See Me Now,Alice Cooper,12,12,16,10
Ready To Take A Chance Again,Barry Manilow,11,23,16,5
Ooh Baby Baby,Linda Ronstadt,7,7,16,13
The Power Of Gold,Dan Fogelberg/Tim Weisberg,24,24,14,7
You Never Done It Like That,Captain & Tennille,10,26,22,5
Part-Time Love,Elton John,22,22,10,7
Hot Child In The City,Nick Gilder,1,28,31,6
We've Got Tonight,Bob Seger & The Silver Bullet Band,13,13,17,12
I'm Every Woman,Chaka Khan,21,21,16,8
Dance (Disco Heat),Sylvester,19,31,18,3
Promises,Eric Clapton And His Band,9,9,18,11
One Nation Under A Groove - Part I,Funkadelic,28,33,14,3
New York Groove,Ace Frehley,13,13,21,14
This Is Love,Paul Anka,35,35,11,3
Blue Collar Man (Long Nights),Styx,21,36,14,3
Run For Home,Lindisfarne,33,33,14,5
Every 1's A Winner,Hot Chocolate,6,6,18,15
There'll Never Be,Switch,36,36,13,5
Instant Replay,Dan Hartman,29,29,17,10
Bicycle Race/Fat Bottomed Girls,Queen,24,24,12,9
Can You Fool,Glen Campbell,38,38,11,5
Fun Time,Joe Cocker,43,43,8,2
My Best Friend's Girl,The Cars,35,35,15,9
Kiss You All Over,Exile,1,45,23,2
Here Comes The Night,Nick Gilder,44,44,8,3
I Will Be In Love With You,Livingston Taylor,30,30,14,8
Forever Autumn,Justin Hayward,47,47,13,5
Don't Hold Back,Chanson,21,21,16,13
I Was Made For Dancin',Leif Garrett,10,10,21,18
Fire,The Pointer Sisters,2,2,23,20
A Little More Love,Olivia Newton-John,3,3,20,19
The Gambler,Kenny Rogers,16,16,22,18
Blame It On The Boogie,The Jacksons,54,54,6,2
Mary Jane,Rick James,41,41,12,8
Take Me To The River,Talking Heads,26,26,17,13
"Hold Me, Touch Me",Paul Stanley,46,46,12,8
September,"Earth, Wind & Fire",8,8,17,15
Everybody Needs Love,Stephen Bishop,32,59,13,2
A Man I'll Never Be,Boston,31,31,12,10
"Whenever I Call You ""Friend""",Kenny Loggins,5,61,20,2
In The Bush,Musique,58,58,13,7
Driftwood,The Moody Blues,59,59,7,3
You Took The Words Right Out Of My Mouth,Meat Loaf,39,39,13,10
One Last Kiss,The J. Geils Band,35,35,13,11
Shake It,Ian Matthews,13,13,19,17
Don't Cry Out Loud,Melissa Manchester,10,10,23,21
Love Me Again,Rita Coolidge,68,68,7,3
The Dream Never Dies,Cooper Brothers,48,48,13,8
You Thrill Me,Exile,40,40,11,10
Whatever Happened To Benny Santini?,Chris Rea,71,71,4,1
Well All Right,Santana,69,69,8,5
"Cuz It's You, Girl",James Walsh Gypsy Band,71,71,7,2
