song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Big Bad John,Jimmy Dean,1,1,17,8
Please Mr. Postman,The Marvelettes,1,1,24,11
Goodbye Cruel World,James Darren,3,3,18,11
Runaround Sue,Dion,1,4,14,4
Fool #1,Brenda Lee,3,5,15,6
The Twist,Chubby Checker,1,1,40,19
Walk On By,Leroy Van Dyke,5,5,17,12
Tower Of Strength,Gene McDaniels,5,8,13,4
I Understand (Just How You Feel),The G-Clefs,9,9,17,6
Crazy,Patsy Cline,9,10,12,6
Run To Him,Bobby Vee,2,2,16,13
Tonight,Ferrante & Teicher,8,8,14,7
Heartaches,The Marcels,7,13,12,4
Moon River,Jerry Butler,11,11,18,10
The Fly,Chubby Checker,7,15,13,3
Let There Be Drums,Sandy Nelson,7,7,17,12
The Lion Sleeps Tonight,The Tokens,1,1,16,13
Bristol Stomp,The Dovells,2,18,16,4
This Time,Troy Shondell,6,19,13,2
Gypsy Woman,The Impressions,20,20,16,9
"Happy Birthday, Sweet Sixteen",Neil Sedaka,6,6,15,12
I Love How You Love Me,The Paris Sisters,5,22,15,2
September In The Rain,Dinah Washington,23,23,11,4
Moon River,Henry Mancini And His Orchestra,11,11,27,19
A Wonder Like You,Rick Nelson,11,25,11,2
I Don't Know Why,Linda Scott,12,12,15,10
In The Middle Of A Heartache,Wanda Jackson,27,27,10,3
You're The Reason,Bobby Edwards,11,28,17,3
Peppermint Twist - Part I,Joey Dee & the Starliters,1,1,19,17
Just Out Of Reach (Of My Two Open Arms),Solomon Burke,24,30,18,7
I Wanna Thank You,Bobby Rydell,21,31,9,2
Let's Twist Again,Chubby Checker,8,22,24,10
'Til,The Angels,14,14,15,9
Foot Stomping - Part 1,The Flares,25,34,15,2
When I Fall In Love,The Lettermen,7,7,15,13
Language Of Love,John D. Loudermilk,32,32,10,6
When The Boy In Your Arms (Is The Boy In Your Heart),Connie Francis,10,10,13,11
Unchain My Heart,Ray Charles and his Orchestra,9,9,13,12
Your Ma Said You Cried In Your Sleep Last Night,Kenny Dino,24,24,12,8
Sad Movies (Make Me Cry),Sue Thompson,5,40,14,1
"Well, I Told You",The Chantels,29,29,10,7
"God, Country And My Baby",Johnny Burnette,18,42,9,2
There's No Other (Like My Baby),The Crystals,20,20,12,10
Town Without Pity,Gene Pitney,13,13,20,15
Smile,Timi Yuro,42,45,6,2
Tonight,Eddie Fisher,44,44,6,2
Hit The Road Jack,Ray Charles And His Orchestra With The Raelettes,1,47,13,1
Everlovin',Rick Nelson,16,48,10,1
Rock-A-Bye Your Baby With A Dixie Melody,Aretha Franklin,37,49,9,1
Up A Lazy River,Si Zentner And His Orchestra,43,43,10,7
Let's Get Together,Hayley Mills and Hayley Mills,8,51,14,1
Ya Ya,Lee Dorsey,7,52,13,1
The Gypsy Rover,The Highwaymen,42,42,11,7
It's Too Soon To Know,Etta James,54,54,7,3
Johnny Will,Pat Boone,35,35,11,8
Revenge,Brook Benton,15,15,11,9
Can't Help Falling In Love,Elvis Presley With The Jordanaires,2,2,15,15
Three Steps From The Altar,Shep And The Limelites,58,58,10,3
The Peppermint Twist,Danny Peppermint and the Jumping Jacks,54,54,4,4
Soothe Me,Sims Twins,42,42,9,6
It's All Because,Linda Scott,50,50,9,6
Rock-A-Hula Baby,Elvis Presley With The Jordanaires,23,23,10,10
Funny How Time Slips Away,Jimmy Elledge,22,22,15,12
The Majestic,Dion,36,36,9,9
I Know (You Don't Love Me No More),Barbara George,3,3,20,17
Lonesome Number One,Don Gibson,59,59,4,4
I Hear You Knocking,Fats Domino,67,67,2,2
Hey! Little Girl,Del Shannon,38,38,9,8
I Cried My Last Tear,Ernie K-Doe,69,69,5,1
Everybody's Gotta Pay Some Dues,The Miracles,52,70,8,2
A Certain Girl,Ernie K-Doe,71,71,4,1
Danny Boy,Andy Williams,64,72,6,1
Poor Fool,Ike & Tina Turner,38,38,12,11
If You Gotta Make A Fool Of Somebody,James Ray,22,22,15,13
The Comancheros,Claude King,71,71,7,4
It Will Stand,The Showmen,61,61,13,10
What A Walk,Bobby Lewis,77,77,3,1
Little Altar Boy,Vic Dana,45,45,9,8
The Wanderer,Dion,2,2,19,19
"Never, Never",The Jive Five With Joe Rene And Orchestra,74,74,6,3
Turn On Your Love Light,Bobby Bland,28,28,11,11
Happy Times (Are Here To Stay),Tony Orlando,82,82,3,2
Searching,Jack Eubanks,83,83,5,4
Cotton Fields,The Highwaymen,13,13,19,18
Walkin' With My Angel,Bobby Vee,53,53,10,9
Small Sad Sam,Phil McLean,21,21,11,11
Unsquare Dance,The Dave Brubeck Quartet,74,74,7,7
Tennessee Flat-Top Box,Johnny Cash,84,84,6,3
Sometime,Gene Thomas,53,81,7,2
Losing Your Love,Jim Reeves,89,89,3,2
Let's Go Trippin',Dick Dale and The Del-Tones,60,60,10,9
You're Following Me,Perry Como,92,92,3,1
"Turn Around, Look At Me",Glen Campbell,62,62,11,8
Norman,Sue Thompson,3,3,17,17
(How Can I Write On Paper) What I Feel In My Heart,Jim Reeves,92,92,2,2
Pop Goes The Weasel,Anthony Newley,85,85,5,5
It Do Me So Good,Ann-Margret,97,97,3,1
She Really Loves You,Timi Yuro,93,93,2,2
Dreamy Eyes,Johnny Tillotson,35,35,24,15
Walkin' Back To Happiness,Helen Shapiro,100,100,1,1
Jambalaya (On The Bayou),Fats Domino,30,30,8,8
Dear Lady Twist,Gary U.S. Bonds,9,9,17,17
White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,12,12,11,5
Jingle Bell Rock,Bobby Helms,35,41,12,5
Jingle Bell Rock,Bobby Rydell/Chubby Checker,21,21,6,6
Baby's First Christmas,Connie Francis,26,26,6,6
Twistin' U.S.A.,Chubby Checker,68,68,3,3
Rockin' Around The Christmas Tree,Brenda Lee,14,50,9,5
Maria,Roger Williams,48,48,9,9
Just Got To Know,Jimmy McCracklin,64,64,8,8
Maria,Johnny Mathis,78,88,8,4
But On The Other Hand Baby,Ray Charles and his Orchestra,72,72,4,4
Irresistible You,Bobby Darin,15,15,14,14
The Little Drummer Boy,The Harry Simeone Chorale,13,22,25,5
Letter Full Of Tears,Gladys Knight And The Pips,19,19,13,13
Flying Circle,Frank Slay And His Orchestra,45,45,10,10
Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,21,47,6,4
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,39,39,12,4
Baby It's You,The Shirelles,8,8,15,15
A Little Bitty Tear,Burl Ives,9,9,15,15
Twist-Her,Bill Black's Combo,26,26,10,10
Do-Re-Mi,Lee Dorsey,27,27,10,10
Room Full Of Tears,The Drifters,72,72,6,6
Multiplication,Bobby Darin,30,30,11,11
Pocketful Of Miracles,Frank Sinatra,34,34,9,9
Seven Day Fool,Etta James,95,95,1,1
Lost Someone,James Brown And The Famous Flames,48,48,11,11
Pushin' Your Luck,Sleepy King,92,92,4,4
I Could Have Loved You So Well,Ray Peterson,57,57,9,9
You Don't Have To Be A Tower Of Strength,Gloria Lynne,100,100,1,1
She's Everything (I Wanted You To Be),Ral Donner,18,18,12,12
Alvin's Harmonica,David Seville And The Chipmunks,3,73,15,3
Please Come Home For Christmas,Charles Brown,76,76,3,3
Go On Home,Patti Page,42,42,9,9
Tuff,Ace Cannon,17,17,17,17
I Told The Brook,Marty Robbins,81,81,4,4
Smoky Places,"The Corsairs Featuring Jay ""Bird"" Uzzell",12,12,16,16
Tears From An Angel,Troy Shondell,77,77,7,7
Free Me,Johnny Preston,97,97,1,1
I Need Some One,The Belmonts,75,75,5,5
Santa & The Touchables,Dickie Goodman,99,99,1,1
Ev'rybody's Cryin',Jimmie Beaumont,100,100,1,1
Dear Ivan,Jimmy Dean,24,24,8,8
Twistin' All Night Long,Danny & The Juniors with Freddy Cannon,68,68,6,6
The Twist,Ernie Freeman,93,93,2,2
The Waltz You Saved For Me,Ferlin Husky,94,94,2,2
Let Me In,The Sensations,4,4,19,19
The Little Drummer Boy,The Jack Halloran Singers,96,96,2,2
That's My Pa,Sheb Wooley,51,51,12,12
Motorcycle,Tico And The Triumphs,99,99,2,2
Drown In My Own Tears,Don Shirley,100,100,2,2
