song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Anti-Hero,Taylor Swift,1,1,51,49
Rich Flex,Drake & 21 Savage,2,2,28,28
Major Distribution,Drake & 21 Savage,3,3,7,7
On BS,Drake & 21 Savage,4,4,8,8
Spin Bout U,Drake & 21 Savage,5,5,29,29
Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,6,6,7,7
Privileged Rappers,Drake & 21 Savage,7,7,4,4
Circo Loco,Drake & 21 Savage,8,8,13,13
BackOutsideBoyz,Drake,9,9,4,4
Unholy,Sam Smith & Kim Petras,1,2,35,29
Hours In Silence,Drake & 21 Savage,11,11,4,4
Broke Boys,Drake & 21 Savage,12,12,4,4
Bad Habit,Steve Lacy,1,4,35,17
Treacherous Twins,Drake & 21 Savage,14,14,3,3
Middle Of The Ocean,Drake,15,15,3,3
Jumbotron Shit Poppin,Drake,16,16,4,4
As It Was,Harry Styles,1,5,61,30
More M's,Drake & 21 Savage,18,18,3,3
I Guess It's Fuck Me,Drake,19,19,2,2
I'm Good (Blue),David Guetta & Bebe Rexha,4,4,48,38
Super Freaky Girl,Nicki Minaj,1,11,25,13
Lift Me Up,Rihanna,2,8,20,19
Lavender Haze,Taylor Swift,2,11,29,27
I Like You (A Happier Song),Post Malone Featuring Doja Cat,3,16,36,14
You Proof,Morgan Wallen,5,8,62,37
Something In The Orange,Zach Bryan,10,10,66,38
3AM On Glenwood,21 Savage,27,27,2,2
I Ain't Worried,OneRepublic,6,24,30,9
Vegas,Doja Cat,10,18,30,8
Midnight Rain,Taylor Swift,5,30,8,6
Jimmy Cooks,Drake Featuring 21 Savage,1,27,25,5
Under The Influence,Chris Brown,12,12,41,33
Bejeweled,Taylor Swift,6,33,9,7
Die For You,The Weeknd & Ariana Grande,1,1,52,38
Sunroof,Nicky Youre & dazy,4,28,32,9
Maroon,Taylor Swift,3,36,7,5
Wasted On You,Morgan Wallen,9,20,57,6
Cuff It,Beyonce,6,6,35,23
Karma,Taylor Swift Featuring Ice Spice,2,2,30,28
Snow On The Beach,Taylor Swift Featuring Lana Del Rey,4,30,8,6
Wait For U,Future Featuring Drake & Tems,1,26,41,14
"You're On Your Own, Kid",Taylor Swift,8,42,6,4
Titi Me Pregunto,Bad Bunny,5,28,30,4
Just Wanna Rock,Lil Uzi Vert,10,10,32,29
The Kind Of Love We Make,Luke Combs,8,30,32,12
Shirt,SZA,11,18,23,22
She Had Me At Heads Carolina,Cole Swindell,16,31,36,13
About Damn Time,Lizzo,1,26,42,13
Tomorrow 2,GloRilla & Cardi B,9,21,22,16
Unstoppable,Sia,28,41,29,11
Vigilante Shit,Taylor Swift,10,51,6,4
Thank God,Kane Brown With Katelyn Brown,13,13,42,34
Die For You,Joji,53,53,3,3
5 Foot 9,Tyler Hubbard,22,54,22,1
Hold Me Closer,Elton John & Britney Spears,6,46,20,10
Question...?,Taylor Swift,7,56,5,3
Golden Hour,JVKE,10,10,33,23
Rock And A Hard Place,Bailey Zimmerman,10,10,54,33
Fall In Love,Bailey Zimmerman,29,48,34,7
Half Of Me,Thomas Rhett Featuring Riley Green,52,53,20,9
Made You Look,Meghan Trainor,11,11,21,19
Hotel Lobby (Unc And Phew),Quavo & TakeOff,55,55,22,5
What My World Spins Around,Jordan Davis,40,40,28,16
Until I Found You,Stephen Sanchez,23,23,41,23
Mastermind,Taylor Swift,13,65,5,3
Victoria's Secret,Jax,35,40,25,11
Labyrinth,Taylor Swift,14,67,5,3
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,32,52,18,12
Son Of A Sinner,Jelly Roll,31,36,28,10
Don't Come Lookin',Jackson Dean,50,60,15,5
Sweet Nothing,Taylor Swift,15,71,5,3
Romantic Homicide,d4vd,33,57,20,11
California Breeze,Lil Baby,4,73,14,11
Billie Eilish.,Armani White,58,71,14,6
Wait In The Truck,HARDY Featuring Lainey Wilson,23,23,34,25
"Would've, Could've, Should've",Taylor Swift,20,76,4,2
Heyy,Lil Baby,21,77,12,8
Wishful Drinking,Ingrid Andress With Sam Hunt,47,78,20,2
Free Mind,Tems,46,74,21,5
Music For A Sushi Restaurant,Harry Styles,8,80,18,2
No Se Va,Grupo Frontera,57,62,20,14
Whiskey On You,Nate Smith,43,43,34,14
My Mind & Me,Selena Gomez,83,83,1,1
Forever,Lil Baby Featuring Fridayy,8,74,20,17
Bigger Than The Whole Sky,Taylor Swift,21,85,4,2
All Mine,Brent Faiyaz,42,83,20,7
The Great War,Taylor Swift,26,87,4,2
Calm Down,Rema & Selena Gomez,3,3,57,48
Miss You,Oliver Tree & Robin Schulz,84,87,9,7
Paris,Taylor Swift,32,90,3,1
Last Last,Burna Boy,44,91,19,2
Freestyle,Lil Baby,59,59,25,17
Pick Me Up,Gabby Barrett,55,55,22,8
In My Head,Juice WRLD,23,94,2,1
Country On,Luke Bryan,72,83,17,6
La Bachata,Manuel Turizo,67,69,21,10
2 Be Loved (Am I Ready),Lizzo,55,97,13,1
High Infidelity,Taylor Swift,33,98,3,1
Gotta Move On,Diddy & Bryson Tiller,79,97,7,2
Staying Alive,DJ Khaled Featuring Drake & Lil Baby,5,100,14,1
All I Want For Christmas Is You,Mariah Carey,1,1,58,7
Rockin' Around The Christmas Tree,Brenda Lee,2,2,52,7
Jingle Bell Rock,Bobby Helms,3,3,49,7
Heart Like A Truck,Lainey Wilson,29,29,23,23
Break My Heart,Rod Wave,76,76,2,2
Forget Me,Lewis Capaldi,58,58,14,10
"Going, Going, Gone",Luke Combs,23,23,22,22
A Holly Jolly Christmas,Burl Ives,4,4,32,6
It's The Most Wonderful Time Of The Year,Andy Williams,5,6,33,6
Last Christmas,Wham!,4,4,31,6
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",9,9,38,6
Sleigh Ride,The Ronettes,10,13,22,6
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,8,17,25,6
Feliz Navidad,Jose Feliciano,6,7,26,6
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,12,14,18,6
Underneath The Tree,Kelly Clarkson,12,14,21,6
Down In Atlanta,Pharrell Williams & Travis Scott,88,88,1,1
Got It Right,Rod Wave,95,95,1,1
Down Home,Jimmie Allen,61,61,9,6
Christmas (Baby Please Come Home),Darlene Love,15,15,17,5
Santa Tell Me,Ariana Grande,12,12,18,5
It's Beginning To Look A Lot Like Christmas,Michael Buble,20,21,15,5
Deck The Halls,Nat King Cole,16,16,8,5
White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,12,16,30,5
Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,20,20,9,5
Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,16,28,22,5
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,25,25,15,5
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,31,31,7,3
Blue Christmas,Elvis Presley,24,24,8,5
Santa Claus Is Comin' To Town,Jackson 5,33,33,6,4
Last Christmas,Lauren Spencer Smith,72,72,5,5
Someday At Christmas,Lizzo,59,59,5,5
Creepin',"Metro Boomin, The Weeknd & 21 Savage",3,3,45,45
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",8,8,24,24
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,22,22,13,13
Umbrella,"Metro Boomin, 21 Savage & Young Nudy",23,23,2,2
Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage",27,27,6,6
Raindrops (Insane),Metro Boomin & Travis Scott,31,31,2,2
One Thing At A Time,Morgan Wallen,10,10,30,30
Trance,"Metro Boomin, Travis Scott & Young Thug",42,42,19,19
Metro Spider,Metro Boomin & Young Thug,43,43,2,2
On Time,Metro Boomin & John Legend,48,48,2,2
Tennessee Fan,Morgan Wallen,49,49,7,7
Walk Em Down (Don't Kill Civilians),Metro Boomin & 21 Savage Featuring Mustafa,52,52,1,1
Around Me,Metro Boomin Featuring Don Toliver,53,53,2,2
I Can't Save You (Interlude),Metro Boomin & Future Featuring Don Toliver,55,55,1,1
Days That End In Why,Morgan Wallen,57,57,2,2
Feel The Fiyaaaah,Metro Boomin & A$AP Rocky Featuring TakeOff,59,59,1,1
All The Money (Bonus),Metro Boomin & Gunna,66,66,1,1
La Jumpa,Arcangel & Bad Bunny,68,68,10,10
Lock On Me,"Metro Boomin, Travis Scott & Future",72,72,1,1
Wild Flower,RM With Youjeen,83,83,1,1
"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,76,76,4,4
Blue Christmas,Kane Brown,73,73,4,4
Escapism,RAYE Featuring 070 Shake,22,22,23,23
Kill Bill,SZA,1,1,44,44
Nobody Gets Me,SZA,10,10,17,17
Blind,SZA,12,12,11,11
Low,SZA,17,17,16,16
Love Language,SZA,21,21,10,10
Seek & Destroy,SZA,24,24,7,7
Snooze,SZA,2,2,44,44
Used,SZA Featuring Don Toliver,30,30,6,6
SOS,SZA,32,32,5,5
Special,SZA,37,37,6,6
Ghost In The Machine,SZA Featuring Phoebe Bridgers,40,40,9,9
Gone Girl,SZA,43,43,5,5
Notice Me,SZA,44,44,3,3
Run Rudolph Run,Chuck Berry,10,32,17,3
Smoking On My Ex Pack,SZA,52,52,2,2
Open Arms,SZA Featuring Travis Scott,54,54,7,7
F2F,SZA,55,55,2,2
Conceited,SZA,58,58,2,2
Far,SZA,61,61,2,2
Too Late,SZA,62,62,1,1
Forgiveless,SZA Featuring Ol' Dirty Bastard,76,76,1,1
Water (Drowning Pt. 2),A Boogie wit da Hoodie Featuring Kodak Black,97,97,1,1
Little Saint Nick,The Beach Boys,29,29,4,2
Wonderful Christmastime,Paul McCartney,28,32,8,2
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,38,38,4,2
Happy Holiday / The Holiday Season,Andy Williams,18,40,15,2
Merry Christmas,Ed Sheeran & Elton John,42,42,6,2
Please Come Home For Christmas,Eagles,18,43,12,2
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,35,36,5,2
This Christmas,Donny Hathaway,37,37,3,2
Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio,37,49,2,1
Face 2 Face,Juice WRLD,92,92,1,1
Kid On Christmas,Pentatonix Featuring Meghan Trainor,93,93,2,2
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,22,41,13,1
Have Yourself A Merry Little Christmas,Michael Buble,47,48,3,1
Christmastime Is Here,Vince Guaraldi Trio,41,50,3,1
Gato de Noche,Nengo Flow & Bad Bunny,60,60,8,8
Que Vuelvas,Carin Leon X Grupo Frontera,50,50,20,20
Bebe Dame,Fuerza Regida X Grupo Frontera,25,25,20,20
Thought You Should Know,Morgan Wallen,7,7,52,32
Tennessee Orange,Megan Moroney,30,30,28,25
What He Didn't Do,Carly Pearce,37,37,17,15
Bloody Mary,Lady Gaga,41,41,18,18
Handle On You,Parker McCollum,30,30,20,20
Snap,Rosa Linn,67,67,15,6
Wild As Her,Corey Kent,40,40,32,20
The Color Violet,Tory Lanez,63,63,9,9
Here With Me,d4vd,60,60,10,10
Love You Better,Future,12,69,15,8
Out In The Middle,Zac Brown Band,86,87,6,3
Shut Up My Moms Calling,Hotel Ugly,68,68,8,8
Players,Coi Leray,9,9,26,26
Sure Thing,Miguel,11,11,52,29
Black,YoungBoy Never Broke Again,93,93,1,1
Ditto,NewJeans,82,82,5,5
That's What Tequila Does,Jason Aldean,77,77,8,8
You Didn't,Brett Young,63,63,12,12
Flowers,Miley Cyrus,1,1,39,39
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,9,9,15,15
On Wat U On,Moneybagg Yo x GloRilla,56,56,1,1
Nonsense,Sabrina Carpenter,56,56,19,19
Vibe,Taeyang Featuring Jimin,76,76,1,1
Monotonia,Shakira + Ozuna,65,83,3,1
OMG,NewJeans,74,74,6,6
Human,Cody Johnson,61,61,19,19
Heart To Heart,Mac DeMarco,83,83,4,4
King Snipe,Gucci Mane & Kodak Black,100,100,1,1
Knight Crawler,Trippie Redd & Juice WRLD,52,52,2,2
Red,HARDY Featuring Morgan Wallen,64,64,1,1
