song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
I'm Your Angel,R. Kelly & Celine Dion,1,1,18,18
Nobody's Supposed To Be Here,Deborah Cox,2,2,29,20
Lately,Divine,1,3,27,15
Doo Wop (That Thing),Lauryn Hill,1,4,21,18
From This Moment On,Shania Twain,4,4,14,14
Because Of You,98 Degrees,3,5,20,11
The First Night,Monica,1,7,23,7
How Deep Is Your Love,Dru Hill Featuring Redman,3,8,20,12
Iris,Goo Goo Dolls,9,9,14,14
Love Like This,Faith Evans,7,7,20,17
This Kiss,Faith Hill,7,11,48,11
Lullaby,Shawn Mullins,7,7,18,18
One Week,Barenaked Ladies,1,13,20,11
Save Tonight,Eagle-Eye Cherry,5,5,28,28
Have You Ever?,Brandy,1,1,22,22
Jumper,Third Eye Blind,5,5,20,20
Thank U,Alanis Morissette,17,17,11,11
...Baby One More Time,Britney Spears,1,1,32,30
Love Me,112 Featuring Mase,17,17,16,10
Trippin',Total Featuring Missy Elliott,7,7,20,16
Are You That Somebody?,Aaliyah,21,21,8,8
I'll Be,Edwin McCain,5,22,24,14
My Favorite Mistake,Sheryl Crow,20,20,10,10
Hands,Jewel,6,6,16,16
Slide,Goo Goo Dolls,8,8,35,35
Crush,Jennifer Paige,3,26,25,3
Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,19,19,37,28
Touch It,Monifah,9,27,26,9
Westside,TQ,12,29,16,7
The Power Of Good-Bye,Madonna,11,30,19,12
Inside Out,Eve 6,28,28,14,14
Too Close,Next,1,27,53,11
All The Places (I Will Kiss You),Aaron Hall,26,33,16,9
I Still Love You,Next,14,34,20,3
I'll Never Break Your Heart,Backstreet Boys,35,35,2,2
Hard Knock Life (Ghetto Anthem),Jay-Z,15,15,22,18
I Don't Want To Miss A Thing,Aerosmith,1,37,20,7
Real World,matchbox 20,38,38,2,2
Let Me Let Go,Faith Hill,33,33,10,10
It Must Be Love,Ty Herndon,38,38,10,10
Wide Open Spaces,Dixie Chicks,41,41,20,7
Come And Get With Me,Keith Sweat Featuring Snoop Dogg,12,42,15,9
A Little Past Little Rock,Lee Ann Womack,43,43,10,5
Pushin' Weight,Ice Cube Featuring Mr. Short Khop,26,26,19,14
Someone You Used To Know,Collin Raye,37,37,14,12
My Little Secret,Xscape,9,46,14,8
Torn,Natalie Imbruglia,42,42,2,2
Husbands And Wives,Brooks & Dunn,36,36,9,9
We Really Shouldn't Be Doing This,George Strait,44,44,5,5
You're Easy On The Eyes,Terri Clark,40,40,12,12
When You Believe,Whitney Houston & Mariah Carey,15,15,17,17
Fly Away,Lenny Kravitz,12,12,32,32
Right On The Money,Alan Jackson,43,43,12,12
Ghetto Cowboy,Mo Thugs Family Featuring Bone Thugs-N-Harmony,15,15,20,18
For You I Will,Aaron Tippin,49,49,20,12
These Are The Times,Dru Hill,21,21,21,21
Miami,Will Smith,17,17,21,21
You're Beginning To Get To Me,Clay Walker,39,39,13,13
Tearin' Up My Heart,*NSYNC,59,59,1,1
(God Must Have Spent) A Little More Time On You,*NSYNC,8,8,22,22
Wrong Again,Martina McBride,36,36,9,9
It's Your Song,Garth Brooks,62,62,5,5
Angel,Sarah McLachlan,4,4,28,28
You Get What You Give,New Radicals,36,36,20,20
There You Have It,BlackHawk,41,41,14,14
Sweetest Thing,U2,63,63,17,17
How Do You Sleep At Night,Wade Hayes,67,67,3,3
Changes,2Pac,32,32,19,19
Hooch,Everything,69,69,7,7
Take Me There,Blackstreet & Mya Featuring Mase & Blinky Blink,14,14,17,17
Home Alone,R. Kelly Featuring Keith Murray,65,65,16,16
Pretty Fly (For A White Guy),The Offspring,53,53,16,16
Don't Laugh At Me,Mark Wills,73,73,5,5
Angel Of Mine,Monica,1,1,30,30
Rosa Parks,OutKast,55,55,17,17
Movin' On,Mya Featuring Silkk the Shocker,34,76,20,3
Father Of Mine,Everclear,70,70,17,17
Angel In Disguise,Brandy,72,72,14,14
