song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Big Girls Don't Cry,The 4 Seasons,1,1,16,10
Return To Sender,Elvis Presley With The Jordanaires,2,2,16,10
Bobby's Girl,Marcie Blane,3,3,16,10
Limbo Rock,Chubby Checker,2,2,23,11
All Alone Am I,Brenda Lee,3,5,15,6
Don't Hang Up,The Orlons,4,4,15,8
The Lonely Bull (El Solo Torro),Herb Alpert And Tijuana Brass,6,6,14,9
Ride!,Dee Dee Sharp,5,5,13,7
He's A Rebel,The Crystals,1,9,18,6
Next Door To An Angel,Neil Sedaka,5,10,11,3
Gina,Johnny Mathis,6,11,12,2
The Cha-Cha-Cha,Bobby Rydell,10,12,11,4
Telstar,The Tornadoes,1,1,16,12
My Own True Love,The Duprees,13,13,10,4
Desafinado,Stan Getz / Charlie Byrd,15,15,16,7
Release Me,"Esther Phillips ""Little Esther""",8,8,14,9
Only Love Can Break A Heart,Gene Pitney,2,17,14,3
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,12,12,16,8
Keep Your Hands Off My Baby,Little Eva,12,12,12,8
Rumors,Johnny Crawford,12,12,10,6
Close To Cathy,Mike Clifford,12,21,13,2
Nothing Can Change This Love,Sam Cooke,12,22,11,2
Eso Beso (That Kiss!),Paul Anka,19,19,8,4
I Can't Help It (If I'm Still In Love With You),Johnny Tillotson,24,24,9,4
What Kind Of Fool Am I,Sammy Davis Jr.,17,25,15,2
Do You Love Me,The Contours,3,26,18,2
Love Came To Me,Dion,10,10,11,8
Wiggle Wobble,Les Cooper and the Soul Rockers,22,22,16,10
I've Got A Woman (Part I),Jimmy McGriff,20,29,9,2
Dear Lonely Hearts,Nat King Cole,13,13,11,8
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1,31,14,2
Mama Sang A Song,Stan Kenton,32,32,9,2
That Stranger Used To Be My Girl,Trade Martin,28,33,8,2
Chains,The Cookies,17,17,12,9
I Left My Heart In San Francisco,Tony Bennett,19,35,21,5
"Lovers By Night, Strangers By Day",The Fleetwoods,36,36,10,3
Let's Go (pony),The Routers,19,19,13,9
Mama Sang A Song,Walter Brennan,38,38,8,2
Léah,Roy Orbison,25,39,10,2
You Are My Sunshine,Ray Charles,7,7,12,10
Go Away Little Girl,Steve Lawrence,1,1,17,14
Hotel Happiness,Brook Benton,3,3,12,11
Popeye (The Hitchhiker),Chubby Checker,10,43,13,2
Zip-A-Dee Doo-Dah,Bob B. Soxx And The Blue Jeans,8,8,13,11
Ruby Ann,Marty Robbins,18,18,10,8
Stubborn Kind Of Fellow,Marvin Gaye,46,46,9,3
I Was Such A Fool (To Fall In Love With You),Connie Francis,24,47,9,1
Your Cheating Heart,Ray Charles,29,29,9,7
Mary Ann Regrets,Burl Ives,39,39,7,3
The Push And Kick,Mark Valentino,27,27,9,6
James (Hold The Ladder Steady),Sue Thompson,17,51,10,1
Surfin' Safari,The Beach Boys,14,52,17,1
Comin' Home Baby,Mel Torme,36,36,11,7
Love Me Tender,Richard Chamberlain,21,54,9,1
My Dad,Paul Petersen,6,6,16,14
Spanish Lace,Gene McDaniels,31,31,9,6
Don't Ask Me To Be Friends,The Everly Brothers,48,57,7,1
I'll Bring It Home To You,Carla Thomas,41,58,8,1
Workin' For The Man,Roy Orbison,33,59,11,1
You Threw A Lucky Punch,Gene Chandler,49,49,8,7
I Lost My Baby,Joey Dee,61,61,7,3
Torture,Kris Jensen,20,62,14,1
Diddle-Dee-Dum (What Happens When Your Love Has Gone),The Belmonts,53,53,6,4
Two Lovers,Mary Wells,7,7,13,13
Untie Me,The Tams,60,65,7,1
Stormy Monday Blues,Bobby Bland,43,66,13,1
That's Life (That's Tough),Gabriel And The Angels,51,51,11,8
If You Were A Rock And Roll Record,Freddy Cannon,67,67,5,2
Anna (Go To Him),Arthur Alexander,68,69,6,1
Up On The Roof,The Drifters,5,5,20,16
Next Door To The Blues,Etta James,71,71,7,1
Rainbow At Midnight,Jimmie Rodgers,62,62,7,6
Let's Kiss And Make Up,Bobby Vinton,38,38,9,9
Baby Has Gone Bye Bye,George Maharis,62,62,5,3
A Little Bit Now (A Little Bit Later),The Majors,63,63,6,4
Shutters And Boards,Jerry Wallace,24,24,12,10
Ten Little Indians,The Beach Boys,49,49,8,8
Coney Island Baby,The Excellents,51,51,9,8
Mr. Lonely,Buddy Greco,64,79,11,1
Don't Go Near The Eskimos,Ben Colder,62,62,6,5
Tell Him,The Exciters,4,4,13,13
I May Not Live To See Tomorrow,Brian Hyland,69,69,7,6
Road Hog,John D. Loudermilk,65,65,4,4
The Love Of A Boy,Timi Yuro,44,44,8,8
The Jitterbug,The Dovells,82,82,3,2
See See Rider,LaVern Baker,34,34,11,11
Heart Breaker,Dean Christie,87,87,4,1
Getting Ready For The Heartbreak,Chuck Jackson,88,88,4,2
I'm So Lonesome I Could Cry,Johnny Tillotson,89,89,1,1
Somebody Have Mercy,Sam Cooke,70,90,6,1
Strange I Know,The Marvelettes,49,49,14,14
Gonna Raise A Rukus Tonight,Jimmy Dean,73,73,6,6
This Land Is Your Land,The New Christy Minstrels,93,93,1,1
Everybody Loves A Lover,The Shirelles,19,19,12,12
Me And My Shadow,Frank Sinatra & Sammy Davis Jr.,64,64,6,6
Echo,The Emotions,76,76,6,6
This Land Is Your Land,Ketty Lester,97,97,1,1
You're A Sweetheart,Dinah Washington,98,98,2,1
"From The Bottom Of My Heart (Dammi, Dammi, Dammi)",Dean Martin,91,91,6,6
Limelight,Mr. Acker Bilk,92,92,3,3
The Little Drummer Boy,The Harry Simeone Chorale,13,28,28,4
The Night Has A Thousand Eyes,Bobby Vee,3,3,14,14
Pepino The Italian Mouse,Lou Monte,5,5,10,10
I Saw Linda Yesterday,Dickey Lee,14,14,12,12
Trouble Is My Middle Name,Bobby Vinton,33,33,9,9
Don't Make Me Over,Dionne Warwick,21,21,12,12
Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers",30,30,6,6
My Wife Can't Cook,Lonnie Russ,57,57,8,8
Desafinado (Slightly Out Of Tune),Pat Thomas,78,78,2,2
The Ballad Of Jed Clampett,Flatt & Scruggs,44,44,11,11
You've Really Got A Hold On Me,The Miracles,8,8,16,16
Some Kinda Fun,Chris Montez,43,43,9,9
Still Waters Run Deep,Brook Benton,89,89,1,1
Let Me Go The Right Way,The Supremes,90,90,6,6
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,39,40,15,4
Cast Your Fate To The Wind,Vince Guaraldi Trio,22,22,18,18
Twilight Time,Andy Williams,86,86,3,3
Three Hearts In A Tangle,James Brown And The Famous Flames,93,93,3,3
Zero-Zero,Lawrence Welk,98,98,1,1
Jingle Bell Rock,Bobby Helms,35,56,15,4
Night Time,Pete Antell,100,100,1,1
Santa Claus Is Coming To Town,The 4 Seasons,23,23,3,3
It's Up To You,Rick Nelson,6,6,12,12
White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,12,38,13,3
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",65,65,5,3
Santa Claus Is Watching You,Ray Stevens,45,45,3,3
I'm Gonna' Be Warm This Winter,Connie Francis,18,18,11,11
You're Gonna Need Me,Barbara Lynn,65,65,6,6
Half Heaven - Half Heartache,Gene Pitney,12,12,12,12
She's A Troublemaker,The Majors,83,83,3,2
Rockin' Around The Christmas Tree,Brenda Lee,14,59,11,3
I Found A New Baby,Bobby Darin,90,90,1,1
Trouble In Mind,Aretha Franklin,86,86,5,5
Remember Then,The Earls,24,24,9,9
Let Me Entertain You,Ray Anthony,96,96,2,2
Jingle Bell Rock,Bobby Rydell/Chubby Checker,21,92,7,2
Big Boat,"Peter, Paul & Mary",93,93,2,2
Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,21,77,8,3
Theme From Taras Bulba (The Wishing Star),Jerry Butler,100,100,1,1
Loop De Loop,Johnny Thunder,4,4,11,11
Lovesick Blues,Frank Ifield,44,44,7,7
Shake Sherry,The Contours,43,43,9,9
Alvin's Harmonica,David Seville And The Chipmunks,3,87,15,1
White Christmas,The Drifters Featuring Clyde McPhatter And Bill Pinkney,88,88,2,1
My Coloring Book,Kitty Kallen,18,18,10,10
Jellybread,Booker T. & The MG's,82,82,5,5
Sam's Song,Dean Martin & Sammy Davis Jr.,94,94,3,3
Molly,Bobby Goldsboro,70,70,7,7
Little Town Flirt,Del Shannon,12,12,14,14
Does He Mean That Much To You?,Eddy Arnold,98,98,1,1
The (Bossa Nova) Bird,The Dells,97,97,3,3
I Need You,Rick Nelson,83,83,4,4
The Cinnamon Cinder (It's A Very Nice Dance),The Pastel Six,25,25,10,10
My Coloring Book,Sandy Stewart,20,20,10,10
From A Jack To A King,Ned Miller,6,6,13,13
Wild Weekend,The Rebels,8,8,17,17
Java,Floyd Cramer,49,49,11,11
Little Tin Soldier,The Toy Dolls,84,84,4,4
Shake Me I Rattle (Squeeze Me I Cry),Marion Worth,42,42,8,8
Fly Me To The Moon - Bossa Nova,Joe Harnell And His Orchestra,14,14,13,13
"The 2,000 Pound Bee (Part 2)",The Ventures,91,91,4,4
He's Sure The Boy I Love,The Crystals,11,11,12,12
Lover Come Back To Me,The Cleftones,95,95,1,1
Hey Paula,Paul and Paula,1,1,15,15
What To Do With Laurie,Mike Clifford,68,68,7,7
"Silent Night, Holy Night",Mahalia Jackson,99,99,1,1
The Popeye Waddle,Don Covay,75,75,7,7
Walk Right In,The Rooftop Singers,1,1,13,13
I'm A Woman,Peggy Lee,54,54,9,9
Call On Me,Bobby Bland,22,22,12,12
All About My Girl,Jimmy McGriff,50,50,11,11
Bossa Nova U.S.A.,The Dave Brubeck Quartet,69,69,7,7
Darkest Street In Town,Jimmy Clanton,77,77,4,4
Proud,Johnny Crawford,29,29,8,8
Red Pepper I,Roosevelt Fountain And Pens Of Rhythm,78,78,3,3
Al Di La,Connie Francis,90,90,5,5
The Gypsy Cried,Lou Christie,24,24,13,13
Every Day I Have To Cry,Steve Alaimo,46,46,10,10
I Will Live My Life For You,Tony Bennett,85,85,8,8
Mama Didn't Lie,Jan Bradley,14,14,14,14
How Much Is That Doggie In The Window,Baby Jane & The Rockabyes,69,69,7,7
Chicken Feed,Bent Fabric and His Piano,63,63,8,8
Would It Make Any Difference To You,Etta James,64,64,7,7
Rhythm Of The Rain,The Cascades,3,3,16,16
"Puddin N' Tain (Ask Me Again, I'll Tell You The Same)",The Alley Cats,43,43,7,7
Willie Can,Sue Thompson,78,78,5,5
I Wanna Be Around,Tony Bennett,14,14,16,16
Look At Me,Dobie Gray,91,91,2,2
Someone Somewhere,Junior Parker,95,95,1,1
Hitch Hike,Marvin Gaye,30,30,12,12
Slop Time,The Sherrys,97,97,1,1
Walk Right In,The Moments,82,82,5,5
Love (Makes the World Go 'round),Paul Anka,26,26,8,8
Ruby Baby,Dion,2,2,13,13
Settle Down (Goin' Down That Highway),"Peter, Paul & Mary",56,56,6,6
That's The Way Love Is,Bobby Bland,33,33,10,10
Blame It On The Bossa Nova,Eydie Gorme,7,7,15,15
You're The Reason I'm Living,Bobby Darin,3,3,14,14
Who Stole The Keeshka?,The Matys Bros.,55,55,9,9
Oo-La-La-Limbo,Danny & The Juniors,99,99,2,2
The Lone Teen Ranger,Jerry Landis,97,97,3,3
Walk Like A Man,The 4 Seasons,1,1,13,13
Send Me Some Lovin',Sam Cooke,13,13,9,9
She'll Never Know,Brenda Lee,47,47,6,6
Your Used To Be,Brenda Lee,32,32,7,7
What Will My Mary Say,Johnny Mathis,9,9,12,12
Days Of Wine And Roses,Henry Mancini And His Orchestra,33,33,18,18
The End Of The World,Skeeter Davis,2,2,17,17
Big Wide World,Teddy Randazzo,51,51,8,8
Leavin' On Your Mind,Patsy Cline,83,83,5,5
The Same Old Hurt,Burl Ives,91,91,2,2
As Long As She Needs Me,Sammy Davis Jr.,59,59,9,9
Greenback Dollar,The Kingston Trio,21,21,11,11
I'd Rather Be Here In Your Arms,The Duprees,91,91,4,4
Meditation (Meditacao),Charlie Byrd,66,66,9,9
Only You (And You Alone),Mr. Acker Bilk,77,77,3,3
Let's Turkey Trot,Little Eva,20,20,10,10
Tell Him I'm Not Home,Chuck Jackson,42,42,10,10
Alice In Wonderland,Neil Sedaka,17,17,10,10
Our Winter Love,Bill Pursell,9,9,14,14
Ain't Gonna Kiss Ya,The Ribbons,81,81,4,4
M.G. Blues,Jimmy McGriff,95,95,3,3
"Baby, Baby, Baby",Sam Cooke,66,66,7,7
Love For Sale,Arthur Lyman Group,43,43,11,11
Theme From Lawrence Of Arabia,Ferrante & Teicher,84,84,12,12
I Really Don't Want To Know,Little Esther Phillips,61,61,5,5
Butterfly Baby,Bobby Rydell,23,23,9,9
Our Day Will Come,Ruby And The Romantics,1,1,13,13
I'm The One Who Loves You,The Impressions,73,73,6,6
