song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Empire State Of Mind,Jay-Z + Alicia Keys,1,1,30,20
Bad Romance,Lady Gaga,2,2,34,31
Fireflies,Owl City,1,3,31,18
Whatcha Say,Jason Derulo,1,4,32,18
TiK ToK,Ke$ha,1,1,38,32
Replay,Iyaz,2,2,34,21
Sexy Chick,David Guetta Featuring Akon,5,5,40,25
Paparazzi,Lady Gaga,6,8,27,15
3,Britney Spears,1,9,20,14
Down,Jay Sean Featuring Lil Wayne,1,7,40,20
Party In The U.S.A.,Miley Cyrus,2,8,28,14
Meet Me Halfway,The Black Eyed Peas,7,7,24,15
Sweet Dreams,Beyonce,10,12,29,12
Need You Now,Lady Antebellum,2,2,60,46
You Belong With Me,Taylor Swift,2,15,50,20
Already Gone,Kelly Clarkson,13,13,31,15
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,14,24,15
I Gotta Feeling,The Black Eyed Peas,1,9,56,33
Russian Roulette,Rihanna,9,19,14,10
Run This Town,"Jay-Z, Rihanna & Kanye West",2,20,23,7
Use Somebody,Kings of Leon,4,21,57,15
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,20,20,19,13
Cowboy Casanova,Carrie Underwood,11,23,20,11
One Time,Justin Bieber,17,17,25,8
Half Of My Heart,John Mayer,25,25,20,20
Fifteen,Taylor Swift,23,23,21,10
Evacuate The Dancefloor,Cascada,25,25,26,12
Fallin' For You,Colbie Caillat,12,28,31,11
Baby By Me,50 Cent Featuring Ne-Yo,28,29,13,10
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,10,10,20,18
Happy,Leona Lewis,31,31,9,3
Money To Blow,Birdman Featuring Lil Wayne & Drake,26,26,20,14
Toes,Zac Brown Band,25,33,20,3
Do I,Luke Bryan,34,34,20,9
Body Language,Jesse McCartney Featuring T-Pain,35,35,15,8
Papers,Usher,31,36,16,11
I'm Alive,Kenny Chesney With Dave Matthews,32,37,16,3
Obsessed,Mariah Carey,7,38,21,2
Consider Me Gone,Reba,38,38,19,12
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,18,18,21,17
Live Like We're Dying,Kris Allen,18,18,29,26
White Liar,Miranda Lambert,38,42,20,15
Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,18,43,20,3
Tie Me Down,New Boyz Featuring Ray J,22,22,26,21
"Hey, Soul Sister",Train,3,3,54,47
Break Up,Mario Featuring Gucci Mane & Sean Garrett,14,46,23,1
Hotel Room Service,Pitbull,8,47,23,1
If You Only Knew,Shinedown,42,42,20,17
Wasted,Gucci Mane Featuring Plies Or OJ da Juiceman,36,49,19,8
Lean On Me,Glee Cast,50,50,1,1
Gangsta Luv,Snoop Dogg Featuring The-Dream,35,35,19,15
Southern Voice,Tim McGraw,49,49,18,14
All The Right Moves,OneRepublic,18,18,34,28
Uprising,Muse,37,51,20,10
Who Says,John Mayer,17,55,8,3
Funhouse,P!nk,44,56,13,5
