song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1,1,15,9
Babe,Styx,1,1,19,11
Still,Commodores,1,2,20,11
Please Don't Go,KC And The Sunshine Band,1,1,26,12
Heartache Tonight,Eagles,1,5,15,7
Escape (The Pina Colada Song),Rupert Holmes,1,1,21,15
Send One Your Love,Stevie Wonder,4,4,18,14
Dim All The Lights,Donna Summer,2,8,21,7
Ships,Barry Manilow,9,9,14,7
Pop Muzik,M,1,10,24,8
You're Only Lonely,J.D. Souther,7,7,21,9
Broken Hearted Me,Anne Murray,12,12,17,7
Take The Long Way Home,Supertramp,10,10,15,8
Do That To Me One More Time,Captain & Tennille,1,1,27,21
Ladies Night,Kool & The Gang,8,8,24,16
Tusk,Fleetwood Mac,8,16,15,7
If You Remember Me,Chris Thompson & Night,17,17,19,5
Cool Change,Little River Band,10,10,18,12
You Decorated My Life,Kenny Rogers,7,19,18,6
We Don't Talk Anymore,Cliff Richard,7,7,20,14
Half The Way,Crystal Gayle,15,15,16,7
Better Love Next Time,Dr. Hook,12,12,19,12
Head Games,Foreigner,14,14,14,11
Please Don't Leave,Lauren Wood,24,24,15,5
I Want You Tonight,Pablo Cruise,19,19,16,9
Rainbow Connection,Kermit (Jim Henson),25,26,17,6
Dreaming,Blondie,27,27,14,5
Cruisin',Smokey Robinson,4,4,25,17
Rock With You,Michael Jackson,1,1,24,20
Jane,Jefferson Starship,14,14,15,11
I Need A Lover,John Cougar,28,28,14,7
Rise,Herb Alpert,1,32,25,7
Good Girls Don't,The Knack,11,33,16,3
Damned If I Do,The Alan Parsons Project,27,27,17,8
This Is It,Kenny Loggins,11,11,23,17
Coward Of The County,Kenny Rogers,3,3,19,17
If You Want It,Niteflyte,37,37,13,2
Love Pains,Yvonne Elliman,34,34,13,6
Pretty Girls,Melissa Manchester,39,39,10,3
Wait For Me,Daryl Hall  John Oates,18,18,19,14
Don't Let Go,Isaac Hayes,18,18,21,16
This Night Won't Last Forever,Michael Johnson,19,42,20,3
Get It Up,Ronnie Milsap,43,43,11,3
Video Killed The Radio Star,The Buggles,40,40,10,7
Third Time Lucky (First Time I Was A Fool),Foghat,23,23,15,13
Chiquitita,ABBA,29,29,12,9
I Still Have Dreams,Richie Furay,39,39,11,6
Highway To Hell,AC/DC,47,47,10,3
"Train, Train",Blackfoot,38,38,14,8
What Can I Do With This Broken Heart,England Dan & John Ford Coley,50,50,6,1
Peter Piper,Frank Mills,48,48,9,5
No Chance,Moon Martin,50,50,7,3
