song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
You Light Up My Life,Debby Boone,1,1,25,12
Don't It Make My Brown Eyes Blue,Crystal Gayle,2,2,26,10
How Deep Is Your Love,Bee Gees,1,1,33,23
"Baby, What A Big Surprise",Chicago,4,4,17,7
Blue Bayou,Linda Ronstadt,3,3,23,11
Heaven On The 7th Floor,Paul Nicholas,6,6,23,8
We're All Alone,Rita Coolidge,7,7,20,9
Boogie Nights,Heatwave,2,8,27,8
It's So Easy,Linda Ronstadt,5,5,18,10
(Every Time I Turn Around) Back In Love Again,LTD,4,4,19,12
You Make Loving Fun,Fleetwood Mac,9,9,14,7
We Just Disagree,Dave Mason,12,12,19,6
Baby Come Back,Player,1,1,32,23
It's Ecstasy When You Lay Down Next To Me,Barry White,4,14,22,7
Here You Come Again,Dolly Parton,3,3,19,12
Sentimental Lady,Bob Welch,8,8,18,11
Slip Slidin' Away,Paul Simon,5,5,20,13
Isn't It Time,The Babys,13,13,16,8
Send In The Clowns,Judy Collins,19,19,27,6
You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,12,12,22,11
Come Sail Away,Styx,8,8,22,12
Swingtown,The Steve Miller Band,17,17,15,8
Your Smiling Face,James Taylor,20,20,17,8
Gone Too Far,England Dan & John Ford Coley,23,23,14,5
I Go Crazy,Paul Davis,7,7,40,26
Nobody Does It Better,Carly Simon,2,26,25,6
Help Is On Its Way,Little River Band,14,27,22,5
I Feel Love,Donna Summer,6,28,23,6
She's Not There,Santana,27,27,14,6
You're In My Heart (The Final Acclaim),Rod Stewart,4,4,22,17
We Are The Champions,Queen,4,4,27,21
Hey Deanie,Shaun Cassidy,7,7,16,13
The Way I Feel Tonight,Bay City Rollers,24,24,17,10
Dusic,Brick,18,34,18,5
Serpentine Fire,"Earth, Wind & Fire",13,13,18,13
Runaround Sue,Leif Garrett,13,13,14,11
Just Remember I Love You,Firefall,11,37,21,5
My Way,Elvis Presley,22,22,12,9
Gettin' Ready For Love,Diana Ross,27,27,13,9
As,Stevie Wonder,36,36,14,10
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,6,6,28,23
Draw The Line,Aerosmith,42,42,11,5
(Love Is) Thicker Than Water,Andy Gibb,1,1,29,25
Point Of Know Return,Kansas,28,28,14,11
Don't Ask My Neighbors,The Emotions,44,44,13,8
Turn To Stone,Electric Light Orchestra,13,13,15,13
Just The Way You Are,Billy Joel,3,3,27,24
I Honestly Love You,Olivia Newton-John,1,48,24,5
Native New Yorker,Odyssey,21,21,19,16
Don't Let Me Be Misunderstood,Santa Esmeralda Starring Leroy Gomez,15,15,19,15
