song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Only Girl (In The World),Rihanna,1,1,27,17
Raise Your Glass,P!nk,1,1,30,24
Like A G6,Far*East Movement Featuring Cataracs & Dev,1,3,26,12
We R Who We R,Ke$ha,1,3,20,17
Just A Dream,Nelly,3,5,28,15
Firework,Katy Perry,1,1,39,35
Just The Way You Are,Bruno Mars,1,4,48,31
What's My Name?,Rihanna Featuring Drake,1,2,22,18
F**k You! (Forget You),CeeLo Green,2,2,48,36
Bottoms Up,Trey Songz Featuring Nicki Minaj,6,8,26,12
Forget You,Glee Cast Featuring Gwyneth Paltrow,11,11,5,5
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,4,12,34,16
The Time (Dirty Bit),The Black Eyed Peas,4,4,20,19
Dynamite,Taio Cruz,2,11,47,23
Teenage Dream,Katy Perry,1,14,33,16
Animal,Neon Trees,13,15,36,12
Grenade,Bruno Mars,1,1,36,29
Singing In The Rain / Umbrella,Glee Cast Featuring Gwyneth Paltrow,18,18,3,3
Club Can't Handle Me,Flo Rida Featuring David Guetta,9,19,29,9
Please Don't Go,Mike Posner,16,16,20,12
I Like It,Enrique Iglesias Featuring Pitbull,4,20,38,11
Whip My Hair,Willow,11,22,18,14
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,13,13,32,22
Secrets,OneRepublic,21,24,33,12
Black And Yellow,Wiz Khalifa,1,1,25,19
Stuck Like Glue,Sugarland,17,26,24,8
If I Die Young,The Band Perry,14,14,51,32
Deuces,Chris Brown Featuring Tyga & Kevin McCall,14,28,27,7
Right Above It,Lil Wayne Featuring Drake,6,25,24,11
Love The Way You Lie,Eminem Featuring Rihanna,1,30,29,8
Love Like Woe,The Ready Set,27,27,21,7
Right Thru Me,Nicki Minaj,26,26,19,12
Mine,Taylor Swift,3,31,23,8
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,32,34,20,6
Stereo Love,Edward Maya & Vika Jigulina,16,16,28,22
Teenage Dream,Glee Cast,8,36,3,2
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,30,30,20,13
No Love,Eminem Featuring Lil Wayne,23,29,20,9
We No Speak Americano,Yolanda Be Cool & Dcup,29,39,20,11
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,7,7,31,24
King Of Anything,Sara Bareilles,32,41,22,1
Felt Good On My Lips,Tim McGraw,26,32,20,18
Can't Be Friends,Trey Songz,43,43,20,11
Yeah 3X,Chris Brown,15,15,24,21
My Kinda Party,Jason Aldean,39,39,20,8
Somewhere With You,Kenny Chesney,31,31,20,18
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,36,47,20,5
Anything Like Me,Brad Paisley,48,48,19,8
Kush,Dr. Dre Featuring Snoop Dogg & Akon,34,34,17,17
Runaway,Kanye West Featuring Pusha T,12,42,13,7
Memories,David Guetta Featuring Kid Cudi,46,46,18,12
Why Wait,Rascal Flatts,48,52,20,7
S&M,Rihanna Featuring Britney Spears,1,1,26,26
Shake,Jesse McCartney,54,54,12,6
Take It Off,Ke$ha,8,55,20,2
September,Daughtry,36,56,20,5
Check It Out,will.i.am & Nicki Minaj,24,57,15,5
Mama's Song,Carrie Underwood,56,56,19,11
Hot Tottie,Usher Featuring Jay-Z,21,59,16,2
