song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Broken Wings,Mr. Mister,1,1,22,11
Separate Lives,Phil Collins and Marilyn Martin,1,2,21,12
We Built This City,Starship,1,3,24,11
Never,Heart,4,4,24,12
"Say You, Say Me",Lionel Richie,1,1,20,16
You Belong To The City,Glenn Frey,2,6,21,9
Election Day,Arcadia,6,6,16,10
Who's Zoomin' Who,Aretha Franklin,7,8,19,9
Party All The Time,Eddie Murphy,2,2,22,13
Sleeping Bag,ZZ Top,8,8,17,10
Alive & Kicking,Simple Minds,3,3,20,13
Lay Your Hands On Me,Thompson Twins,6,12,20,9
I Miss You,Klymaxx,5,5,29,17
Small Town,John Mellencamp,6,6,18,13
Perfect Way,Scritti Politti,11,11,25,12
That's What Friends Are For,"Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder",1,1,23,19
Tonight She Comes,The Cars,7,7,17,12
Sisters Are Doin' It For Themselves,Eurythmics & Aretha Franklin,18,18,15,8
Walk Of Life,Dire Straits,7,7,21,16
Wrap Her Up,Elton John,20,20,14,8
Emergency,Kool & The Gang,18,18,16,10
Miami Vice Theme,Jan Hammer,1,22,22,9
Talk To Me,Stevie Nicks,4,4,18,15
You Are My Lady,Freddie Jackson,12,24,20,7
Part-Time Lover,Stevie Wonder,1,25,21,8
One Of The Living,Tina Turner,15,26,18,9
Burning Heart,Survivor,2,2,22,17
Object Of My Desire,Starpoint,25,25,24,14
Be Near Me,ABC,9,29,22,7
Head Over Heels,Tears for Fears,3,30,20,8
Love Is The Seventh Wave,Sting,17,17,13,9
Conga,Miami Sound Machine,10,10,27,20
You're A Friend Of Mine,Clarence Clemons & Jackson Browne,18,18,19,13
Soul Kiss,Olivia Newton-John,20,34,15,6
Do It For Love,Sheena Easton,29,29,14,8
Love Theme From St. Elmo's Fire (Instrumental),David Foster,15,36,22,7
It's Only Love,Bryan Adams/Tina Turner,15,15,14,12
Everybody Dance,Ta Mara & The Seen,24,24,21,13
Sun City,Artists United Against Apartheid,38,38,13,8
Goodbye,Night Ranger,17,17,18,14
Spies Like Us,Paul McCartney,7,7,17,15
To Live And Die In L.A.,Wang Chung,41,41,18,10
Running Up That Hill (A Deal With God),Kate Bush,30,43,20,7
Go Home,Stevie Wonder,10,10,17,15
I'm Your Man,Wham!,3,3,18,17
Sex As A Weapon,Pat Benatar,28,28,13,11
Face The Face,Pete Townshend,26,26,16,12
Sidewalk Talk,Jellybean Featuring Catherine Buchanan,18,18,18,15
Take On Me,a-ha,1,49,27,6
"When The Going Gets Tough, The Tough Get Going",Billy Ocean,2,2,23,22
Saving All My Love For You,Whitney Houston,1,51,22,6
Too Young,Jack Wagner,52,52,14,8
Count Me Out,New Edition,51,51,15,10
Everything In My Heart,Corey Hart,30,30,15,14
My Hometown,Bruce Springsteen,6,6,15,15
Tears Are Falling,Kiss,51,56,13,6
One Night Love Affair,Bryan Adams,13,57,15,3
"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,13,13,26,19
Freedom,The Pointer Sisters,59,59,11,6
How Will I Know,Whitney Houston,1,1,23,23
The Big Money,Rush,45,45,14,10
A Love Bizarre,Sheila E.,11,11,23,20
Everyday,James Taylor,61,61,11,7
Small Town Girl,John Cafferty & The Beaver Brown Band,64,64,10,6
Girls Are More Fun,Ray Parker Jr.,34,65,15,6
Oh Sheila,Ready For The World,1,66,21,3
Dangerous,Loverboy,65,65,9,6
The Sun Always Shines on T.V.,a-ha,20,20,17,16
The Sweetest Taboo,Sade,5,5,22,20
And We Danced,Hooters,21,70,20,3
So In Love,Orchestral Manoeuvres In The Dark,26,71,17,3
Lovin' Every Minute Of It,Loverboy,9,72,21,6
Can You Feel The Beat,Lisa Lisa And Cult Jam With Full Force,69,69,20,17
Everything Must Change,Paul Young,56,56,11,9
Fortress Around Your Heart,Sting,8,75,20,5
Life In A Northern Town,The Dream Academy,7,7,21,20
Leader Of The Pack,Twisted Sister,53,53,10,9
Morning Desire,Kenny Rogers,72,72,9,7
Money For Nothing,Dire Straits,1,79,22,1
The Oak Tree,Morris Day,65,80,12,2
This Time,INXS,81,81,6,3
Discipline Of Love,Robert Palmer,82,82,5,2
Lonely Ol' Night,John Mellencamp,6,83,20,5
Cherish,Kool & The Gang,2,84,25,3
Silent Running (On Dangerous Ground),Mike + The Mechanics,6,6,24,22
Go,Asia,46,46,11,11
And She Was,Talking Heads,54,87,20,7
One Vision,Queen,61,61,10,10
I'm Gonna Tear Your Playhouse Down,Paul Young,13,89,14,1
I Knew The Bride (When She Use To Rock And Roll),Nick Lowe And His Cowboy Outfit,77,77,9,8
Living In America,James Brown,4,4,19,19
Digital Display,Ready For The World,21,21,18,18
The Heart Is Not So Smart,El DeBarge With DeBarge,75,75,7,7
Sounds Of Your Voice,Jon Butcher Axis,94,94,3,2
Chain Reaction,Diana Ross,66,66,11,10
Caravan Of Love,"Isley, Jasper, Isley",51,51,14,14
Don't Say No Tonight,Eugene Wilde,76,76,10,10
The Night Is Still Young,Billy Joel,34,98,10,1
After The Fire,Roger Daltrey,48,99,13,1
Hurts To Be In Love,Gino Vannelli,57,100,12,1
Day By Day,Hooters,18,18,18,18
Somewhere,Barbra Streisand,43,43,14,14
Secret,Orchestral Manoeuvres In The Dark,63,63,13,13
Beat's So Lonely,Charlie Sexton,17,17,20,20
He'll Never Love You (Like I Do),Freddie Jackson,25,25,15,15
Kyrie,Mr. Mister,1,1,20,20
Stacy,Fortune,80,80,6,6
Baby Talk,Alisha,68,68,17,17
Own The Night,Chaka Khan,57,57,9,9
Sara,Starship,1,1,20,20
Secret Lovers,Atlantic Starr,3,3,23,23
Let's Go All The Way,Sly Fox,7,7,25,25
Good Friends,Joni Mitchell,85,85,3,3
Let Me Down Easy,Roger Daltrey,86,86,4,4
Strength,The Alarm,61,61,10,10
Your Personal Touch,"Evelyn ""Champagne"" King",86,86,4,4
The Super Bowl Shuffle,The Chicago Bears Shufflin' Crew,41,41,9,9
King For A Day,Thompson Twins,8,8,16,16
These Dreams,Heart,1,1,20,20
Russians,Sting,16,16,13,13
Stages,ZZ Top,21,21,12,12
Nikita,Elton John,7,7,18,18
Another Night,Aretha Franklin,22,22,14,14
(How To Be A) Millionaire,ABC,20,20,14,14
Night Moves,Marilyn Martin,28,28,18,18
This Could Be The Night,Loverboy,10,10,18,18
What You Need,INXS,5,5,20,20
Sanctify Yourself,Simple Minds,14,14,14,14
No Easy Way Out,Robert Tepper,22,22,16,16
Bop,Dan Seals,42,42,15,15
Manic Monday,The Bangles,2,2,20,20
Live Is Life,Opus,32,32,16,16
Pleasure And Pain,Divinyls,76,76,7,7
Just Another Day,Oingo Boingo,85,85,4,4
Do Me Baby,Meli'sa Morgan,46,46,14,14
Prove Me Wrong,David Pack,95,95,3,3
R.O.C.K. In The U.S.A. (A Salute to 60's Rock),John Mellencamp,2,2,17,17
Goodbye Is Forever,Arcadia,33,33,10,10
Needles And Pins,Tom Petty & The Heartbreakers With Stevie Nicks,37,37,9,9
I'm Not The One,The Cars,32,32,11,11
Tender Love,Force M.D.'s,10,10,19,19
Calling America,Electric Light Orchestra,18,18,15,15
I'd Do It All Again,Sam Harris,52,52,9,9
Lying,Peter Frampton,74,74,8,8
Life's What You Make It,Talk Talk,90,90,4,4
Rock Me Amadeus,Falco,1,1,17,17
Addicted To Love,Robert Palmer,1,1,22,22
I Like You,Phyllis Nelson,61,61,11,11
No Frills Love,Jennifer Holliday,87,87,3,3
The Power Of Love,Jennifer Rush,57,57,13,13
Jimmy Mack,Sheena Easton,65,65,6,6
Let Me Be The One,Five Star,59,59,9,9
I Need You,Maurice White,95,95,1,1
Wood Beez (Pray Like Aretha Franklin),Scritti Politti,91,91,4,4
Le Bel Age (The Best Years),Pat Benatar,54,54,8,8
Something About You,Level 42,7,7,27,27
Stereotomy,The Alan Parsons Project,82,82,4,4
It's All Right (Baby's Coming Back),Eurythmics,78,78,6,6
All The Kings Horses,The Firm,61,61,8,8
Your Love,The Outfield,6,6,22,22
Saturday Love,Cherrelle With Alexander O'Neal,26,26,17,17
One Sunny Day (From Quicksilver),"Ray Parker,Jr. & Helen Terry",96,96,3,3
The Men All Pause,Klymaxx,80,80,8,8
In Between Days,The Cure,99,99,1,1
Kiss,Prince And The Revolution,1,1,18,18
I Can't Wait,Stevie Nicks,16,16,13,13
I Think It's Love,Jermaine Jackson,16,16,15,15
Overjoyed,Stevie Wonder,24,24,13,13
In My Dreams,Dokken,77,77,7,7
A Little Bit Of Love (Is All It Takes),New Edition,38,38,15,15
What Have You Done For Me Lately,Janet Jackson,4,4,21,21
So Far Away,Dire Straits,19,19,14,14
West End Girls,Pet Shop Boys,1,1,20,20
For America,Jackson Browne,30,30,12,12
Heart's On Fire,John Cafferty,76,76,6,6
I Found Someone,Laura Branigan,90,90,6,6
Twist My Arm,The Pointer Sisters,83,83,5,5
Now And Forever (You And Me),Anne Murray,92,92,6,6
Where Are You Now?,Jimmy Harnen With Synch,77,77,12,12
I Do What I Do... (Theme For 9 1/2 Weeks),John Taylor,23,23,12,12
Bad Boy,Miami Sound Machine,8,8,19,19
If You Leave,Orchestral Manoeuvres In The Dark,4,4,20,20
Feel It Again,Honeymoon Suite,34,34,16,16
Great Gosh A'mighty (Down & Out In Bev. Hills Theme),Little Richard,42,42,10,10
I Can't Wait,Nu Shooz,3,3,23,23
Shelter Me,Joe Cocker,91,91,4,4
I Engineer,Animotion,76,76,6,6
Harlem Shuffle,The Rolling Stones,5,5,13,13
Why Can't This Be Love,Van Halen,3,3,16,16
American Storm,Bob Seger,13,13,14,14
Take Me Home,Phil Collins,7,7,16,16
Whisper In The Dark,Dionne Warwick,72,72,9,9
A Good Heart,Feargal Sharkey,74,74,6,6
Call Me,Dennis DeYoung,54,54,11,11
Right Between The Eyes,Wax,43,43,13,13
Stick Around,Julian Lennon,32,32,13,13
All I Need Is A Miracle,Mike + The Mechanics,5,5,19,19
Restless,Starpoint,46,46,12,12
On My Own,Patti LaBelle & Michael McDonald,1,1,23,23
Your Smile,Rene & Angela,62,62,6,6
Working Class Man,Jimmy Barnes,74,74,8,8
Shot In The Dark,Ozzy Osbourne,68,68,9,9
Greatest Love Of All,Whitney Houston,1,1,18,18
Is It Love,Mr. Mister,8,8,17,17
Rough Boy,ZZ Top,22,22,13,13
Never As Good As The First Time,Sade,20,20,12,12
Absolute Beginners,David Bowie,53,53,9,9
Love And Rock And Roll,Greg Kihn,92,92,5,5
Move Away,Culture Club,12,12,14,14
Tomorrow Doesn't Matter Tonight,Starship,26,26,13,13
Where Do The Children Go,Hooters,38,38,12,12
All The Things She Said,Simple Minds,28,28,13,13
Is That It?,Katrina And The Waves,70,70,8,8
Holding Back The Years,Simply Red,1,1,23,23
Johnny Come Home,Fine Young Cannibals,76,76,5,5
I Wanna Be A Cowboy,Boys Don't Cry,12,12,19,19
Live To Tell,Madonna,1,1,18,18
Be Good To Yourself,Journey,9,9,15,15
Mothers Talk,Tears for Fears,27,27,12,12
No One Is To Blame,Howard Jones,4,4,23,23
Crush On You,The Jets,3,3,20,20
Hands Across America,Voices Of America,65,65,8,8
Somebody Somewhere,Platinum Blonde,82,82,5,5
Pretty In Pink,Psychedelic Furs,41,41,11,11
Living In The Background,Baltimora,87,87,4,4
Mutual Surrender (What A Wonderful World),Bourgeois Tagg,62,62,10,10
If You Were A Woman (And I Was A Man),Bonnie Tyler,77,77,6,6
There'll Be Sad Songs (To Make You Cry),Billy Ocean,1,1,21,21
Nothin' At All,Heart,10,10,16,16
Under The Influence,Vanity,56,56,7,7
The Love Parade,The Dream Academy,36,36,11,11
Once In A Lifetime,Talking Heads,91,91,4,4
Tuff Enuff,The Fabulous Thunderbirds,10,10,19,19
Your Wildest Dreams,The Moody Blues,9,9,21,21
