song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Daydream Believer,The Monkees,1,1,12,10
"The Rain, The Park & Other Things",The Cowsills,2,2,16,7
Incense And Peppermints,Strawberry Alarm Clock,1,3,16,7
To Sir With Love,Lulu,1,4,17,5
I Say A Little Prayer,Dionne Warwick,4,4,13,7
Please Love Me Forever,Bobby Vinton,6,6,13,4
Soul Man,Sam & Dave,2,7,15,3
I Heard It Through The Grapevine,Gladys Knight And The Pips,2,2,17,11
I Can See For Miles,The Who,9,9,11,4
An Open Letter To My Teenage Son,Victor Lundberg,10,10,6,3
I Second That Emotion,Smokey Robinson & The Miracles,4,4,15,11
You Better Sit Down Kids,Cher,9,9,13,8
In And Out Of Love,Diana Ross & The Supremes,9,9,8,5
Lazy Day,Spanky And Our Gang,14,14,11,4
Boogaloo Down Broadway,The Fantastic Johnny C,7,7,18,10
Keep The Ball Rollin',Jay And The Techniques,14,14,12,6
Everlasting Love,Robert Knight,13,17,12,3
Expressway (To Your Heart),Soul Survivors,4,18,15,2
Pata Pata,Miriam Makeba,12,19,11,3
(The Lights Went Out In) Massachusetts,Bee Gees,11,11,8,5
It Must Be Him,Vikki Carr,3,21,15,2
Stag-O-Lee,Wilson Pickett,22,22,6,2
Let It Out (Let It All Hang Out),The Hombres,12,23,13,2
She's My Girl,The Turtles,14,14,10,7
Yesterday,Ray Charles,25,25,7,4
Skinny Legs And All,Joe Tex,10,10,15,10
(Loneliness Made Me Realize) It's You That I Need,The Temptations,14,27,9,2
By The Time I Get To Phoenix,Glen Campbell,26,26,11,6
"Beg, Borrow And Steal",Ohio Express,29,29,12,4
Watch The Flowers Grow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",30,30,7,2
Wild Honey,The Beach Boys,31,31,6,2
"Woman, Woman",The Union Gap Featuring Gary Puckett,4,4,17,15
Kentucky Woman,Neil Diamond,22,33,8,1
Glad To Be Unhappy,The Mamas & The Papas,26,34,7,2
Honey Chile,Martha Reeves & The Vandellas,11,11,12,10
Back On The Street Again,The Sunshine Company,36,36,7,1
Neon Rainbow,The Box Tops,24,24,9,6
Mr. Dream Merchant,Jerry Butler,38,38,7,1
Your Precious Love,Marvin Gaye & Tammi Terrell,5,39,13,1
Summer Rain,Johnny Rivers,14,14,10,8
She Is Still A Mystery,The Lovin' Spoonful,27,41,6,1
Like An Old Time Movie,Scott McKenzie,24,42,7,1
Different Drum,Stone Poneys Featuring Linda Ronstadt,13,13,17,14
Paper Cup,The 5th Dimension,34,34,7,3
Hello Goodbye,The Beatles,1,1,11,11
Wear Your Love Like Heaven,Donovan,23,23,7,6
Next Plane To London,The Rose Garden,17,17,14,8
Beautiful People,Bobby Vee And The Strangers,37,37,7,5
Soul Man,Ramsey Lewis,49,49,6,3
Beautiful People,Kenny O'Dell,38,38,7,5
Out Of The Blue,Tommy James And The Shondells,43,51,6,1
Chattanooga Choo Choo,Harpers Bizarre,45,45,7,5
Peace Of Mind,Paul Revere & The Raiders Featuring Mark Lindsay,42,42,6,4
Get It Together (Part 1),James Brown And The Famous Flames,40,54,6,1
And Get Away,The Esquires,22,22,8,7
Suzanne,Noel Harrison,56,56,6,1
What's It Gonna Be,Dusty Springfield,49,49,8,6
Since You Showed Me How To Be Happy,Jackie Wilson,32,32,6,5
Okolona River Bottom Band,Bobbie Gentry,54,54,4,3
When You're Gone,Brenda & The Tabulations,58,58,7,3
