song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Blame It On The Rain,Milli Vanilli,1,1,23,15
We Didn't Start The Fire,Billy Joel,1,1,19,12
(It's Just) The Way That You Love Me,Paula Abdul,3,3,25,10
Angelia,Richard Marx,4,4,17,9
Love Shack,The B-52s,3,5,27,14
Another Day In Paradise,Phil Collins,1,1,18,14
Back To Life,Soul II Soul,4,4,28,18
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),2,2,26,17
When I See You Smile,Bad English,1,9,22,11
Poison,Alice Cooper,7,10,19,9
With Every Beat Of My Heart,Taylor Dayne,5,5,18,12
Don't Close Your Eyes,Kix,11,11,23,11
Leave A Light On,Belinda Carlisle,11,11,18,9
Get On Your Feet,Gloria Estefan,11,14,17,8
Living In Sin,Bon Jovi,9,9,19,11
Pump Up The Jam,Technotronic Featuring Felly,2,2,24,17
Rhythm Nation,Janet Jackson,2,2,17,14
Don't Shut Me Out,Kevin Paige,18,18,24,9
Just Like Jesse James,Cher,8,8,18,12
Don't Make Me Over,Sybil,20,20,23,13
Love Song,Tesla,10,10,27,18
Listen To Your Heart,Roxette,1,22,22,8
The Last Worthless Evening,Don Henley,21,21,18,10
Everything,Jody Watley,4,4,23,16
Bust A Move,Young M.C.,7,25,39,21
Swing The Mood,Jive Bunny & The Mastermixers,11,11,20,15
Just Between You And Me,Lou Gramm,6,6,21,16
This One's For The Children,New Kids on the Block,7,7,16,13
How Am I Supposed To Live Without You,Michael Bolton,1,1,23,18
The Angel Song,Great White,30,30,21,12
Free Fallin',Tom Petty,7,7,21,17
I Live By The Groove,Paul Carrack,31,31,13,8
Me So Horny,The 2 Live Crew,26,33,30,18
Rock And A Hard Place,The Rolling Stones,23,23,14,10
Oh Father,Madonna,20,20,13,10
Miss You Much,Janet Jackson,1,36,20,7
When The Night Comes,Joe Cocker,11,11,20,15
Didn't I (Blow Your Mind),New Kids on the Block,8,38,19,8
The Arms Of Orion,Prince With Sheena Easton,36,36,14,8
Downtown Train,Rod Stewart,3,3,18,17
Rock Wit'cha,Bobby Brown,7,41,21,7
Two To Make It Right,Seduction,2,2,23,20
Fool For Your Loving,Whitesnake,37,37,22,10
I Remember You,Skid Row,6,6,20,18
I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,18,18,16,14
I Want You,Shana,40,40,23,15
Cover Girl,New Kids on the Block,2,47,18,7
Love In An Elevator,Aerosmith,5,48,16,3
Was It Nothing At All,Michael Damian,24,24,21,16
French Kiss,Lil Louis,50,50,13,7
Tender Lover,Babyface,14,14,17,15
Sowing The Seeds Of Love,Tears for Fears,2,52,15,2
If You Leave Me Now,Jaya,44,44,26,19
I'm Not The Man I Used To Be,Fine Young Cannibals,54,54,6,3
When I Looked At Him,Expose,10,55,20,5
Girl I Am Searching For You,Stevie B,56,56,15,7
Dr. Feelgood,Motley Crue,6,57,16,3
Sunshine,Dino,23,58,15,3
Janie's Got A Gun,Aerosmith,4,4,18,17
I Think I Can Beat Mike Tyson,D.J. Jazzy Jeff & The Fresh Prince,58,58,9,5
Sold Me Down The River,The Alarm,50,61,13,5
Pretending,Eric Clapton,55,55,11,9
Back To The Bullet,Saraya,63,63,9,6
Over And Over,Pajama Party,59,59,14,11
Principal's Office,Young M.C.,33,33,14,13
Peace In Our Time,Eddie Money,11,11,15,15
Touch Me Tonight,Shooting Star,67,67,9,5
Kickstart My Heart,Motley Crue,27,27,16,15
Steamy Windows,Tina Turner,39,39,11,10
No More Lies,Michel'le,7,7,29,27
Talk To Myself,Christopher Williams,49,71,18,6
If I Could Turn Back Time,Cher,3,72,23,2
Call It Love,Poco,18,73,16,2
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),52,52,12,11
Girl I'm Gonna Miss You,Milli Vanilli,1,75,22,5
Sugar Daddy,Thompson Twins,28,76,12,2
It's No Crime,Babyface,7,77,18,2
Wait For You,Bonham,55,55,15,14
Heat Of The Moment,After 7,74,79,13,7
Hide Your Heart,Kiss,66,66,10,9
Licence To Chill,Billy Ocean,32,81,9,1
My Heart Skips A Beat,The Cover Girls,38,82,14,2
Love Song,The Cure,2,83,17,1
Baby Come To Me,Regina Belle,60,84,9,2
Lullaby,The Cure,74,74,8,8
New Thing,Enuff Z'Nuff,67,86,7,1
I Didn't Mean To Stay All Night,Starship,75,75,8,7
Don't Take It Personal,Jermaine Jackson,64,64,11,11
Nothin' To Hide,Poco,39,39,12,12
You Are My Everything,Surface,84,90,5,1
I'm A Believer,Giant,56,91,10,1
What About Me,Moving Pictures,46,92,17,1
Woman In Chains,Tears for Fears,36,36,14,14
Radar Love,White Lion,59,91,13,3
What Kind Of Man Would I Be?,Chicago,5,5,18,18
Owwww!,Chunky A,77,77,6,6
Serious Kinda Girl,Christopher Max,75,75,8,8
Realistic,Shirley Lewis,84,98,6,1
Healing Hands,Elton John,13,99,15,1
The Best,Tina Turner,15,100,14,1
Tell Me Why,Expose,9,9,15,15
We Can't Go Wrong,The Cover Girls,8,8,19,19
Electric Boogie,Marcia Griffiths,51,51,11,11
I Don't Know,Michael Morales,81,81,6,6
A Girl Like You,The Smithereens,38,38,20,20
Heart,Neneh Cherry,73,73,8,8
Gimme Your Good Lovin',Diving For Pearls,84,84,6,6
Personal Jesus,Depeche Mode,28,28,20,20
500 Miles,Hooters,97,97,5,5
Dangerous,Roxette,2,2,21,21
Here We Are,Gloria Estefan,6,6,21,21
Opposites Attract,Paula Abdul (Duet With The Wild Pair),1,1,23,23
I Will Survive,SaFire,53,53,11,11
Foolish Heart,Sharon Bryant,90,90,5,5
C'mon And Get My Love,D-Mob Introducing Cathy Dennis,10,10,21,21
Never 2 Much Of U,Dino,61,61,9,9
Price Of Love,Bad English,5,5,19,19
Here And Now,Luther Vandross,6,6,27,27
Roam,The B-52s,3,3,20,20
Too Hot,Loverboy,84,84,5,5
Right And Hype,Abstrac',89,89,6,6
All Or Nothing,Milli Vanilli,4,4,14,14
Going Home,Kenny G,56,56,7,7
Sometimes She Cries,Warrant,20,20,17,17
No Myth,Michael Penn,13,13,16,16
Black Velvet,Alannah Myles,1,1,24,24
I Go To Extremes,Billy Joel,6,6,16,16
Sacrifice,Elton John,18,18,17,17
All Nite,Entouch Featuring Keith Sweat,71,71,7,7
"Timeless Love (From ""Shocker"")",Saraya,85,85,5,5
Figure Of Eight,Paul McCartney,92,92,5,5
Escapade,Janet Jackson,1,1,17,17
Too Late To Say Goodbye,Richard Marx,12,12,13,13
Just A Friend,Biz Markie,9,9,22,22
The Deeper The Love,Whitesnake,28,28,14,14
"Whole Wide World (From ""True Love"")",A'me Lorain,9,9,20,20
Anything I Want,Kevin Paige,29,29,12,12
Summer Rain,Belinda Carlisle,30,30,13,13
House Of Fire,Alice Cooper,56,56,9,9
Real Love,Skyy,47,47,12,12
Love Will Lead You Back,Taylor Dayne,1,1,20,20
Dirty Deeds,Joan Jett,36,36,10,10
Walk On By,Sybil,74,74,6,6
Get Up! (Before The Night Is Over),Technotronic,7,7,20,20
If U Were Mine,The U-Krew,24,24,22,22
Let Love Rule,Lenny Kravitz,89,89,4,4
There's A Party Going On,Yvonne,88,88,9,9
Fly High Michelle,Enuff Z'Nuff,47,47,13,13
Keep It Together,Madonna,8,8,13,13
Love Me For Life,Stevie B,29,29,14,14
I Wish It Would Rain Down,Phil Collins,3,3,17,17
Forever,Kiss,8,8,17,17
All Around The World,Lisa Stansfield,3,3,22,22
That's What I Like,Jive Bunny & The Mastermixers,69,69,5,5
1-2-3,The Chimes,86,86,5,5
You're The Only Woman,The Brat Pack,36,36,12,12
All My Life,Linda Ronstadt (Featuring Aaron Neville),11,11,15,15
Don't Wanna Fall In Love,Jane Child,2,2,21,21
Almost Hear You Sigh,The Rolling Stones,50,50,9,9
Heart Of Stone,Cher,20,20,14,14
I Wanna Be Rich,Calloway,2,2,23,23
You're The Voice,John Farnham,82,82,8,8
I'll Be Your Everything,Tommy Page,1,1,18,18
Blue Sky Mine,Midnight Oil,47,47,10,10
I'll Be There,"Joyce ""Fenderella"" Irby",70,70,7,7
The Heart Of The Matter,Don Henley,21,21,21,21
