song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
"Thank U, Next",Ariana Grande,1,1,28,27
Sicko Mode,Travis Scott,1,1,52,38
Happier,Marshmello & Bastille,2,2,52,40
Without Me,Halsey,1,1,52,47
Girls Like You,Maroon 5 Featuring Cardi B,1,5,52,28
Lucid Dreams,Juice WRLD,2,5,46,20
Mo Bamba,Sheck Wes,6,6,28,17
High Hopes,Panic! At The Disco,4,4,52,38
ZEZE,Kodak Black Featuring Travis Scott & Offset,2,7,25,21
Drip Too Hard,Lil Baby & Gunna,4,8,35,27
Better Now,Post Malone,3,10,52,24
Youngblood,5 Seconds of Summer,7,12,48,25
Natural,Imagine Dragons,13,13,27,11
Breathin,Ariana Grande,12,12,25,13
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,15,26,20
BAD!,XXXTENTACION,16,16,11,11
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,11,26,18
Trip,Ella Mai,11,15,27,13
MIA,Bad Bunny Featuring Drake,5,18,27,23
Love Lies,Khalid & Normani,9,19,51,13
Eastside,"Benny Blanco, Halsey & Khalid",9,9,52,35
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,1,53,50
God Is A Woman,Ariana Grande,8,23,22,5
Shallow,Lady Gaga & Bradley Cooper,1,1,45,39
Money,Cardi B,13,13,26,23
I Like It,"Cardi B, Bad Bunny & J Balvin",1,24,51,20
Taste,Tyga Featuring Offset,8,27,29,5
Lose It,Kane Brown,28,28,20,3
In My Feelings,Drake,1,25,22,3
Yes Indeed,Lil Baby & Drake,6,30,29,3
Broken,lovelytheband,29,31,22,5
Beautiful,Bazzi Featuring Camila Cabello,26,26,27,13
Nonstop,Drake,2,32,22,3
Uproar,Lil Wayne,7,34,20,14
She Got The Best Of Me,Luke Combs,31,31,23,10
Tequila,Dan + Shay,21,29,50,15
Leave Me Alone,Flipp Dinero,20,20,25,17
Speechless,Dan + Shay,24,24,40,31
Ring,Cardi B Featuring Kehlani,28,39,20,4
Bohemian Rhapsody,Queen,2,40,44,2
