song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Mood,24kGoldn Featuring iann dior,1,1,52,39
Positions,Ariana Grande,1,2,29,27
I Hope,Gabby Barrett Featuring Charlie Puth,3,3,62,17
Laugh Now Cry Later,Drake Featuring Lil Durk,2,4,29,17
Blinding Lights,The Weeknd,1,3,90,41
Lemonade,Internet Money & Gunna Featuring Don Toliver & Nav,6,6,29,17
Holy,Justin Bieber Featuring Chance the Rapper,3,4,25,18
Dakiti,Bad Bunny & Jhay Cortez,5,5,28,27
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,1,9,31,10
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,10,43,25
WAP,Cardi B Featuring Megan Thee Stallion,1,11,24,11
Hawai,Maluma & The Weeknd,12,12,21,10
Go Crazy,Chris Brown & Young Thug,3,3,52,26
Rockstar,DaBaby Featuring Roddy Ricch,1,14,42,13
Kings & Queens,Ava Max,13,13,27,14
Before You Go,Lewis Capaldi,9,16,52,12
Dynamite,BTS,1,3,32,21
Watermelon Sugar,Harry Styles,1,18,39,6
More Than My Hometown,Morgan Wallen,15,15,32,11
Be Like That,Kane Brown With Swae Lee & Khalid,19,19,21,4
Lonely,Justin Bieber & Benny Blanco,12,12,20,17
Said Sum,Moneybagg Yo,17,22,22,4
ily,Surf Mesa Featuring Emilee,23,23,28,4
Bang!,AJR,8,8,35,17
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,25,51,12
Levitating,Dua Lipa,2,2,57,52
Forever After All,Luke Combs,2,12,45,43
What You Know Bout Love,Pop Smoke,9,9,42,33
One Of Them Girls,Lee Brice,17,29,26,3
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2,2,28,27
Love You Like I Used To,Russell Dickerson,31,31,20,11
Wonder,Shawn Mendes,18,32,11,6
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,33,33,25,3
Got What I Got,Jason Aldean,16,34,25,2
What That Speed Bout!?,"Mike Will Made-It, Nicki Minaj & YoungBoy Never Broke Again",35,35,1,1
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,32,32,22,7
Pretty Heart,Parker McCollum,36,36,22,5
Come & Go,Juice WRLD x Marshmello,2,38,20,3
Better Together,Luke Combs,15,15,25,20
Diamonds,Sam Smith,39,39,20,13
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,41,20,2
Rags2Riches,Rod Wave Featuring ATR Son Son,12,42,20,1
Adore You,Harry Styles,6,43,50,2
Midnight Sky,Miley Cyrus,14,44,20,8
pov,Ariana Grande,27,27,20,19
Roses,Saint Jhn,4,46,34,1
Took Her To The O,King Von,47,47,8,8
Starting Over,Chris Stapleton,25,25,34,24
I Should Probably Go To Bed,Dan + Shay,28,28,24,10
You Broke Me First.,Tate McRae,17,17,38,27
Lovin' On You,Luke Combs,23,51,20,1
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,10,52,18,13
Mood Swings,Pop Smoke Featuring Lil Tjay,17,53,20,2
Everywhere But On,Matt Stell,48,54,12,3
Franchise,Travis Scott Featuring Young Thug & M.I.A.,1,55,9,3
"Big, Big Plans",Chris Lane,42,42,20,15
Tyler Herro,Jack Harlow,34,57,20,18
Ain't Always The Cowboy,Jon Pardi,55,55,18,8
So Done,The Kid Laroi,59,59,15,13
My Ex's Best Friend,Machine Gun Kelly X Blackbear,20,20,52,40
B.S.,Jhene Aiko Featuring H.E.R.,24,52,23,9
Some Girls,Jameson Rodgers,29,62,17,4
7 Summers,Morgan Wallen,6,18,24,12
