song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Kung Fu Fighting,Carl Douglas,1,1,18,10
I Can Help,Billy Swan,1,2,18,8
When Will I See You Again,The Three Degrees,2,2,18,8
Do It ('til You're Satisfied),B.T. Express,2,4,18,8
Cat's In The Cradle,Harry Chapin,1,1,19,10
Angie Baby,Helen Reddy,1,1,17,10
My Melody Of Love,Bobby Vinton,3,7,17,6
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,1,8,17,6
Sha-La-La (Make Me Happy),Al Green,7,7,19,9
"You're The First, The Last, My Everything",Barry White,2,2,15,10
Wishing You Were Here,Chicago,11,11,15,8
Junior's Farm/Sally G,Paul McCartney And Wings,3,3,17,13
Longfellow Serenade,Neil Diamond,5,13,15,6
Everlasting Love,Carl Carlton,6,14,15,4
You Got The Love,Rufus Featuring Chaka Khan,11,11,16,8
Fairytale,The Pointer Sisters,13,13,16,7
Promised Land,Elvis Presley,14,14,13,7
I've Got The Music In Me,The Kiki Dee Band,12,18,20,8
Touch Me,Fancy,19,19,10,2
Laughter In The Rain,Neil Sedaka,1,1,20,13
Ain't Too Proud To Beg,The Rolling Stones,17,17,10,6
Woman To Woman,Shirley Brown,22,22,14,9
I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips,21,21,17,9
Must Of Got Lost,The J. Geils Band,12,12,11,7
Only You,Ringo Starr,6,6,13,10
Willie And The Hand Jive,Eric Clapton,26,26,9,4
Boogie On Reggae Woman,Stevie Wonder,3,3,17,14
"Fire, Baby I'm On Fire",Andy Kim,28,28,9,3
Back Home Again,John Denver,5,29,16,5
One Man Woman/One Woman Man,Paul Anka with Odia Coates,7,7,16,12
Let's Straighten It Out,Latimore,31,31,12,6
Bungle In The Jungle,Jethro Tull,12,12,16,11
Ride 'em Cowboy,Paul Davis,23,23,18,10
Never Can Say Goodbye,Gloria Gaynor,9,9,17,12
Dream On,The Righteous Brothers,32,32,8,4
Lucy In The Sky With Diamonds,Elton John,1,1,14,13
Mandy,Barry Manilow,1,1,16,13
"Whatever You Got, I Want",Jackson 5,38,38,11,5
Please Mr. Postman,Carpenters,1,1,17,15
Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,1,40,15,5
After The Goldrush,Prelude,22,41,13,4
Morning Side Of The Mountain,Donny & Marie Osmond,8,8,16,13
Dark Horse,George Harrison,15,15,10,8
Rockin' Soul,The Hues Corporation,18,44,12,4
The Heartbreak Kid,Bo Donaldson And The Heywoods,39,39,7,4
Dancin' Fool,The Guess Who,28,28,11,9
Heavy Fallin' Out,The Stylistics,41,42,11,4
You And I,Johnny Bristol,48,48,7,4
Tin Man,America,4,49,18,3
Without Love,Aretha Franklin,45,45,8,5
Funky President (People It's Bad)/Coldblooded,James Brown,44,44,10,6
The Need To Be,Jim Weatherly,11,52,16,4
Life Is A Rock (But The Radio Rolled Me),Reunion,8,53,15,2
Three Ring Circus,Blue Magic,36,54,9,2
Black Lassie (Featuring Johnny Stash),Cheech & Chong,55,55,6,2
So You Are A Star,The Hudson Brothers,21,56,14,3
Someday,Dave Loggins,57,57,5,2
Play Something Sweet (Brickyard Blues),Three Dog Night,33,58,12,2
Jazzman,Carole King,2,59,16,2
Sugar Pie Guy Pt. 1,The Joneses,47,47,16,7
She's Gone,Tavares,50,50,16,7
I'll Be Your Everything,Percy Sledge,62,62,6,3
Doctor's Orders,Carol Douglas,11,11,16,15
Free Bird,Lynyrd Skynyrd,19,19,12,10
Sexy Ida (Part 1),Ike & Tina Turner,65,65,8,3
Love Don't Love Nobody - Pt. I,The Spinners,15,66,13,2
Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,10,10,15,13
Shoe Shoe Shine,Dynamic Superiors,68,68,7,2
"Ruby, Baby","Billy ""Crash"" Craddock",33,33,9,7
The Entertainer,Billy Joel,34,34,10,9
Ask Me,"Ecstasy, Passion & Pain",52,71,8,1
Best Of My Love,Eagles,1,1,19,18
From His Woman To You,Barbara Mason,28,28,10,9
People Gotta Move,Gino Vannelli,22,74,13,2
I Feel Sanctified,Commodores,75,75,8,5
I Belong To You,Love Unlimited,27,27,15,14
La La Peace Song,Al Wilson,30,77,10,1
The Bitch Is Back,Elton John,4,78,14,1
